num,pic,learn1,learn2,learn3,recall2,recall3,recall1,bart_loop.thisRepN,bart_loop.thisTrialN,bart_loop.thisN,bart_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,rating_1.response,rating_1.rt,key_resp_3.keys,key_resp_3.rt,rating_4.response,rating_4.rt,rating_5.response,rating_5.rt,rating_6.response,rating_6.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,rating_7.response,rating_7.rt,rating_8.response,rating_8.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,space,24.8050225958,,,,,,,,,,,,,,,,,,,,,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
,,,,,,,,,,,,,,,,,,,,,,,,,,space,6.58101387313,,,,,,,,,,,,,,,,,,,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
1,./stim/pract.L.jpg,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1,19.212,,,,,,,,,,,,,,,,,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
2,./stim/pract.M.jpg,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,2,5.9,,,,,,,,,,,,,,,,,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
3,./stim/pract.R.jpg,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,2,3.319,,,,,,,,,,,,,,,,,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,29.238694075,,,,,,,,,,,,,,,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
4,,./stim/LearnLA040.jpg,./stim/LearnFA040.jpg,./stim/LearnRA040.jpg,./stim/LearnFA040_T2.jpg,./stim/LearnRA040_T1.jpg,./stim/LearnLA040_T2.jpg,,,,,0,0,0,3,,,,,,,,,,,,,,,,,2,5.167,2,3.083,1,2.718,,,,,,,,,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
5,,./stim/LearnLA049.jpg,./stim/LearnFA049.jpg,./stim/LearnRA049.jpg,./stim/LearnFA049_T1.jpg,./stim/LearnRA049_T3.jpg,./stim/LearnLA049_T3.jpg,,,,,0,1,1,4,,,,,,,,,,,,,,,,,3,3.418,1,2.585,3,3.435,,,,,,,,,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
6,,./stim/LearnLA076.jpg,./stim/LearnFA076.jpg,./stim/LearnRA076.jpg,./stim/LearnFA076_T3.jpg,./stim/LearnRA076_T1.jpg,./stim/LearnLA076_T1.jpg,,,,,0,2,2,5,,,,,,,,,,,,,,,,,1,4.484,3,3.518,1,3.785,,,,,,,,,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
1,,./stim/LearnLA004.jpg,./stim/LearnFA004.jpg,./stim/LearnRA004.jpg,./stim/LearnFA004_T3.jpg,./stim/LearnRA004_T3.jpg,./stim/LearnLA004_T1.jpg,,,,,0,3,3,0,,,,,,,,,,,,,,,,,1,3.235,3,2.968,3,4.218,,,,,,,,,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
3,,./stim/LearnLA022.jpg,./stim/LearnFA022.jpg,./stim/LearnRA022.jpg,./stim/LearnFA022_T1.jpg,./stim/LearnRA022_T1.jpg,./stim/LearnLA022_T3.jpg,,,,,0,4,4,2,,,,,,,,,,,,,,,,,3,2.701,1,3.318,1,3.301,,,,,,,,,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
2,,./stim/LearnLA011.jpg,./stim/LearnFA011.jpg,./stim/LearnRA011.jpg,./stim/LearnFA011_T3.jpg,./stim/LearnRA011_T3.jpg,./stim/LearnLA011_T2.jpg,,,,,0,5,5,1,,,,,,,,,,,,,,,,,2,3.285,1,7.5,3,2.852,,,,,,,,,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,6.26457500372,,,,,,,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,11.2125449735,,,,,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
28,./stim/NovelHLFA040_T1.jpg,,,,,,,,,,,,,,,0,0,0,27,,,,,,,,,,,,,,,,,,,,,,,3,10.948,,,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
19,./stim/NovelFBLA004_T3.jpg,,,,,,,,,,,,,,,0,1,1,18,,,,,,,,,,,,,,,,,,,,,,,3,4.784,,,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
15,./stim/Novel60RA022_T2.jpg,,,,,,,,,,,,,,,0,2,2,14,,,,,,,,,,,,,,,,,,,,,,,2,2.851,,,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
17,./stim/Novel60RA049_T2.jpg,,,,,,,,,,,,,,,0,3,3,16,,,,,,,,,,,,,,,,,,,,,,,2,7.916,,,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
10,./stim/Novel60LA040_T2.jpg,,,,,,,,,,,,,,,0,4,4,9,,,,,,,,,,,,,,,,,,,,,,,3,9.232,,,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
27,./stim/NovelHLFA022_T3.jpg,,,,,,,,,,,,,,,0,5,5,26,,,,,,,,,,,,,,,,,,,,,,,3,3.917,,,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
26,./stim/NovelHLFA011_T3.jpg,,,,,,,,,,,,,,,0,6,6,25,,,,,,,,,,,,,,,,,,,,,,,3,4.268,,,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
6,./stim/Novel30RHSA076_T2.jpg,,,,,,,,,,,,,,,0,7,7,5,,,,,,,,,,,,,,,,,,,,,,,2,6.4,,,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
