num,pic,learn1,learn2,learn3,recall2,recall3,recall1,bart_loop.thisRepN,bart_loop.thisTrialN,bart_loop.thisN,bart_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,rating_1.response,rating_1.rt,key_resp_3.keys,key_resp_3.rt,rating_4.response,rating_4.rt,rating_5.response,rating_5.rt,rating_6.response,rating_6.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,rating_7.response,rating_7.rt,rating_8.response,rating_8.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,space,27.2538409153,,,,,,,,,,,,,,,,,,,,,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
,,,,,,,,,,,,,,,,,,,,,,,,,,space,8.18043889484,,,,,,,,,,,,,,,,,,,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
1,./stim/pract.L.jpg,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1,20.877,,,,,,,,,,,,,,,,,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
2,./stim/pract.M.jpg,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,2,4.868,,,,,,,,,,,,,,,,,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
3,./stim/pract.R.jpg,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,2,4.901,,,,,,,,,,,,,,,,,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,21.0252064126,,,,,,,,,,,,,,,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
1,,./stim/LearnLA004.jpg,./stim/LearnFA004.jpg,./stim/LearnRA004.jpg,./stim/LearnFA004_T3.jpg,./stim/LearnRA004_T3.jpg,./stim/LearnLA004_T1.jpg,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1,5.067,3,4.767,3,3.285,,,,,,,,,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
2,,./stim/LearnLA011.jpg,./stim/LearnFA011.jpg,./stim/LearnRA011.jpg,./stim/LearnFA011_T3.jpg,./stim/LearnRA011_T3.jpg,./stim/LearnLA011_T2.jpg,,,,,0,1,1,1,,,,,,,,,,,,,,,,,2,3.185,3,3.385,3,2.968,,,,,,,,,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
6,,./stim/LearnLA076.jpg,./stim/LearnFA076.jpg,./stim/LearnRA076.jpg,./stim/LearnFA076_T3.jpg,./stim/LearnRA076_T1.jpg,./stim/LearnLA076_T1.jpg,,,,,0,2,2,5,,,,,,,,,,,,,,,,,1,3.051,3,5.234,1,3.401,,,,,,,,,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
4,,./stim/LearnLA040.jpg,./stim/LearnFA040.jpg,./stim/LearnRA040.jpg,./stim/LearnFA040_T2.jpg,./stim/LearnRA040_T1.jpg,./stim/LearnLA040_T2.jpg,,,,,0,3,3,3,,,,,,,,,,,,,,,,,2,3.418,2,3.218,1,2.285,,,,,,,,,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
3,,./stim/LearnLA022.jpg,./stim/LearnFA022.jpg,./stim/LearnRA022.jpg,./stim/LearnFA022_T1.jpg,./stim/LearnRA022_T1.jpg,./stim/LearnLA022_T3.jpg,,,,,0,4,4,2,,,,,,,,,,,,,,,,,3,7.35,1,3.085,1,2.835,,,,,,,,,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
5,,./stim/LearnLA049.jpg,./stim/LearnFA049.jpg,./stim/LearnRA049.jpg,./stim/LearnFA049_T1.jpg,./stim/LearnRA049_T3.jpg,./stim/LearnLA049_T3.jpg,,,,,0,5,5,4,,,,,,,,,,,,,,,,,3,3.251,1,2.418,3,2.402,,,,,,,,,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,6.16467297808,,,,,,,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,13.1949945163,,,,,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
23,./stim/NovelFBLA049_T2.jpg,,,,,,,,,,,,,,,0,0,0,22,,,,,,,,,,,,,,,,,,,,,,,2,3.051,,,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
16,./stim/Novel60RA040_T3.jpg,,,,,,,,,,,,,,,0,1,1,15,,,,,,,,,,,,,,,,,,,,,,,3,3.251,,,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
15,./stim/Novel60RA022_T2.jpg,,,,,,,,,,,,,,,0,2,2,14,,,,,,,,,,,,,,,,,,,,,,,2,7.55,,,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
27,./stim/NovelHLFA022_T3.jpg,,,,,,,,,,,,,,,0,3,3,26,,,,,,,,,,,,,,,,,,,,,,,3,4.334,,,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
28,./stim/NovelHLFA040_T1.jpg,,,,,,,,,,,,,,,0,4,4,27,,,,,,,,,,,,,,,,,,,,,,,1,2.351,,,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
17,./stim/Novel60RA049_T2.jpg,,,,,,,,,,,,,,,0,5,5,16,,,,,,,,,,,,,,,,,,,,,,,2,3.685,,,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
24,./stim/NovelFBLA076_T2.jpg,,,,,,,,,,,,,,,0,6,6,23,,,,,,,,,,,,,,,,,,,,,,,2,4.334,,,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
14,./stim/Novel60RA011_T1.jpg,,,,,,,,,,,,,,,0,7,7,13,,,,,,,,,,,,,,,,,,,,,,,1,2.602,,,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
29,./stim/NovelHLFA049_T3.jpg,,,,,,,,,,,,,,,0,8,8,28,,,,,,,,,,,,,,,,,,,,,,,3,6.767,,,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
8,./stim/Novel60LA011_T3.jpg,,,,,,,,,,,,,,,0,9,9,7,,,,,,,,,,,,,,,,,,,,,,,3,2.651,,,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
10,./stim/Novel60LA040_T2.jpg,,,,,,,,,,,,,,,0,10,10,9,,,,,,,,,,,,,,,,,,,,,,,2,3.835,,,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
