num,pic,learn1,learn2,learn3,recall2,recall3,recall1,bart_loop.thisRepN,bart_loop.thisTrialN,bart_loop.thisN,bart_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,rating_1.response,rating_1.rt,key_resp_3.keys,key_resp_3.rt,rating_4.response,rating_4.rt,rating_5.response,rating_5.rt,rating_6.response,rating_6.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,rating_7.response,rating_7.rt,rating_8.response,rating_8.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,space,33.8446974157,,,,,,,,,,,,,,,,,,,,,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
,,,,,,,,,,,,,,,,,,,,,,,,,,space,32.9636737191,,,,,,,,,,,,,,,,,,,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
1,./stim/pract.L.jpg,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1,25.699,,,,,,,,,,,,,,,,,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
3,./stim/pract.R.jpg,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,2,6.501,,,,,,,,,,,,,,,,,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
2,./stim/pract.M.jpg,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,2,4.368,,,,,,,,,,,,,,,,,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,21.2316154254,,,,,,,,,,,,,,,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
6,,./stim/LearnLA076.jpg,./stim/LearnFA076.jpg,./stim/LearnRA076.jpg,./stim/LearnFA076_T3.jpg,./stim/LearnRA076_T1.jpg,./stim/LearnLA076_T1.jpg,,,,,0,0,0,5,,,,,,,,,,,,,,,,,1,9.751,3,29.132,1,21.116,,,,,,,,,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
4,,./stim/LearnLA040.jpg,./stim/LearnFA040.jpg,./stim/LearnRA040.jpg,./stim/LearnFA040_T2.jpg,./stim/LearnRA040_T1.jpg,./stim/LearnLA040_T2.jpg,,,,,0,1,1,3,,,,,,,,,,,,,,,,,2,9.184,2,11.367,1,8.4,,,,,,,,,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
1,,./stim/LearnLA004.jpg,./stim/LearnFA004.jpg,./stim/LearnRA004.jpg,./stim/LearnFA004_T3.jpg,./stim/LearnRA004_T3.jpg,./stim/LearnLA004_T1.jpg,,,,,0,2,2,0,,,,,,,,,,,,,,,,,1,7.134,3,11.034,3,6.934,,,,,,,,,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
5,,./stim/LearnLA049.jpg,./stim/LearnFA049.jpg,./stim/LearnRA049.jpg,./stim/LearnFA049_T1.jpg,./stim/LearnRA049_T3.jpg,./stim/LearnLA049_T3.jpg,,,,,0,3,3,4,,,,,,,,,,,,,,,,,3,8.651,1,15.633,3,10.184,,,,,,,,,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
2,,./stim/LearnLA011.jpg,./stim/LearnFA011.jpg,./stim/LearnRA011.jpg,./stim/LearnFA011_T3.jpg,./stim/LearnRA011_T3.jpg,./stim/LearnLA011_T2.jpg,,,,,0,4,4,1,,,,,,,,,,,,,,,,,2,8.817,3,9.784,3,12.65,,,,,,,,,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
3,,./stim/LearnLA022.jpg,./stim/LearnFA022.jpg,./stim/LearnRA022.jpg,./stim/LearnFA022_T1.jpg,./stim/LearnRA022_T1.jpg,./stim/LearnLA022_T3.jpg,,,,,0,5,5,2,,,,,,,,,,,,,,,,,3,8.234,1,7.534,1,8.501,,,,,,,,,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,4.99955036248,,,,,,,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,13.0498769445,,,,,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
26,./stim/NovelHLFA011_T3.jpg,,,,,,,,,,,,,,,0,0,0,25,,,,,,,,,,,,,,,,,,,,,,,3,19.633,,,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
4,./stim/Novel30RHSA040_T3.jpg,,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,2,14.367,,,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
22,./stim/NovelFBLA040_T2.jpg,,,,,,,,,,,,,,,0,2,2,21,,,,,,,,,,,,,,,,,,,,,,,1,29.748,,,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
11,./stim/Novel60LA049_T1.jpg,,,,,,,,,,,,,,,0,3,3,10,,,,,,,,,,,,,,,,,,,,,,,2,9.867,,,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
2,./stim/Novel30RHSA011_T2.jpg,,,,,,,,,,,,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,3,18.866,,,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
20,./stim/NovelFBLA011_T1.jpg,,,,,,,,,,,,,,,0,5,5,19,,,,,,,,,,,,,,,,,,,,,,,2,17.533,,,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
27,./stim/NovelHLFA022_T3.jpg,,,,,,,,,,,,,,,0,6,6,26,,,,,,,,,,,,,,,,,,,,,,,3,11.051,,,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
1,./stim/Novel30RHSA004_T3.jpg,,,,,,,,,,,,,,,0,7,7,0,,,,,,,,,,,,,,,,,,,,,,,1,14.833,,,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
