,hit,hit,hit,rt,rt,rt,total,total,total,percent,percent,percent
,1st,2nd,3rd,1st,2nd,3rd,1st,2nd,3rd,1st,2nd,3rd
1,18.0,29.0,19.0,4.993,6.9245,9.7155,18.0,30.0,24.0,100.0,96.6666666667,79.1666666667
10,18.0,24.0,19.0,3.8335,5.1255,5.0005,18.0,30.0,24.0,100.0,80.0,79.1666666667
11,18.0,27.0,16.0,4.501,4.959,3.651,18.0,30.0,24.0,100.0,90.0,66.6666666667
12,15.0,21.0,15.0,5.3675,7.0995,8.2745,18.0,30.0,24.0,83.3333333333,70.0,62.5
13,18.0,21.0,21.0,3.801,8.1415,5.834,18.0,30.0,24.0,100.0,70.0,87.5
14,16.0,20.0,13.0,4.6755,6.367,4.2845,18.0,30.0,24.0,88.8888888889,66.6666666667,54.1666666667
15,18.0,25.0,20.0,3.3015,5.1175,3.6765,18.0,30.0,24.0,100.0,83.3333333333,83.3333333333
16,18.0,27.0,18.0,2.718,4.5925,5.201,18.0,30.0,24.0,100.0,90.0,75.0
17,17.0,14.0,11.0,3.626,7.9495,7.4585,18.0,30.0,24.0,94.4444444444,46.6666666667,45.8333333333
18,17.0,24.0,13.0,3.3095,4.7005,3.835,18.0,30.0,24.0,94.4444444444,80.0,54.1666666667
19,17.0,19.0,14.0,4.1515,5.9835,5.017,18.0,30.0,24.0,94.4444444444,63.3333333333,58.3333333333
2,18.0,29.0,19.0,3.301,3.9515,3.8675,18.0,30.0,24.0,100.0,96.6666666667,79.1666666667
20,18.0,25.0,15.0,4.2925,8.2245,7.883,18.0,30.0,24.0,100.0,83.3333333333,62.5
21,18.0,30.0,20.0,3.6925,4.5425,4.976,18.0,30.0,24.0,100.0,100.0,83.3333333333
22,18.0,28.0,17.0,3.6095,4.734,5.4505,18.0,30.0,24.0,100.0,93.3333333333,70.8333333333
23,17.0,22.0,18.0,5.634,8.5075,7.2745,18.0,30.0,24.0,94.4444444444,73.3333333333,75.0
24,16.0,24.0,6.0,5.534,6.4,6.6165,18.0,30.0,24.0,88.8888888889,80.0,25.0
25,18.0,27.0,16.0,4.334,6.35,4.6095,18.0,30.0,24.0,100.0,90.0,66.6666666667
26,18.0,23.0,10.0,3.5265,5.059,3.843,18.0,30.0,24.0,100.0,76.6666666667,41.6666666667
27,18.0,30.0,20.0,3.2345,3.218,4.0595,18.0,30.0,24.0,100.0,100.0,83.3333333333
3,18.0,25.0,16.0,4.684,12.814,5.4335,18.0,30.0,24.0,100.0,83.3333333333,66.6666666667
4,18.0,30.0,19.0,3.2595,4.3925,6.3085,18.0,30.0,24.0,100.0,100.0,79.1666666667
5,18.0,29.0,21.0,2.9515,3.268,3.951,18.0,30.0,24.0,100.0,96.6666666667,87.5
6,18.0,22.0,16.0,3.9425,7.916,5.0255,18.0,30.0,24.0,100.0,73.3333333333,66.6666666667
7,17.0,22.0,19.0,4.1595,7.6415,6.717,18.0,30.0,24.0,94.4444444444,73.3333333333,79.1666666667
8,17.0,29.0,13.0,4.054,4.238,5.299,18.0,30.0,24.0,94.4444444444,96.6666666667,54.1666666667
9,18.0,29.0,17.0,3.493,6.2665,6.6585,18.0,30.0,24.0,100.0,96.6666666667,70.8333333333
jb,18.0,11.0,8.0,9.4675,13.884,8.959,18.0,30.0,24.0,100.0,36.6666666667,33.3333333333
