,attractiveness,likability
90,72.5,73.125
145,75.0,60.0
187,70.625,76.25
231,80.0,74.375
252,77.5,68.125
270,68.125,78.75
272,76.875,73.75
274,85.625,68.125
278,70.0,68.75
282,76.25,56.875
287,71.875,72.5
288,78.75,75.625
291,65.0,66.875
294,71.875,73.125
301,73.75,68.75
303,80.0,77.5
310,82.5,63.125
312,76.875,43.75
314,74.375,59.375
320,57.5,51.875
321,68.125,54.375
322,65.0,63.125
326,75.0,81.875
329,78.125,61.875
331,76.875,56.25
332,83.125,73.125
335,71.875,65.0
337,70.625,69.375
339,76.25,71.25
343,84.375,76.25
345,76.25,66.875
347,82.5,71.25
348,65.625,69.375
349,63.75,68.125
350,75.625,68.125
353,81.875,73.75
354,75.0,73.75
356,87.5,53.125
357,87.5,79.375
358,57.5,66.875
359,66.25,55.0
360,75.0,71.875
361,73.75,69.375
362,67.5,62.5
363,78.75,74.375
365,74.375,63.75
366,73.125,67.5
