img,num,basicLoop.thisRepN,basicLoop.thisTrialN,basicLoop.thisN,basicLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,key_resp_2.keys,key_resp_2.rt,basicRating1.response,basicRating1.rt,basicRating2.response,basicRating2.rt,basicRating3.response,basicRating3.rt,basicRating4.response,basicRating4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,key_resp_5.keys,key_resp_5.rt,date,group,expName,participant,frameRate,
,,,,,,,,,,,,,,return,25.1893439293,,,,,,,,,,,,,,,,,,,,,2015_Oct_11_1620,A,facesParametric,13,59.4989906899,
./basicStim/02F_DI_O.jpg,,0,0,0,8,,,,,,,,,,,None,None,None,None,DIS,3.785,None,None,,,,,,,,,,,,,2015_Oct_11_1620,A,facesParametric,13,59.4989906899,
./basicStim/28M_FE_O.jpg,,0,1,1,65,,,,,,,,,,,None,None,FEA,2.634,None,None,None,None,,,,,,,,,,,,,2015_Oct_11_1620,A,facesParametric,13,59.4989906899,
./basicStim/24M_AN_O.jpg,,0,2,2,56,,,,,,,,,,,None,None,ANG,2.25,None,None,None,None,,,,,,,,,,,,,2015_Oct_11_1620,A,facesParametric,13,59.4989906899,
./basicStim/07F_SP_O.jpg,,0,3,3,33,,,,,,,,,,,None,None,None,None,SUP,1.73,None,None,,,,,,,,,,,,,2015_Oct_11_1620,A,facesParametric,13,59.4989906899,
./basicStim/28M_SA_C.jpg,,0,4,4,67,,,,,,,,,,,None,None,FEA,4.259,None,None,None,None,,,,,,,,,,,,,2015_Oct_11_1620,A,facesParametric,13,59.4989906899,
./basicStim/34M_FE_O.jpg,,0,5,5,72,,,,,,,,,,,None,None,None,None,SUP,6.643,None,None,,,,,,,,,,,,,2015_Oct_11_1620,A,facesParametric,13,59.4989906899,
./basicStim/06F_DI_O.jpg,,0,6,6,22,,,,,,,,,,,None,None,None,None,DIS,3.459,None,None,,,,,,,,,,,,,2015_Oct_11_1620,A,facesParametric,13,59.4989906899,
./basicStim/02F_SP_O.jpg,,0,7,7,12,,,,,,,,,,,None,None,None,None,SUP,3.444,None,None,,,,,,,,,,,,,2015_Oct_11_1620,A,facesParametric,13,59.4989906899,
./basicStim/03F_NE_C.jpg,,0,8,8,20,,,,,,,,,,,None,None,None,None,None,None,NTR,1.442,,,,,,,,,,,,,2015_Oct_11_1620,A,facesParametric,13,59.4989906899,
./basicStim/34M_HA_O.jpg,,0,9,9,73,,,,,,,,,,,HAP,3.862,None,None,None,None,None,None,,,,,,,,,,,,,2015_Oct_11_1620,A,facesParametric,13,59.4989906899,
./basicStim/03F_HA_O.jpg,,0,10,10,17,,,,,,,,,,,HAP,0.961,None,None,None,None,None,None,,,,,,,,,,,,,2015_Oct_11_1620,A,facesParametric,13,59.4989906899,
./basicStim/24M_FE_O.jpg,,0,11,11,58,,,,,,,,,,,None,None,None,None,SUP,4.206,None,None,,,,,,,,,,,,,2015_Oct_11_1620,A,facesParametric,13,59.4989906899,
./basicStim/02F_NE_C.jpg,,0,12,12,13,,,,,,,,,,,None,None,None,None,None,None,NTR,1.477,,,,,,,,,,,,,2015_Oct_11_1620,A,facesParametric,13,59.4989906899,
./basicStim/21M_AN_O.jpg,,0,13,13,42,,,,,,,,,,,None,None,ANG,3.666,None,None,None,None,,,,,,,,,,,,,2015_Oct_11_1620,A,facesParametric,13,59.4989906899,
./basicStim/23M_FE_O.jpg,,0,14,14,51,,,,,,,,,,,SAD,5.603,None,None,None,None,None,None,,,,,,,,,,,,,2015_Oct_11_1620,A,facesParametric,13,59.4989906899,
./basicStim/07F_AN_O.jpg,,0,15,15,28,,,,,,,,,,,None,None,ANG,1.56,None,None,None,None,,,,,,,,,,,,,2015_Oct_11_1620,A,facesParametric,13,59.4989906899,
./basicStim/09F_AN_O.jpg,,0,16,16,35,,,,,,,,,,,None,None,ANG,0.896,None,None,None,None,,,,,,,,,,,,,2015_Oct_11_1620,A,facesParametric,13,59.4989906899,
./basicStim/06F_NE_C.jpg,,0,17,17,27,,,,,,,,,,,None,None,None,None,None,None,NTR,3.925,,,,,,,,,,,,,2015_Oct_11_1620,A,facesParametric,13,59.4989906899,
./basicStim/34M_SA_C.jpg,,0,18,18,74,,,,,,,,,,,SAD,3.462,None,None,None,None,None,None,,,,,,,,,,,,,2015_Oct_11_1620,A,facesParametric,13,59.4989906899,
./basicStim/28M_DI_O.jpg,,0,19,19,64,,,,,,,,,,,None,None,None,None,DIS,2.747,None,None,,,,,,,,,,,,,2015_Oct_11_1620,A,facesParametric,13,59.4989906899,
./basicStim/09F_NE_C.jpg,,0,20,20,41,,,,,,,,,,,None,None,None,None,None,None,NTR,1.282,,,,,,,,,,,,,2015_Oct_11_1620,A,facesParametric,13,59.4989906899,
./basicStim/07F_NE_C.jpg,,0,21,21,34,,,,,,,,,,,None,None,None,None,None,None,NTR,1.154,,,,,,,,,,,,,2015_Oct_11_1620,A,facesParametric,13,59.4989906899,
./basicStim/36M_SA_C.jpg,,0,22,22,81,,,,,,,,,,,None,None,None,None,None,None,NTR,5.841,,,,,,,,,,,,,2015_Oct_11_1620,A,facesParametric,13,59.4989906899,
./basicStim/01F_AN_O.jpg,,0,23,23,0,,,,,,,,,,,None,None,ANG,2.869,None,None,None,None,,,,,,,,,,,,,2015_Oct_11_1620,A,facesParametric,13,59.4989906899,
./basicStim/36M_FE_O.jpg,,0,24,24,79,,,,,,,,,,,SAD,11.249,None,None,None,None,None,None,,,,,,,,,,,,,2015_Oct_11_1620,A,facesParametric,13,59.4989906899,
./basicStim/02F_SA_C.jpg,,0,25,25,11,,,,,,,,,,,SAD,1.031,None,None,None,None,None,None,,,,,,,,,,,,,2015_Oct_11_1620,A,facesParametric,13,59.4989906899,
./basicStim/23M_AN_O.jpg,,0,26,26,49,,,,,,,,,,,None,None,ANG,5.079,None,None,None,None,,,,,,,,,,,,,2015_Oct_11_1620,A,facesParametric,13,59.4989906899,
./basicStim/28M_AN_O.jpg,,0,27,27,63,,,,,,,,,,,None,None,None,None,DIS,7.396,None,None,,,,,,,,,,,,,2015_Oct_11_1620,A,facesParametric,13,59.4989906899,
./basicStim/06F_SP_O.jpg,,0,28,28,26,,,,,,,,,,,None,None,None,None,SUP,1.894,None,None,,,,,,,,,,,,,2015_Oct_11_1620,A,facesParametric,13,59.4989906899,
./basicStim/21M_FE_O.jpg,,0,29,29,44,,,,,,,,,,,None,None,FEA,2.45,None,None,None,None,,,,,,,,,,,,,2015_Oct_11_1620,A,facesParametric,13,59.4989906899,
./basicStim/24M_DI_O.jpg,,0,30,30,57,,,,,,,,,,,SAD,6.527,None,None,None,None,None,None,,,,,,,,,,,,,2015_Oct_11_1620,A,facesParametric,13,59.4989906899,
./basicStim/21M_SP_O.jpg,,0,31,31,47,,,,,,,,,,,None,None,None,None,SUP,12.288,None,None,,,,,,,,,,,,,2015_Oct_11_1620,A,facesParametric,13,59.4989906899,
