img,num,basicLoop.thisRepN,basicLoop.thisTrialN,basicLoop.thisN,basicLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,key_resp_2.keys,key_resp_2.rt,basicRating1.response,basicRating1.rt,basicRating2.response,basicRating2.rt,basicRating3.response,basicRating3.rt,basicRating4.response,basicRating4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,date,group,expName,participant,frameRate,
,,,,,,,,,,,,,,return,16.917211771,,,,,,,,,,,,,,,,,,,,,,,2015_Nov_02_1800,A,facesParametric,15,59.5986688606,
./basicStim/23M_NE_C.jpg,,0,0,0,55,,,,,,,,,,,SAD,5.922,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Nov_02_1800,A,facesParametric,15,59.5986688606,
./basicStim/03F_DI_O.jpg,,0,1,1,15,,,,,,,,,,,None,None,None,None,DIS,4.51,None,None,,,,,,,,,,,,,,,2015_Nov_02_1800,A,facesParametric,15,59.5986688606,
./basicStim/01F_HA_O.jpg,,0,2,2,3,,,,,,,,,,,HAP,2.325,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Nov_02_1800,A,facesParametric,15,59.5986688606,
./basicStim/28M_SP_O.jpg,,0,3,3,68,,,,,,,,,,,None,None,None,None,SUP,2.168,None,None,,,,,,,,,,,,,,,2015_Nov_02_1800,A,facesParametric,15,59.5986688606,
./basicStim/09F_SA_C.jpg,,0,4,4,39,,,,,,,,,,,None,None,ANG,4.376,None,None,None,None,,,,,,,,,,,,,,,2015_Nov_02_1800,A,facesParametric,15,59.5986688606,
./basicStim/36M_FE_O.jpg,,0,5,5,79,,,,,,,,,,,None,None,None,None,SUP,3.877,None,None,,,,,,,,,,,,,,,2015_Nov_02_1800,A,facesParametric,15,59.5986688606,
./basicStim/21M_HA_O.jpg,,0,6,6,45,,,,,,,,,,,HAP,3.19,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Nov_02_1800,A,facesParametric,15,59.5986688606,
./basicStim/02F_DI_O.jpg,,0,7,7,8,,,,,,,,,,,None,None,None,None,DIS,1.342,None,None,,,,,,,,,,,,,,,2015_Nov_02_1800,A,facesParametric,15,59.5986688606,
./basicStim/24M_FE_O.jpg,,0,8,8,58,,,,,,,,,,,None,None,None,None,SUP,2.808,None,None,,,,,,,,,,,,,,,2015_Nov_02_1800,A,facesParametric,15,59.5986688606,
./basicStim/28M_SA_C.jpg,,0,9,9,67,,,,,,,,,,,None,None,None,None,None,None,NTR,3.408,,,,,,,,,,,,,,,2015_Nov_02_1800,A,facesParametric,15,59.5986688606,
./basicStim/06F_SA_C.jpg,,0,10,10,25,,,,,,,,,,,None,None,ANG,4.158,None,None,None,None,,,,,,,,,,,,,,,2015_Nov_02_1800,A,facesParametric,15,59.5986688606,
./basicStim/28M_DI_O.jpg,,0,11,11,64,,,,,,,,,,,None,None,None,None,DIS,3.03,None,None,,,,,,,,,,,,,,,2015_Nov_02_1800,A,facesParametric,15,59.5986688606,
./basicStim/23M_FE_O.jpg,,0,12,12,51,,,,,,,,,,,None,None,None,None,SUP,1.878,None,None,,,,,,,,,,,,,,,2015_Nov_02_1800,A,facesParametric,15,59.5986688606,
./basicStim/01F_FE_O.jpg,,0,13,13,2,,,,,,,,,,,None,None,None,None,SUP,1.147,None,None,,,,,,,,,,,,,,,2015_Nov_02_1800,A,facesParametric,15,59.5986688606,
./basicStim/28M_NE_C.jpg,,0,14,14,69,,,,,,,,,,,None,None,None,None,None,None,NTR,1.073,,,,,,,,,,,,,,,2015_Nov_02_1800,A,facesParametric,15,59.5986688606,
./basicStim/03F_HA_O.jpg,,0,15,15,17,,,,,,,,,,,HAP,1.383,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Nov_02_1800,A,facesParametric,15,59.5986688606,
./basicStim/02F_AN_O.jpg,,0,16,16,7,,,,,,,,,,,None,None,ANG,3.263,None,None,None,None,,,,,,,,,,,,,,,2015_Nov_02_1800,A,facesParametric,15,59.5986688606,
./basicStim/34M_NE_C.jpg,,0,17,17,76,,,,,,,,,,,None,None,None,None,None,None,NTR,2.065,,,,,,,,,,,,,,,2015_Nov_02_1800,A,facesParametric,15,59.5986688606,
./basicStim/21M_AN_O.jpg,,0,18,18,42,,,,,,,,,,,None,None,ANG,1.33,None,None,None,None,,,,,,,,,,,,,,,2015_Nov_02_1800,A,facesParametric,15,59.5986688606,
./basicStim/34M_SP_O.jpg,,0,19,19,75,,,,,,,,,,,None,None,None,None,SUP,1.63,None,None,,,,,,,,,,,,,,,2015_Nov_02_1800,A,facesParametric,15,59.5986688606,
./basicStim/34M_FE_O.jpg,,0,20,20,72,,,,,,,,,,,None,None,None,None,DIS,3.388,None,None,,,,,,,,,,,,,,,2015_Nov_02_1800,A,facesParametric,15,59.5986688606,
./basicStim/07F_HA_O.jpg,,0,21,21,31,,,,,,,,,,,HAP,1.564,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Nov_02_1800,A,facesParametric,15,59.5986688606,
./basicStim/24M_DI_O.jpg,,0,22,22,57,,,,,,,,,,,None,None,FEA,3.528,None,None,None,None,,,,,,,,,,,,,,,2015_Nov_02_1800,A,facesParametric,15,59.5986688606,
./basicStim/07F_FE_O.jpg,,0,23,23,30,,,,,,,,,,,None,None,None,None,DIS,1.849,None,None,,,,,,,,,,,,,,,2015_Nov_02_1800,A,facesParametric,15,59.5986688606,
./basicStim/07F_NE_C.jpg,,0,24,24,34,,,,,,,,,,,None,None,None,None,None,None,NTR,0.709,,,,,,,,,,,,,,,2015_Nov_02_1800,A,facesParametric,15,59.5986688606,
./basicStim/23M_AN_O.jpg,,0,25,25,49,,,,,,,,,,,None,None,ANG,2.737,None,None,None,None,,,,,,,,,,,,,,,2015_Nov_02_1800,A,facesParametric,15,59.5986688606,
./basicStim/36M_NE_C.jpg,,0,26,26,83,,,,,,,,,,,None,None,None,None,None,None,NTR,1.177,,,,,,,,,,,,,,,2015_Nov_02_1800,A,facesParametric,15,59.5986688606,
./basicStim/09F_SP_O.jpg,,0,27,27,40,,,,,,,,,,,None,None,None,None,SUP,2.841,None,None,,,,,,,,,,,,,,,2015_Nov_02_1800,A,facesParametric,15,59.5986688606,
./basicStim/09F_NE_C.jpg,,0,28,28,41,,,,,,,,,,,None,None,None,None,None,None,NTR,0.939,,,,,,,,,,,,,,,2015_Nov_02_1800,A,facesParametric,15,59.5986688606,
./basicStim/24M_SA_C.jpg,,0,29,29,60,,,,,,,,,,,None,None,None,None,SUP,2.721,None,None,,,,,,,,,,,,,,,2015_Nov_02_1800,A,facesParametric,15,59.5986688606,
./basicStim/06F_NE_C.jpg,,0,30,30,27,,,,,,,,,,,None,None,None,None,None,None,NTR,0.824,,,,,,,,,,,,,,,2015_Nov_02_1800,A,facesParametric,15,59.5986688606,
./basicStim/21M_NE_C.jpg,,0,31,31,48,,,,,,,,,,,None,None,None,None,None,None,NTR,0.794,,,,,,,,,,,,,,,2015_Nov_02_1800,A,facesParametric,15,59.5986688606,
./basicStim/02F_FE_O.jpg,,0,32,32,9,,,,,,,,,,,None,None,FEA,1.865,None,None,None,None,,,,,,,,,,,,,,,2015_Nov_02_1800,A,facesParametric,15,59.5986688606,
./basicStim/34M_DI_O.jpg,,0,33,33,71,,,,,,,,,,,None,None,None,None,DIS,1.945,None,None,,,,,,,,,,,,,,,2015_Nov_02_1800,A,facesParametric,15,59.5986688606,
./basicStim/03F_NE_C.jpg,,0,34,34,20,,,,,,,,,,,None,None,None,None,None,None,NTR,2.498,,,,,,,,,,,,,,,2015_Nov_02_1800,A,facesParametric,15,59.5986688606,
./basicStim/06F_DI_O.jpg,,0,35,35,22,,,,,,,,,,,None,None,FEA,2.35,None,None,None,None,,,,,,,,,,,,,,,2015_Nov_02_1800,A,facesParametric,15,59.5986688606,
./basicStim/36M_HA_O.jpg,,0,36,36,80,,,,,,,,,,,HAP,3.325,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Nov_02_1800,A,facesParametric,15,59.5986688606,
