img,num,basicLoop.thisRepN,basicLoop.thisTrialN,basicLoop.thisN,basicLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,key_resp_2.keys,key_resp_2.rt,basicRating1.response,basicRating1.rt,basicRating2.response,basicRating2.rt,basicRating3.response,basicRating3.rt,basicRating4.response,basicRating4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,key_resp_5.keys,key_resp_5.rt,date,group,expName,participant,frameRate,
,,,,,,,,,,,,,,return,48.2595658302,,,,,,,,,,,,,,,,,,,,,2015_Aug_23_1225,A,facesParametric,1,59.8211201456,
./basicStim/23M_HA_O.jpg,,0,0,0,52,,,,,,,,,,,HAP,5.641,None,None,None,None,None,None,,,,,,,,,,,,,2015_Aug_23_1225,A,facesParametric,1,59.8211201456,
./basicStim/34M_FE_O.jpg,,0,1,1,72,,,,,,,,,,,None,None,FEA,3.339,None,None,None,None,,,,,,,,,,,,,2015_Aug_23_1225,A,facesParametric,1,59.8211201456,
./basicStim/24M_HA_O.jpg,,0,2,2,59,,,,,,,,,,,HAP,2.5,None,None,None,None,None,None,,,,,,,,,,,,,2015_Aug_23_1225,A,facesParametric,1,59.8211201456,
./basicStim/06F_FE_O.jpg,,0,3,3,23,,,,,,,,,,,None,None,None,None,SUP,2.266,None,None,,,,,,,,,,,,,2015_Aug_23_1225,A,facesParametric,1,59.8211201456,
./basicStim/24M_FE_O.jpg,,0,4,4,58,,,,,,,,,,,None,None,None,None,DIS,1.694,None,None,,,,,,,,,,,,,2015_Aug_23_1225,A,facesParametric,1,59.8211201456,
./basicStim/36M_HA_O.jpg,,0,5,5,80,,,,,,,,,,,HAP,1.564,None,None,None,None,None,None,,,,,,,,,,,,,2015_Aug_23_1225,A,facesParametric,1,59.8211201456,
./basicStim/23M_SP_O.jpg,,0,6,6,54,,,,,,,,,,,None,None,None,None,SUP,1.447,None,None,,,,,,,,,,,,,2015_Aug_23_1225,A,facesParametric,1,59.8211201456,
./basicStim/21M_FE_O.jpg,,0,7,7,44,,,,,,,,,,,None,None,ANG,2.067,None,None,None,None,,,,,,,,,,,,,2015_Aug_23_1225,A,facesParametric,1,59.8211201456,
./basicStim/34M_NE_C.jpg,,0,8,8,76,,,,,,,,,,,SAD,10.781,None,None,None,None,None,None,,,,,,,,,,,,,2015_Aug_23_1225,A,facesParametric,1,59.8211201456,
./basicStim/02F_FE_O.jpg,,0,9,9,9,,,,,,,,,,,None,None,None,None,DIS,1.699,None,None,,,,,,,,,,,,,2015_Aug_23_1225,A,facesParametric,1,59.8211201456,
./basicStim/21M_SA_C.jpg,,0,10,10,46,,,,,,,,,,,None,None,ANG,5.406,None,None,None,None,,,,,,,,,,,,,2015_Aug_23_1225,A,facesParametric,1,59.8211201456,
./basicStim/36M_AN_O.jpg,,0,11,11,77,,,,,,,,,,,None,None,ANG,1.491,None,None,None,None,,,,,,,,,,,,,2015_Aug_23_1225,A,facesParametric,1,59.8211201456,
./basicStim/34M_SP_O.jpg,,0,12,12,75,,,,,,,,,,,None,None,None,None,SUP,1.293,None,None,,,,,,,,,,,,,2015_Aug_23_1225,A,facesParametric,1,59.8211201456,
