img,num,basicLoop.thisRepN,basicLoop.thisTrialN,basicLoop.thisN,basicLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,key_resp_2.keys,key_resp_2.rt,basicRating1.response,basicRating1.rt,basicRating2.response,basicRating2.rt,basicRating3.response,basicRating3.rt,basicRating4.response,basicRating4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,key_resp_5.keys,key_resp_5.rt,date,group,expName,participant,frameRate,
,,,,,,,,,,,,,,return,1.373939991,,,,,,,,,,,,,,,,,,,,,2015_Sep_18_1934,A,facesParametric,7,59.6754935605,
./basicStim/28M_SP_O.jpg,,0,0,0,68,,,,,,,,,,,None,None,FEA,10.666,None,None,None,None,,,,,,,,,,,,,2015_Sep_18_1934,A,facesParametric,7,59.6754935605,
./basicStim/21M_NE_C.jpg,,0,1,1,48,,,,,,,,,,,None,None,None,None,None,None,NTR,8.415,,,,,,,,,,,,,2015_Sep_18_1934,A,facesParametric,7,59.6754935605,
./basicStim/34M_DI_O.jpg,,0,2,2,71,,,,,,,,,,,None,None,None,None,DIS,6.862,None,None,,,,,,,,,,,,,2015_Sep_18_1934,A,facesParametric,7,59.6754935605,
./basicStim/24M_AN_O.jpg,,0,3,3,56,,,,,,,,,,,None,None,ANG,5.86,None,None,None,None,,,,,,,,,,,,,2015_Sep_18_1934,A,facesParametric,7,59.6754935605,
./basicStim/02F_DI_O.jpg,,0,4,4,8,,,,,,,,,,,None,None,None,None,DIS,5.603,None,None,,,,,,,,,,,,,2015_Sep_18_1934,A,facesParametric,7,59.6754935605,
./basicStim/01F_FE_O.jpg,,0,5,5,2,,,,,,,,,,,None,None,None,None,SUP,4.349,None,None,,,,,,,,,,,,,2015_Sep_18_1934,A,facesParametric,7,59.6754935605,
./basicStim/07F_SA_C.jpg,,0,6,6,32,,,,,,,,,,,SAD,4.684,None,None,None,None,None,None,,,,,,,,,,,,,2015_Sep_18_1934,A,facesParametric,7,59.6754935605,
./basicStim/21M_DI_O.jpg,,0,7,7,43,,,,,,,,,,,None,None,None,None,DIS,2.704,None,None,,,,,,,,,,,,,2015_Sep_18_1934,A,facesParametric,7,59.6754935605,
./basicStim/07F_SP_O.jpg,,0,8,8,33,,,,,,,,,,,None,None,None,None,SUP,2.918,None,None,,,,,,,,,,,,,2015_Sep_18_1934,A,facesParametric,7,59.6754935605,
./basicStim/01F_AN_O.jpg,,0,9,9,0,,,,,,,,,,,None,None,ANG,4.261,None,None,None,None,,,,,,,,,,,,,2015_Sep_18_1934,A,facesParametric,7,59.6754935605,
./basicStim/06F_FE_O.jpg,,0,10,10,23,,,,,,,,,,,None,None,None,None,SUP,1.361,None,None,,,,,,,,,,,,,2015_Sep_18_1934,A,facesParametric,7,59.6754935605,
./basicStim/06F_AN_O.jpg,,0,11,11,21,,,,,,,,,,,None,None,ANG,0.994,None,None,None,None,,,,,,,,,,,,,2015_Sep_18_1934,A,facesParametric,7,59.6754935605,
./basicStim/02F_SA_C.jpg,,0,12,12,11,,,,,,,,,,,SAD,1.718,None,None,None,None,None,None,,,,,,,,,,,,,2015_Sep_18_1934,A,facesParametric,7,59.6754935605,
./basicStim/24M_SP_O.jpg,,0,13,13,61,,,,,,,,,,,None,None,None,None,SUP,2.516,None,None,,,,,,,,,,,,,2015_Sep_18_1934,A,facesParametric,7,59.6754935605,
./basicStim/34M_SA_C.jpg,,0,14,14,74,,,,,,,,,,,SAD,3.089,None,None,None,None,None,None,,,,,,,,,,,,,2015_Sep_18_1934,A,facesParametric,7,59.6754935605,
./basicStim/03F_NE_C.jpg,,0,15,15,20,,,,,,,,,,,None,None,None,None,None,None,NTR,1.359,,,,,,,,,,,,,2015_Sep_18_1934,A,facesParametric,7,59.6754935605,
./basicStim/02F_SP_O.jpg,,0,16,16,12,,,,,,,,,,,None,None,None,None,SUP,1.456,None,None,,,,,,,,,,,,,2015_Sep_18_1934,A,facesParametric,7,59.6754935605,
./basicStim/01F_SA_C.jpg,,0,17,17,4,,,,,,,,,,,SAD,1.377,None,None,None,None,None,None,,,,,,,,,,,,,2015_Sep_18_1934,A,facesParametric,7,59.6754935605,
./basicStim/21M_SA_C.jpg,,0,18,18,46,,,,,,,,,,,SAD,0.791,None,None,None,None,None,None,,,,,,,,,,,,,2015_Sep_18_1934,A,facesParametric,7,59.6754935605,
./basicStim/21M_FE_O.jpg,,0,19,19,44,,,,,,,,,,,SAD,8.6,None,None,None,None,None,None,,,,,,,,,,,,,2015_Sep_18_1934,A,facesParametric,7,59.6754935605,
