img,num,basicLoop.thisRepN,basicLoop.thisTrialN,basicLoop.thisN,basicLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,key_resp_2.keys,key_resp_2.rt,basicRating1.response,basicRating1.rt,basicRating2.response,basicRating2.rt,basicRating3.response,basicRating3.rt,basicRating4.response,basicRating4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,date,group,expName,participant,frameRate,
,,,,,,,,,,,,,,return,88.9068851471,,,,,,,,,,,,,,,,,,,,,,,2015_Sep_20_1229,A,facesParametric,9,59.6826264144,
./basicStim/06F_NE_C.jpg,,0,0,0,27,,,,,,,,,,,SAD,4.698,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Sep_20_1229,A,facesParametric,9,59.6826264144,
./basicStim/23M_AN_O.jpg,,0,1,1,49,,,,,,,,,,,None,None,ANG,2.945,None,None,None,None,,,,,,,,,,,,,,,2015_Sep_20_1229,A,facesParametric,9,59.6826264144,
./basicStim/06F_FE_O.jpg,,0,2,2,23,,,,,,,,,,,None,None,None,None,SUP,2.616,None,None,,,,,,,,,,,,,,,2015_Sep_20_1229,A,facesParametric,9,59.6826264144,
./basicStim/28M_HA_O.jpg,,0,3,3,66,,,,,,,,,,,HAP,1.651,None,None,None,None,None,None,,,,,,,,,,,,,,,2015_Sep_20_1229,A,facesParametric,9,59.6826264144,
./basicStim/02F_DI_O.jpg,,0,4,4,8,,,,,,,,,,,None,None,None,None,DIS,1.781,None,None,,,,,,,,,,,,,,,2015_Sep_20_1229,A,facesParametric,9,59.6826264144,
./basicStim/36M_DI_O.jpg,,0,5,5,78,,,,,,,,,,,None,None,None,None,None,None,NTR,2.699,,,,,,,,,,,,,,,2015_Sep_20_1229,A,facesParametric,9,59.6826264144,
./basicStim/09F_AN_O.jpg,,0,6,6,35,,,,,,,,,,,None,None,ANG,2.219,None,None,None,None,,,,,,,,,,,,,,,2015_Sep_20_1229,A,facesParametric,9,59.6826264144,
./basicStim/07F_DI_O.jpg,,0,7,7,29,,,,,,,,,,,None,None,None,None,DIS,2.967,None,None,,,,,,,,,,,,,,,2015_Sep_20_1229,A,facesParametric,9,59.6826264144,
./basicStim/28M_SA_C.jpg,,0,8,8,67,,,,,,,,,,,None,None,None,None,SUP,1.865,None,None,,,,,,,,,,,,,,,2015_Sep_20_1229,A,facesParametric,9,59.6826264144,
./basicStim/09F_SP_O.jpg,,0,9,9,40,,,,,,,,,,,None,None,None,None,SUP,1.785,None,None,,,,,,,,,,,,,,,2015_Sep_20_1229,A,facesParametric,9,59.6826264144,
