img,basicLoop.thisRepN,basicLoop.thisTrialN,basicLoop.thisN,basicLoop.thisIndex,key_resp_2.keys,key_resp_2.rt,basicRating1.response,basicRating1.rt,basicRating2.response,basicRating2.rt,basicRating3.response,basicRating3.rt,basicRating4.response,basicRating4.rt,key_resp_3.keys,key_resp_3.rt,date,group,expName,participant,frameRate,
,,,,,space,233.367105007,,,,,,,,,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/07F_DI_O.jpg,0,0,0,29,,,None,None,None,None,DIS,4.694,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/21M_AN_O.jpg,0,1,1,42,,,None,None,ANG,2.516,None,None,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/34M_HA_O.jpg,0,2,2,73,,,HAP,3.038,None,None,None,None,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/01F_HA_O.jpg,0,3,3,3,,,HAP,4.044,None,None,None,None,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/07F_FE_O.jpg,0,4,4,30,,,None,None,None,None,DIS,3.888,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/21M_FE_O.jpg,0,5,5,44,,,None,None,FEA,6.41,None,None,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/02F_SP_O.jpg,0,6,6,12,,,None,None,None,None,SUP,7.307,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/03F_NE_C.jpg,0,7,7,20,,,None,None,None,None,None,None,NTR,3.281,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/34M_DI_O.jpg,0,8,8,71,,,None,None,None,None,DIS,2.276,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/34M_SA_C.jpg,0,9,9,74,,,SAD,1.474,None,None,None,None,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/07F_NE_C.jpg,0,10,10,34,,,None,None,None,None,None,None,NTR,1.195,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/28M_AN_O.jpg,0,11,11,63,,,SAD,15.761,None,None,None,None,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/21M_SA_C.jpg,0,12,12,46,,,SAD,4.999,None,None,None,None,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/23M_NE_C.jpg,0,13,13,55,,,None,None,None,None,None,None,NTR,1.196,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/09F_DI_O.jpg,0,14,14,36,,,None,None,None,None,DIS,1.8,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/03F_SA_C.jpg,0,15,15,18,,,SAD,2.386,None,None,None,None,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/09F_AN_O.jpg,0,16,16,35,,,None,None,ANG,1.049,None,None,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/02F_HA_O.jpg,0,17,17,10,,,HAP,2.029,None,None,None,None,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/07F_HA_O.jpg,0,18,18,31,,,HAP,1.196,None,None,None,None,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
