img,descript,name,context,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ratingBekannt.response,ratingBekannt.rt,date,frameRate,expName,session,participant,
,,,,,,,,space,14.6593922099,,,2017_Feb_08_1348,60.0310034524,textInputTest,001,14,
./img/BarackObama2.jpg,Präsident der USA Demokratische Partei,Barack Obama,Politiker,0,0,0,2,,,ja,5.964,2017_Feb_08_1348,60.0310034524,textInputTest,001,14,
./img/JudithRakers7.jpg,"Tagesschau" in der ARD,Judith Rakers,Nachrichtensprecherin,0,1,1,29,,,nein,2.763,2017_Feb_08_1348,60.0310034524,textInputTest,001,14,
./img/OmarEpps(DrEricForeman)1.jpg,"Dr. House" (Dr. Eric Foreman),Omar Epps,Schauspieler,0,2,2,34,,,ja,5.997,2017_Feb_08_1348,60.0310034524,textInputTest,001,14,
./img/JimParsons(SheldonCooper)1.jpg,"The Big Bang Theory" (Dr. Sheldon Cooper),Jim Parsons,Schauspieler,0,3,3,26,,,ja,4.673,2017_Feb_08_1348,60.0310034524,textInputTest,001,14,
./img/BritneySpears5.jpg,"…Baby One More Time" "Oops! …I Did It Again" "Toxic",Britney Spears,Sängerin,0,4,4,17,,,ja,3.296,2017_Feb_08_1348,60.0310034524,textInputTest,001,14,
./img/HughLaurie(DrHouse)9.jpg,"Dr. House" (Dr. Gregory House),Hugh Laurie,Schauspieler ,0,5,5,6,,,ja,2.398,2017_Feb_08_1348,60.0310034524,textInputTest,001,14,
./img/EmilyDeschanel3.jpg,"Bones - Die Knochenjägerin" (Dr. Temperance 'Bones' Brennan),Emily Deschanel,Schauspielerin,0,6,6,4,,,nein,4.64,2017_Feb_08_1348,60.0310034524,textInputTest,001,14,
./img/CarenMiosga4.jpg,"tagesthemen" früher "ttt - titel thesen temperamente",Caren Miosga,Moderatorin,0,7,7,3,,,nein,5.645,2017_Feb_08_1348,60.0310034524,textInputTest,001,14,
./img/JoachimLoew1.jpg,Bundestrainer der deutschen Fußballnationalmannschaft,Joachim Löw,Trainer,0,8,8,27,,,nein,9.446,2017_Feb_08_1348,60.0310034524,textInputTest,001,14,
./img/AlysonHannigan(Lily)1.jpg,"How I Met Your Mother" (Lily Aldrin),Alyson Hannigan,Schauspielerin,0,9,9,0,,,ja,5.64,2017_Feb_08_1348,60.0310034524,textInputTest,001,14,
./img/KaleyCuoco(Penny)2.jpg,"The Big Bang Theory" (Penny Hofstadter),Kaley Cuoco,Schauspielerin,0,10,10,30,,,ja,6.543,2017_Feb_08_1348,60.0310034524,textInputTest,001,14,
./img/SahraWagenknecht6.jpg,Fraktionsvorsitzende DIE LINKE,Sahra Wagenknecht,Politikerin  ,0,11,11,35,,,nein,3.175,2017_Feb_08_1348,60.0310034524,textInputTest,001,14,
./img/GeorgeClooney6.jpg,"Batman & Robin" "Gravity" "Ocean's Eleven",George Clooney,Schauspieler,0,12,12,23,,,ja,4.683,2017_Feb_08_1348,60.0310034524,textInputTest,001,14,
./img/JasonSegel(Marshall)2.jpg,"How I Met Your Mother" (Marshall Eriksen),Jason Segel,Schauspieler,0,13,13,7,,,ja,2.429,2017_Feb_08_1348,60.0310034524,textInputTest,001,14,
./img/JoshRadnor(Ted)1.jpg,"How I Met Your Mother" (Ted Mosby),Josh Radnor,Schauspieler,0,14,14,28,,,ja,2.233,2017_Feb_08_1348,60.0310034524,textInputTest,001,14,
./img/Shakira1.jpg,"Hips Don't Lie" "Waka Waka" "Whenever Wherever",Shakira,Sängerin,0,15,15,36,,,ja,4.783,2017_Feb_08_1348,60.0310034524,textInputTest,001,14,
./img/NeilPatrickHarris(Barney)4.jpg,"How I Met Your Mother" (Barney Stinson),Neil Patrick Harris,Schauspieler,0,16,16,10,,,ja,2.05,2017_Feb_08_1348,60.0310034524,textInputTest,001,14,
./img/BastianSchweinsteiger1.jpg,Fußballspieler bei Manchester United früher FC Bayern München,Bastian Schweinsteiger,Sportler,0,17,17,14,,,nein,4.211,2017_Feb_08_1348,60.0310034524,textInputTest,001,14,
./img/LisaEdelstein(DrLisaCuddy)2.jpg,"Dr. House" (Dr. Lisa Cuddy),Lisa Edelstein,Schauspielerin,0,18,18,32,,,ja,2.817,2017_Feb_08_1348,60.0310034524,textInputTest,001,14,
./img/GuentherJauch2.jpg,"Wer wird Millionär?" früher "stern TV",Günther Jauch,Moderator ,0,19,19,5,,,nein,6.38,2017_Feb_08_1348,60.0310034524,textInputTest,001,14,
./img/RobertSeanLeonard(Wilson)2.jpg,"Dr. House" (Dr. James Wilson),Robert Sean Leonard,Schauspieler,0,20,20,12,,,ja,2.1,2017_Feb_08_1348,60.0310034524,textInputTest,001,14,
./img/SigmarGabriel1.jpg,Bundesminister für Wirtschaft und Energie & Parteivorsitzender SPD,Sigmar Gabriel,Politiker,0,21,21,37,,,nein,2.646,2017_Feb_08_1348,60.0310034524,textInputTest,001,14,
./img/Usher1.jpg,"DJ Got Us Fallin' in Love" "More" "OMG" "Yeah!",Usher,Sänger,0,22,22,41,,,nein,6.816,2017_Feb_08_1348,60.0310034524,textInputTest,001,14,
./img/DannFlorek(DonaldDonCragen)1.jpg,"Law & Order: Special Victims Unit" (Donald 'Don' Cragen),Dann Florek,Schauspieler,0,23,23,20,,,nein,2.136,2017_Feb_08_1348,60.0310034524,textInputTest,001,14,
./img/NicoleKidman4.jpg,"Australia" "Moulin Rouge" "To Die For",Nicole Kidman,Schauspielerin,0,24,24,11,,,ja,5.096,2017_Feb_08_1348,60.0310034524,textInputTest,001,14,
./img/TaylorSwift1.jpg,"Blank Space" "I Knew You Were Trouble" "Shake It Off",Taylor Swift,Sängerin,0,25,25,38,,,nein,3.467,2017_Feb_08_1348,60.0310034524,textInputTest,001,14,
./img/Ice-T(OdafinFinTutuola)1.jpg,"Law & Order: Special Victims Unit" (Odafin 'Fin' Tutuola),Ice-T,Schauspieler und Musiker,0,26,26,24,,,ja,6.771,2017_Feb_08_1348,60.0310034524,textInputTest,001,14,
./img/ElvisPresley1.jpg,"Hound Dog" "In the Ghetto" "Jailhouse Rock",Elvis Presley,Sänger,0,27,27,21,,,ja,3.315,2017_Feb_08_1348,60.0310034524,textInputTest,001,14,
./img/MariskaHargitay(Liv)1.jpg,"Law & Order: Special Victims Unit" (Olivia 'Liv' Benson),Mariska Hargitay,Schauspielerin,0,28,28,9,,,nein,5.478,2017_Feb_08_1348,60.0310034524,textInputTest,001,14,
./img/CobieSmulders(Robin)2.jpg,"How I Met Your Mother" (Robin Scherbatsky),Cobie Smulders,Schauspielerin,0,29,29,18,,,ja,2.295,2017_Feb_08_1348,60.0310034524,textInputTest,001,14,
./img/MilaKunis5.jpg,"Black Swan" "Freunde mit gewissen Vorzügen" "Ted",Mila Kunis,Schauspielerin,0,30,30,33,,,nein,4.046,2017_Feb_08_1348,60.0310034524,textInputTest,001,14,
./img/KatjaBurkard5.jpg,"Punkt 12" bei RTL,Katja Burkard,Moderatorin,0,31,31,8,,,nein,3.481,2017_Feb_08_1348,60.0310034524,textInputTest,001,14,
./img/UrsulavonderLeyen1.jpg,Bundesministerin der Verteidigung CDU,Ursula von der Leyen,Politikerin,0,32,32,40,,,nein,3.258,2017_Feb_08_1348,60.0310034524,textInputTest,001,14,
./img/BenedictCumberbatch4.jpg,"Der Hobbit"-Filme (Stimme des Drachen Smaug) "Sherlock",Benedict Cumberbatch,Schauspieler,0,33,33,15,,,ja,1.944,2017_Feb_08_1348,60.0310034524,textInputTest,001,14,
./img/AngelaMerkel1.jpg,Bundeskanzlerin CDU,Angela Merkel,Politikerin,0,34,34,1,,,ja,1.837,2017_Feb_08_1348,60.0310034524,textInputTest,001,14,
./img/Beyonce2.jpg,"Crazy in Love" "Halo" "If I Were a Boy" "Single Ladies",Beyoncé,Sängerin,0,35,35,16,,,ja,2.781,2017_Feb_08_1348,60.0310034524,textInputTest,001,14,
./img/TomCruise2.jpg,"Knight and Day" "Mission: Impossible"-Filme "Oblivion",Tom Cruise,Schauspieler,0,36,36,39,,,ja,3.565,2017_Feb_08_1348,60.0310034524,textInputTest,001,14,
./img/LeonardoDiCaprio1.jpg,"Django Unchained" "The Great Gatsby" "Titanic",Leonardo DiCaprio,Schauspieler,0,37,37,31,,,ja,2.15,2017_Feb_08_1348,60.0310034524,textInputTest,001,14,
./img/CristinMilioti(Tracy_Mutter)1.jpg,"How I Met Your Mother" (Tracy Mosby die Mutter),Cristin Milioti,Schauspielerin,0,38,38,19,,,ja,8.215,2017_Feb_08_1348,60.0310034524,textInputTest,001,14,
./img/WillSmith4.jpg,"I Am Legend" "Independence Day" "Men in Black"-Filme,Will Smith,Schauspieler,0,39,39,13,,,ja,3.211,2017_Feb_08_1348,60.0310034524,textInputTest,001,14,
./img/JanHofer1.jpg,"Tagesschau" in der ARD,Jan Hofer,Nachrichtensprecher,0,40,40,25,,,nein,3.332,2017_Feb_08_1348,60.0310034524,textInputTest,001,14,
./img/EmmaWatson(HermioneGranger)1.jpg,"Harry Potter"-Filme (Hermione Granger),Emma Watson,Schauspielerin,0,41,41,22,,,ja,1.93,2017_Feb_08_1348,60.0310034524,textInputTest,001,14,
