img,descript,name,context,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ratingBekannt.response,ratingBekannt.rt,date,frameRate,expName,session,participant,
,,,,,,,,space,30.2858930507,,,2017_Mrz_01_1702,60.0361863202,textInputTest,001,27,
./img/CarenMiosga4.jpg,"tagesthemen" früher "ttt - titel thesen temperamente",Caren Miosga,Moderatorin,0,0,0,3,,,ja,15.939,2017_Mrz_01_1702,60.0361863202,textInputTest,001,27,
./img/LisaEdelstein(DrLisaCuddy)2.jpg,"Dr. House" (Dr. Lisa Cuddy),Lisa Edelstein,Schauspielerin,0,1,1,32,,,nein,10.122,2017_Mrz_01_1702,60.0361863202,textInputTest,001,27,
./img/JoachimLoew1.jpg,Bundestrainer der deutschen Fußballnationalmannschaft,Joachim Löw,Trainer,0,2,2,27,,,ja,3.327,2017_Mrz_01_1702,60.0361863202,textInputTest,001,27,
./img/BenedictCumberbatch4.jpg,"Der Hobbit"-Filme (Stimme des Drachen Smaug) "Sherlock",Benedict Cumberbatch,Schauspieler,0,3,3,15,,,nein,5.558,2017_Mrz_01_1702,60.0361863202,textInputTest,001,27,
./img/AlysonHannigan(Lily)1.jpg,"How I Met Your Mother" (Lily Aldrin),Alyson Hannigan,Schauspielerin,0,4,4,0,,,nein,6.044,2017_Mrz_01_1702,60.0361863202,textInputTest,001,27,
./img/TaylorSwift1.jpg,"Blank Space" "I Knew You Were Trouble" "Shake It Off",Taylor Swift,Sängerin,0,5,5,38,,,nein,5.065,2017_Mrz_01_1702,60.0361863202,textInputTest,001,27,
./img/AngelaMerkel1.jpg,Bundeskanzlerin CDU,Angela Merkel,Politikerin,0,6,6,1,,,ja,2.662,2017_Mrz_01_1702,60.0361863202,textInputTest,001,27,
./img/NeilPatrickHarris(Barney)4.jpg,"How I Met Your Mother" (Barney Stinson),Neil Patrick Harris,Schauspieler,0,7,7,10,,,nein,5.187,2017_Mrz_01_1702,60.0361863202,textInputTest,001,27,
./img/ElvisPresley1.jpg,"Hound Dog" "In the Ghetto" "Jailhouse Rock",Elvis Presley,Sänger,0,8,8,21,,,ja,2.745,2017_Mrz_01_1702,60.0361863202,textInputTest,001,27,
./img/GuentherJauch2.jpg,"Wer wird Millionär?" früher "stern TV",Günther Jauch,Moderator ,0,9,9,5,,,ja,2.398,2017_Mrz_01_1702,60.0361863202,textInputTest,001,27,
./img/TomCruise2.jpg,"Knight and Day" "Mission: Impossible"-Filme "Oblivion",Tom Cruise,Schauspieler,0,10,10,39,,,ja,7.297,2017_Mrz_01_1702,60.0361863202,textInputTest,001,27,
./img/LeonardoDiCaprio1.jpg,"Django Unchained" "The Great Gatsby" "Titanic",Leonardo DiCaprio,Schauspieler,0,11,11,31,,,ja,3.142,2017_Mrz_01_1702,60.0361863202,textInputTest,001,27,
./img/HughLaurie(DrHouse)9.jpg,"Dr. House" (Dr. Gregory House),Hugh Laurie,Schauspieler ,0,12,12,6,,,nein,4.944,2017_Mrz_01_1702,60.0361863202,textInputTest,001,27,
