img,descript,name,context,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ratingBekannt.response,ratingBekannt.rt,date,frameRate,expName,session,participant,
,,,,,,,,space,14.2255821361,,,2017_Jan_25_1522,59.9962471573,textInputTest,001,4,
./img/EmilyDeschanel3.jpg,"Bones - Die Knochenjägerin" (Dr. Temperance 'Bones' Brennan),Emily Deschanel,Schauspielerin,0,0,0,4,,,ja,15.514,2017_Jan_25_1522,59.9962471573,textInputTest,001,4,
./img/CobieSmulders(Robin)2.jpg,"How I Met Your Mother" (Robin Scherbatsky),Cobie Smulders,Schauspielerin,0,1,1,18,,,ja,7.784,2017_Jan_25_1522,59.9962471573,textInputTest,001,4,
./img/MariskaHargitay(Liv)1.jpg,"Law & Order: Special Victims Unit" (Olivia 'Liv' Benson),Mariska Hargitay,Schauspielerin,0,2,2,9,,,ja,10.938,2017_Jan_25_1522,59.9962471573,textInputTest,001,4,
./img/ElvisPresley1.jpg,"Hound Dog" "In the Ghetto" "Jailhouse Rock",Elvis Presley,Sänger,0,3,3,21,,,ja,2.72,2017_Jan_25_1522,59.9962471573,textInputTest,001,4,
./img/SahraWagenknecht6.jpg,Fraktionsvorsitzende DIE LINKE,Sahra Wagenknecht,Politikerin  ,0,4,4,35,,,ja,6.408,2017_Jan_25_1522,59.9962471573,textInputTest,001,4,
./img/WillSmith4.jpg,"I Am Legend" "Independence Day" "Men in Black"-Filme,Will Smith,Schauspieler,0,5,5,13,,,ja,2.891,2017_Jan_25_1522,59.9962471573,textInputTest,001,4,
./img/NicoleKidman4.jpg,"Australia" "Moulin Rouge" "To Die For",Nicole Kidman,Schauspielerin,0,6,6,11,,,ja,2.244,2017_Jan_25_1522,59.9962471573,textInputTest,001,4,
./img/JanHofer1.jpg,"Tagesschau" in der ARD,Jan Hofer,Nachrichtensprecher,0,7,7,25,,,ja,6.373,2017_Jan_25_1522,59.9962471573,textInputTest,001,4,
./img/BarackObama2.jpg,Präsident der USA Demokratische Partei,Barack Obama,Politiker,0,8,8,2,,,ja,4.179,2017_Jan_25_1522,59.9962471573,textInputTest,001,4,
./img/JoachimLoew1.jpg,Bundestrainer der deutschen Fußballnationalmannschaft,Joachim Löw,Trainer,0,9,9,27,,,ja,4.266,2017_Jan_25_1522,59.9962471573,textInputTest,001,4,
./img/TaylorSwift1.jpg,"Blank Space" "I Knew You Were Trouble" "Shake It Off",Taylor Swift,Sängerin,0,10,10,38,,,ja,2.315,2017_Jan_25_1522,59.9962471573,textInputTest,001,4,
./img/LisaEdelstein(DrLisaCuddy)2.jpg,"Dr. House" (Dr. Lisa Cuddy),Lisa Edelstein,Schauspielerin,0,11,11,32,,,ja,4.762,2017_Jan_25_1522,59.9962471573,textInputTest,001,4,
./img/RobertSeanLeonard(Wilson)2.jpg,"Dr. House" (Dr. James Wilson),Robert Sean Leonard,Schauspieler,0,12,12,12,,,ja,5.312,2017_Jan_25_1522,59.9962471573,textInputTest,001,4,
./img/CristinMilioti(Tracy_Mutter)1.jpg,"How I Met Your Mother" (Tracy Mosby die Mutter),Cristin Milioti,Schauspielerin,0,13,13,19,,,ja,4.496,2017_Jan_25_1522,59.9962471573,textInputTest,001,4,
./img/TomCruise2.jpg,"Knight and Day" "Mission: Impossible"-Filme "Oblivion",Tom Cruise,Schauspieler,0,14,14,39,,,ja,2.539,2017_Jan_25_1522,59.9962471573,textInputTest,001,4,
./img/GuentherJauch2.jpg,"Wer wird Millionär?" früher "stern TV",Günther Jauch,Moderator ,0,15,15,5,,,ja,2.39,2017_Jan_25_1522,59.9962471573,textInputTest,001,4,
./img/KatjaBurkard5.jpg,"Punkt 12" bei RTL,Katja Burkard,Moderatorin,0,16,16,8,,,ja,3.029,2017_Jan_25_1522,59.9962471573,textInputTest,001,4,
./img/CarenMiosga4.jpg,"tagesthemen" früher "ttt - titel thesen temperamente",Caren Miosga,Moderatorin,0,17,17,3,,,ja,5.889,2017_Jan_25_1522,59.9962471573,textInputTest,001,4,
./img/Usher1.jpg,"DJ Got Us Fallin' in Love" "More" "OMG" "Yeah!",Usher,Sänger,0,18,18,41,,,ja,2.434,2017_Jan_25_1522,59.9962471573,textInputTest,001,4,
./img/MilaKunis5.jpg,"Black Swan" "Freunde mit gewissen Vorzügen" "Ted",Mila Kunis,Schauspielerin,0,19,19,33,,,ja,2.343,2017_Jan_25_1522,59.9962471573,textInputTest,001,4,
./img/KaleyCuoco(Penny)2.jpg,"The Big Bang Theory" (Penny Hofstadter),Kaley Cuoco,Schauspielerin,0,20,20,30,,,ja,3.942,2017_Jan_25_1522,59.9962471573,textInputTest,001,4,
./img/Beyonce2.jpg,"Crazy in Love" "Halo" "If I Were a Boy" "Single Ladies",Beyoncé,Sängerin,0,21,21,16,,,ja,2.561,2017_Jan_25_1522,59.9962471573,textInputTest,001,4,
./img/BenedictCumberbatch4.jpg,"Der Hobbit"-Filme (Stimme des Drachen Smaug) "Sherlock",Benedict Cumberbatch,Schauspieler,0,22,22,15,,,ja,5.743,2017_Jan_25_1522,59.9962471573,textInputTest,001,4,
