name,recognizable
AlysonHannigan,JB*
JasonSegel,JB*
NeilPatrickHarris,JB*
JoshRadnor,JB
CobieSmulders,JB
CristinMilioti,JB
RobertSeanLeonard,JB*
HughLaurie,JB*
OmarEpps,JB
LisaEdelstein,JB
Ice-T,JB
MariskaHargitay,JB*
DannFlorek,JB
JimParsons,JB
KaleyCuoco,JB
EmilyDeschanel,JB*
BritneySpears,JB
ElvisPresley,JB
Beyonce,JB
Shakira,JB
TaylorSwift,JB
Usher,JB
WillSmith,JB*
LeonardoDiCaprio,JB
TomCruise,JB
NicoleKidman,JB*
GeorgeClooney,JB
MilaKunis,JB
BenedictCumberbatch,JB
EmmaWatson,JB
BarackObama,JB*
AngelaMerkel,JB*
SigmarGabriel,JB
SahraWagenknecht,JB
UrsulavonderLeyen,JB
JoachimLoew,JB
BastianSchweinsteiger,JB
GüntherJauch,JB*
KatjaBurkard,JB*
CarenMiosga,JB*
JanHofer,JB
JudithRakers,JB
