;filename;text;hit
151;./img/gray_AngelaMerkel1_1.png; AngelaMerkel;1
89;./img/edges5_UrsulavonderLeyen4_1.png; von der line;1
11;./img/smoo15_AngelaMerkel3_1.png;Angela Merke;1
212;./img/gray_AngelaMerkel4_1.png;Angela Merkel;1
106;./img/edges5_AngelaMerkel1_1.png;Angela Merkel;1
28;./img/smoo15_AngelaMerkel4_1.png;Angela Merkel;1
39;./img/smoo15_AngelaMerkel1_1.png;Angela Merkel;1
115;./img/edges5_AngelaMerkel4_1.png;AngelaMerkel;1
141;./img/edges5_OmarEpps(DrEricForeman)3_1.png;Arzt dr Haus;0
205;./img/gray_NeilPatrickHarris(Barney)1_1.png;Barney;1
129;./img/edges5_NeilPatrickHarris(Barney)3_7.png;Barney;1
160;./img/gray_NeilPatrickHarris(Barney)2_2.png;Barney;1
178;./img/gray_NeilPatrickHarris(Barney)3_7.png;Barney Stinson;1
120;./img/edges5_NeilPatrickHarris(Barney)1_1.png;Batney;1
111;./img/edges5_BritneySpears5_1.png;Bithney Spears;1
99;./img/edges5_EmilyDeschanel6_12.png;Bones;1
199;./img/gray_EmilyDeschanel6_12.png;Bones;1
211;./img/gray_EmilyDeschanel3_1.png;Bones;1
33;./img/smoo15_EmilyDeschanel6_12.png;Bones;1
34;./img/smoo15_EmilyDeschanel3_1.png;Bones;1
108;./img/edges5_EmilyDeschanel3_1.png;Bones;1
54;./img/smoo15_EmilyDeschanel5_1.png;Bones;1
66;./img/smoo15_BritneySpears7_1.png;Brithney Spears;1
185;./img/gray_BritneySpears7_1.png;Brithney Spears;1
79;./img/edges5_BritneySpears7_1.png;Brithney Spears;1
51;./img/smoo15_BritneySpears5_1.png;Brithney Spears;1
83;./img/edges5_BritneySpears1_1.png;Brithney Spears;1
64;./img/smoo15_BritneySpears1_1.png;Brithney Spears;1
189;./img/gray_BritneySpears1_1.png;Brithney spears;1
209;./img/gray_BritneySpears5_1.png;Brithney spears;1
40;./img/smoo15_LisaEdelstein(DrLisaCuddy)1_1.png;Die Linke Sahra wagenknecht;0
215;./img/gray_HughLaurie(DrHouse)2_1.png;Dr Haus;1
196;./img/gray_HughLaurie(DrHouse)5_3.png;Dr Haus;1
60;./img/smoo15_HughLaurie(DrHouse)2_1.png;Dr Haus;1
1;./img/smoo15_OmarEpps(DrEricForeman)2_2.png;Dr Haus;0
123;./img/edges5_HughLaurie(DrHouse)2_1.png;Dr Haus;1
105;./img/edges5_HughLaurie(DrHouse)4_1.png;Dr Haus;1
37;./img/smoo15_HughLaurie(DrHouse)4_1.png;Dr Haus;1
86;./img/edges5_HughLaurie(DrHouse)5_3.png;Dr Haus;1
22;./img/smoo15_HughLaurie(DrHouse)5_3.png;Dr Haus;1
41;./img/smoo15_OmarEpps(DrEricForeman)3_1.png;Dr Haus;0
38;./img/smoo15_RobertSeanLeonard(Wilson)1_1.png;Dr Haus ;0
107;./img/edges5_OmarEpps(DrEricForeman)2_2.png;Dr Haus Artzt;0
166;./img/gray_OmarEpps(DrEricForeman)1_5.png;Dr Haus Artzt;0
131;./img/edges5_OmarEpps(DrEricForeman)1_5.png;Dr Haus Arzt;0
190;./img/gray_OmarEpps(DrEricForeman)2_2.png;Dr Haus Arzt;0
195;./img/gray_RobertSeanLeonard(Wilson)1_1.png;Dr Haus Freund;0
192;./img/gray_RobertSeanLeonard(Wilson)2_6.png;Dr Haus Freund;0
174;./img/gray_RobertSeanLeonard(Wilson)8_1.png;Dr Haus Freund;0
159;./img/gray_LisaEdelstein(DrLisaCuddy)1_1.png;Dr Haus Freundin;0
167;./img/gray_LisaEdelstein(DrLisaCuddy)6_3.png;Dr Haus Freundin;0
7;./img/smoo15_OmarEpps(DrEricForeman)1_5.png;Dr Hous;0
213;./img/gray_OmarEpps(DrEricForeman)3_1.png;Dr Hus;0
140;./img/edges5_KatjaBurkard1_1.png;Ex von Aschton Kutscher;0
137;./img/edges5_RobertSeanLeonard(Wilson)1_1.png;Freund von Dr Haus;0
125;./img/edges5_RobertSeanLeonard(Wilson)8_1.png;Freund von Dr Haus;0
94;./img/edges5_RobertSeanLeonard(Wilson)2_6.png;Freund von dr Haus;0
194;./img/gray_LisaEdelstein(DrLisaCuddy)2_2.png;Freundin von Dr Haus;0
214;./img/gray_GeorgeClooney4_2.png;Georg Kluney;1
161;./img/gray_GeorgeClooney3_1.png;Georg Kluney;1
69;./img/smoo15_GeorgeClooney3_1.png;Georg Kluney;1
118;./img/edges5_GeorgeClooney11_1.png;Georg Kluney;1
100;./img/edges5_GeorgeClooney3_1.png;Georg kluney;1
72;./img/smoo15_GeorgeClooney11_1.png;Georg kluney;1
57;./img/smoo15_GuentherJauch3_1.png;Günter Jauch;1
158;./img/gray_GuentherJauch4_1.png;Günter Jauch;1
25;./img/smoo15_GuentherJauch4_1.png;Günter Jauch;1
88;./img/edges5_GuentherJauch2_1.png;Günter Jauch;1
102;./img/edges5_GuentherJauch3_1.png;Günter Jauch;1
44;./img/smoo15_GuentherJauch2_1.png;Günter Jauch;1
98;./img/edges5_GuentherJauch4_1.png;Günter Jauch;1
150;./img/gray_GuentherJauch2_1.png;Günter Jauch;1
18;./img/smoo15_Ice-T(OdafinFinTutuola)5_1.png;Hip Hop;0
45;./img/smoo15_Ice-T(OdafinFinTutuola)6_1.png;Hip Hop Produzent;0
152;./img/gray_Ice-T(OdafinFinTutuola)6_1.png;Hip Hop Produzent;0
157;./img/gray_Ice-T(OdafinFinTutuola)5_1.png;Hip Hop Produzent;0
114;./img/edges5_Ice-T(OdafinFinTutuola)7_1.png;Hip Hop Produzent;0
116;./img/edges5_Ice-T(OdafinFinTutuola)6_1.png;Hip Hop Produzent;0
81;./img/edges5_Ice-T(OdafinFinTutuola)5_1.png;Hip Hop Pruduzent;0
20;./img/smoo15_Ice-T(OdafinFinTutuola)7_1.png;Hip Hop produzent;0
164;./img/gray_Ice-T(OdafinFinTutuola)7_1.png;Hip Hoüp Produzent;0
216;./img/gray_JoshRadnor(Ted)1_2.png;How i Met your mother;0
113;./img/edges5_NeilPatrickHarris(Barney)2_2.png;How i met your Mother;0
29;./img/smoo15_JoshRadnor(Ted)1_2.png;How i met your Mother;0
58;./img/smoo15_JoshRadnor(Ted)6_2.png;How i met your Mother;0
59;./img/smoo15_JoshRadnor(Ted)3_1.png;How i met your moather;0
21;./img/smoo15_NeilPatrickHarris(Barney)3_7.png;How i met your mother;0
90;./img/edges5_JoshRadnor(Ted)3_1.png;How i met your mother;0
2;./img/smoo15_NeilPatrickHarris(Barney)1_1.png;How i met your mother;0
73;./img/edges5_JoshRadnor(Ted)1_2.png;How i met your mother;0
202;./img/gray_JoshRadnor(Ted)6_2.png;How i met your mother;0
16;./img/smoo15_NeilPatrickHarris(Barney)2_2.png;How i met your mother;0
208;./img/gray_JoshRadnor(Ted)3_1.png;How i met your mother;0
74;./img/edges5_JasonSegel(Marshall)6_1.png;How i met your mother marschal;1
119;./img/edges5_JoshRadnor(Ted)6_2.png;How i meth your Mother;0
180;./img/gray_GeorgeClooney11_1.png;Kluney;1
201;./img/gray_LeonardoDiCaprio3_1.png;Leo di Caprio;1
172;./img/gray_LeonardoDiCaprio1_1.png;Leo di Kaprio;1
103;./img/edges5_LeonardoDiCaprio2_1.png;Leonardo di  Kaprio;1
61;./img/smoo15_LeonardoDiCaprio3_1.png;Leonardo di Caprio;1
35;./img/smoo15_LeonardoDiCaprio2_1.png;Leonardo di Kaprio;1
154;./img/gray_LeonardoDiCaprio2_1.png;Leonardo di Kaprio;1
95;./img/edges5_LeonardoDiCaprio3_1.png;Leonardo di Kaprio;1
67;./img/smoo15_LeonardoDiCaprio1_1.png;Leonardo di Kaprio;1
112;./img/edges5_LeonardoDiCaprio1_1.png;Leonardo die Kaprio;1
165;./img/gray_AlysonHannigan(Lily)1_1.png;Lilly;1
144;./img/edges5_AlysonHannigan(Lily)8_3.png;Lilly;1
138;./img/edges5_AlysonHannigan(Lily)1_1.png;Lilly;1
168;./img/gray_AlysonHannigan(Lily)8_3.png;Lilly;1
182;./img/gray_AlysonHannigan(Lily)5_4.png;Lilly;1
10;./img/smoo15_AlysonHannigan(Lily)1_1.png;Lilly How i met your Mother;1
4;./img/smoo15_AlysonHannigan(Lily)8_3.png;Lilly How i met your mother;1
124;./img/edges5_AlysonHannigan(Lily)5_4.png;Lilly How i met your mother;1
46;./img/smoo15_AlysonHannigan(Lily)5_4.png;Lilly How i met yur Mother;1
87;./img/edges5_JoachimLoew8_1.png;Löw;1
109;./img/edges5_JoachimLoew4_1.png;Löw;1
110;./img/edges5_JoachimLoew1_1.png;Löw;1
19;./img/smoo15_JoachimLoew4_1.png;Löw;1
169;./img/gray_JoachimLoew8_1.png;Löw;1
179;./img/gray_JoachimLoew4_1.png;Löw;1
17;./img/smoo15_JoachimLoew8_1.png;Löw;1
55;./img/smoo15_JoachimLoew1_1.png;Löw;1
148;./img/gray_JasonSegel(Marshall)9_1.png;Marschal;1
139;./img/edges5_JasonSegel(Marshall)7_1.png;Marschal;1
126;./img/edges5_JasonSegel(Marshall)9_1.png;Marschal;1
153;./img/gray_JasonSegel(Marshall)7_1.png;Marschal;1
193;./img/gray_JasonSegel(Marshall)6_1.png;Marschal;1
26;./img/smoo15_JasonSegel(Marshall)6_1.png;Marschal How i met Your Mother;1
23;./img/smoo15_JasonSegel(Marshall)9_1.png;Marschal How i met you Mother;1
48;./img/smoo15_JasonSegel(Marshall)7_1.png;Marschal How i met your Mother;1
127;./img/edges5_AngelaMerkel3_1.png;Merkel;1
163;./img/gray_AngelaMerkel3_1.png;Merkel;1
170;./img/gray_NicoleKidman5_1.png;Nicole;1
56;./img/smoo15_NicoleKidman7_1.png;Nicole Kitman;1
80;./img/edges5_NicoleKidman5_1.png;Nicole Kitman;1
128;./img/edges5_NicoleKidman3_1.png;Nicole Kitman;1
183;./img/gray_NicoleKidman3_1.png;Nicole Kitman;1
97;./img/edges5_NicoleKidman7_1.png;Nicole Kitman;1
155;./img/gray_EmilyDeschanel5_1.png;Nicole Kitman;0
31;./img/smoo15_NicoleKidman5_1.png;Nicole Kitman;1
186;./img/gray_BarackObama4_1.png;Obama;1
187;./img/gray_BarackObama2_1.png;Obama;1
36;./img/smoo15_BarackObama1_3.png;Obama;1
122;./img/edges5_BarackObama2_1.png;Obarma;1
82;./img/edges5_BarackObama1_3.png;Obarma;1
14;./img/smoo15_BarackObama4_1.png;Obarma;1
162;./img/gray_BarackObama1_3.png;Obarma;1
117;./img/edges5_BarackObama4_1.png;Obarma;1
76;./img/edges5_LisaEdelstein(DrLisaCuddy)6_3.png;Penelope chruse;0
42;./img/smoo15_KatjaBurkard1_1.png;Punkt 12;0
71;./img/smoo15_KatjaBurkard5_3.png;Punkt 12;0
200;./img/gray_KatjaBurkard4_1.png;Punkt 12;0
206;./img/gray_KatjaBurkard5_3.png;Punkt 12;0
53;./img/smoo15_KatjaBurkard4_1.png;Punkt 12;0
197;./img/gray_KatjaBurkard1_1.png;Punkt 12;0
96;./img/edges5_KatjaBurkard4_1.png;Punkt 12;0
143;./img/edges5_KatjaBurkard5_3.png;Punkt 12;0
24;./img/smoo15_LisaEdelstein(DrLisaCuddy)6_3.png;Robin How i met your Mother;0
92;./img/edges5_LisaEdelstein(DrLisaCuddy)1_1.png;Robin how i met your mother;0
5;./img/smoo15_LisaEdelstein(DrLisaCuddy)2_2.png;Robin how i met your mother;0
133;./img/edges5_BastianSchweinsteiger6_2.png;Schweinsteiger;1
181;./img/gray_BastianSchweinsteiger3_1.png;Schweinsteiger;1
32;./img/smoo15_BastianSchweinsteiger6_2.png;Schweinsteiger;1
47;./img/smoo15_BastianSchweinsteiger1_1.png;Schweinsteiger;1
132;./img/edges5_BastianSchweinsteiger3_1.png;Schweinsteiger;1
156;./img/gray_BastianSchweinsteiger1_1.png;Schweinsteiger;1
176;./img/gray_BastianSchweinsteiger6_2.png;Schweinsteiger;1
30;./img/smoo15_BastianSchweinsteiger3_1.png;Schweinsteiger;1
135;./img/edges5_BastianSchweinsteiger1_1.png;Schweinsteiger;1
204;./img/gray_TomCruise5_1.png;Tom Chruse;1
171;./img/gray_TomCruise4_1.png;Tom Chruse;1
147;./img/gray_TomCruise1_1.png;Tom Chruse;1
13;./img/smoo15_TomCruise4_1.png;Tom Chruse;1
93;./img/edges5_TomCruise1_1.png;Tom Cruse;1
