num,pic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ratingBekannt.response,ratingBekannt.rt,key_resp_5.keys,ratingK1.response,ratingK1.rt,ratingK2.response,ratingK2.rt,ratingK3.response,ratingK3.rt,key_resp_6.keys,inputText,key_resp_4.keys,key_resp_4.rt,date,frameRate,expName,session,participant,
,,,,,,space,12.3431984323,,,,,,,,,,,,,,2017_Feb_07_1327,60.0175773654,famFaceFilter,001,12,
72,./img/smoo15_HughLaurie(DrHouse)2_1.png,0,0,0,71,,,2.nein,3.706,None,act,8.153,None,None,None,None,None,,['return'],[0.9168787276412331],2017_Feb_07_1327,60.0175773654,famFaceFilter,001,12,
6,./img/smoo15_AlysonHannigan(Lily)1_1.png,0,1,1,5,,,2.nein,13.918,None,act,1.186,None,None,None,None,None,,['return'],[1.500570824407987],2017_Feb_07_1327,60.0175773654,famFaceFilter,001,12,
28,./img/smoo15_HughLaurie(DrHouse)5_3.png,0,2,2,27,,,2.nein,5.439,None,None,None,music,2.267,None,None,None,,['return'],[0.7001726747857902],2017_Feb_07_1327,60.0175773654,famFaceFilter,001,12,
63,./img/smoo15_RobertSeanLeonard(Wilson)8_1.png,0,3,3,62,,,2.nein,2.756,None,None,None,music,3.238,None,None,None,,['return'],[0.6333260730571055],2017_Feb_07_1327,60.0175773654,famFaceFilter,001,12,
29,./img/smoo15_GuentherJauch3_1.png,0,4,4,28,,,1.ja,1.407,None,None,None,host,1.674,None,None,None,Günther Jauch,"['lshift', 'g', u'\xfc', 'n', 't', 'h', 'e', 'r', 'space', 'lshift', 'h', 'a', 'u', 'c', 'backspace', 'backspace', 'backspace', 'backspace', 'lshift', 'j', 'a', 'u', 'c', 'h', 'return']","[0.31696745482804545, 0.5168647417194734, 0.8000921274342545, 1.1000509716195666, 1.316623260059714, 1.499797107930135, 1.5999029325830634, 1.7330357369119156, 1.8164835612515162, 2.1995502051213407, 2.3828058513754513, 2.5160967992451333, 2.6161586773159797, 2.749373921584265, 2.982612871344827, 3.1325566870818875, 3.2492634135705885, 3.365734368248013, 3.6488433868889842, 4.1653010613572405, 4.415203464657679, 4.5151857897926675, 4.631689463822113, 5.031723017198601, 5.514955791983084]",2017_Feb_07_1327,60.0175773654,famFaceFilter,001,12,
7,./img/smoo15_LisaEdelstein(DrLisaCuddy)2_2.png,0,5,5,6,,,1.ja,5.233,None,act,1.201,None,None,None,None,None,,['return'],[0.6499693175865104],2017_Feb_07_1327,60.0175773654,famFaceFilter,001,12,
36,./img/smoo15_BastianSchweinsteiger6_2.png,0,6,6,35,,,1.ja,1.874,None,None,None,None,None,sport,2.09,None,Schweinsteiger,"['lshift', 's', 'c', 'h', 'e', 'i', 'n', 'backspace', 'backspace', 'backspace', 'w', 'e', 'i', 'n', 's', 't', 'e', 'i', 'g', 'e', 'r', 'return']","[0.41693919428871595, 0.7668175071630685, 0.983389795603216, 1.0830195857397484, 1.3831340072447347, 1.5332135120661405, 1.6831053617715952, 2.26614980780505, 2.39946609713661, 3.0324771662217245, 3.165879103271436, 3.3156824182551645, 3.3823551583172957, 3.548869722761083, 3.698980663824841, 3.815594364699791, 3.9488667074474506, 4.198681217583726, 4.381993641538429, 4.465366724609339, 4.53182646809546, 4.94835699124269]",2017_Feb_07_1327,60.0175773654,famFaceFilter,001,12,
58,./img/smoo15_EmilyDeschanel3_1.png,0,7,7,57,,,2.nein,2.951,None,dummy,2.74,None,None,None,None,None,,['return'],[0.6666635658129962],2017_Feb_07_1327,60.0175773654,famFaceFilter,001,12,
25,./img/smoo15_JasonSegel(Marshall)6_1.png,0,8,8,24,,,1.ja,2.358,None,act,0.591,None,None,None,None,None,,['return'],[2.9658756388707843],2017_Feb_07_1327,60.0175773654,famFaceFilter,001,12,
20,./img/smoo15_NicoleKidman5_1.png,0,9,9,19,,,2.nein,7.005,None,dummy,5.183,None,None,None,None,None,,['return'],[1.033338775867378],2017_Feb_07_1327,60.0175773654,famFaceFilter,001,12,
12,./img/smoo15_MariskaHargitay(Liv)8_8.png,0,10,10,11,,,2.nein,7.389,None,None,None,music,4.148,None,None,None,,['return'],[1.5664047300633683],2017_Feb_07_1327,60.0175773654,famFaceFilter,001,12,
3,./img/smoo15_JoshRadnor(Ted)3_1.png,0,11,11,2,,,2.nein,8.055,None,None,None,music,2.533,None,None,None,,['return'],[0.8667898881794827],2017_Feb_07_1327,60.0175773654,famFaceFilter,001,12,
