num,pic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ratingBekannt.response,ratingBekannt.rt,key_resp_5.keys,key_resp_5.rt,ratingK1.response,ratingK1.rt,ratingK2.response,ratingK2.rt,ratingK3.response,ratingK3.rt,key_resp_6.keys,key_resp_6.rt,inputText,key_resp_4.keys,key_resp_4.rt,date,frameRate,expName,session,participant,
,,,,,,space,32.8179973125,,,,,,,,,,,,,,,,2017_Feb_23_1717,59.9066259274,famFaceFilter,001,23,
8,./img/smoo15_AngelaMerkel4_1.png,0,0,0,7,,,None,None,1,4.53166639989,None,None,None,None,None,None,4,4.69840005569,Angela Merkel,"['lshift', 'a', 'n', 'g', 'e', 'l', 'a', 'space', 'lshift', 'm', 'e', 'r', 'k', 'e', 'l', 'return']","[1.316570010916621, 1.5500242026973865, 1.7331396689769463, 2.0495047027652618, 2.266313404574248, 2.399501061934643, 2.599481430323067, 3.6322822615238692, 3.798999878425093, 3.94907040146245, 4.182186493258996, 4.282200896188442, 4.548618553604683, 4.6653025048581185, 4.7820223832459305, 5.465003924718985]",2017_Feb_23_1717,59.9066259274,famFaceFilter,001,23,
53,./img/smoo15_GuentherJauch4_1.png,0,1,1,52,,,1.ja,20.41,None,,None,None,host,3.735,None,None,None,,Günther Jauch,"['lshift', 'g', u'\xfc', 'n', 't', 'h', 'e', 'r', 'space', 'lshift', 'j', 'a', 'u', 'c', 'h', 'return']","[17.993070233374965, 18.29287478335391, 18.80958458931127, 19.192697104432227, 19.42590333483895, 19.62601971308868, 19.792577582558806, 19.875858923127453, 20.025836420552878, 20.358767712155895, 20.542288641796404, 20.67533643996103, 20.775393185584107, 21.025392143055797, 21.208633354301128, 21.82506533445303]",2017_Feb_23_1717,59.9066259274,famFaceFilter,001,23,
60,./img/smoo15_LeonardoDiCaprio2_1.png,0,2,2,59,,,None,None,1,2.89915542367,None,None,None,None,None,None,1,5.98133040099,Leonardo DiCaprio,"['lshift', 'l', 'e', 'o', 'n', 'a', 'r', 'd', 'i', 'space', 'd', 'i', 'backspace', 'backspace', 'backspace', 'backspace', 'o', 'space', 'lshift', 'd', 'i', 'lshift', 'c', 'a', 'r', 'p', 'backspace', 'backspace', 'p', 'r', 'i', 'o', 'return']","[1.7163780573755503, 1.9996474650033633, 2.2495764928771678, 2.6494130885748746, 2.8657666064355, 2.999184903163041, 3.4156448551548237, 3.6155508030515193, 3.932178874782039, 4.165391841524979, 4.365342056784357, 4.665214611693955, 5.498171405146422, 5.648120353331251, 6.814074197871378, 7.2139820062802755, 8.16382676577814, 8.397055771421947, 8.530267807909695, 8.730178888254159, 9.063401125482414, 9.34668015645002, 9.529871647107939, 9.64626561507066, 9.963046056340318, 10.41284318030921, 11.978935472623562, 12.145384277580888, 13.295141721313485, 13.494980626614051, 13.878101481961494, 14.078039828435067, 14.8943953992748]",2017_Feb_23_1717,59.9066259274,famFaceFilter,001,23,
44,./img/smoo15_GuentherJauch2_1.png,0,3,3,43,,,None,None,1,5.66457818819,None,None,None,None,None,None,3,4.28159173881,Günther Jauch,"['lshift', 'g', u'\xfc', 'n', 't', 'e', 'r', 'backspace', 'backspace', 'backspace', 't', 'h', 'e', 'r', 'space', 'lshift', 'j', 'a', 'u', 'c', 'h', 'return']","[1.4332138649224362, 2.0165508604713978, 2.416322659018988, 2.7827117351171182, 3.0160924687424995, 3.1492140458412905, 3.282366096847909, 4.531973705186829, 4.682002206311154, 5.348354296707839, 6.331349535401387, 6.581201255781707, 6.731171375313352, 6.831099809745865, 6.931187670834333, 7.247628408225864, 7.39754399550111, 7.497619987803773, 7.7473443593280535, 7.947406205321386, 8.097258278558002, 9.0635586274675]",2017_Feb_23_1717,59.9066259274,famFaceFilter,001,23,
2,./img/smoo15_WillSmith5_1.png,0,4,4,1,,,None,None,2,4.66512062375,None,None,None,None,None,None,2,4.04876980042,,['return'],[0.8334254500750831],2017_Feb_23_1717,59.9066259274,famFaceFilter,001,23,
61,./img/smoo15_OmarEpps(DrEricForeman)3_1.png,0,5,5,60,,,None,None,2,4.29871454642,None,None,None,None,None,None,1,5.86471541701,,['return'],[1.0000246999043156],2017_Feb_23_1717,59.9066259274,famFaceFilter,001,23,
6,./img/smoo15_AlysonHannigan(Lily)1_1.png,0,6,6,5,,,None,None,1,6.33114359594,None,None,None,None,None,None,1,0.383739315286,,['return'],[9.8963646552711],2017_Feb_23_1717,59.9066259274,famFaceFilter,001,23,
4,./img/smoo15_UrsulavonderLeyen1_1.png,0,7,7,3,,,None,None,1,4.04915633788,None,None,None,None,None,None,4,2.51637170597,Ursula von der Leien,"['lshift', 'u', 'r', 's', 'u', 'l', 'a', 'space', 'v', 'o', 'n', 'space', 'd', 'e', 'r', 'space', 'lshift', 'l', 'e', 'i', 'e', 'n', 'return']","[7.4306649631216715, 8.680252683227081, 9.213225291034178, 9.646524482897803, 9.929659484554577, 10.329656148463982, 10.462814935806819, 10.629469680225156, 10.87932011749399, 11.04601720460596, 11.279082292703606, 11.462420058118369, 11.562349134108445, 11.74563461271282, 11.8622611447081, 11.995478955201179, 15.610576178192787, 15.694044211544679, 16.743328219063187, 17.110083944387952, 17.35988947274018, 17.559568309830865, 18.84276554241478]",2017_Feb_23_1717,59.9066259274,famFaceFilter,001,23,
21,./img/smoo15_NeilPatrickHarris(Barney)3_7.png,0,8,8,20,,,None,None,1,4.51505555393,None,None,None,None,None,None,1,1.03324478792,,['return'],[3.915486230445822],2017_Feb_23_1717,59.9066259274,famFaceFilter,001,23,
58,./img/smoo15_EmilyDeschanel3_1.png,0,9,9,57,,,None,None,2,4.48161509145,None,None,None,None,None,None,1,0.833514305576,,['return'],[0.6501348390229396],2017_Feb_23_1717,59.9066259274,famFaceFilter,001,23,
68,./img/smoo15_AlysonHannigan(Lily)8_3.png,0,10,10,67,,,None,None,1,6.13161680761,None,None,None,None,None,None,1,3.09909505325,,['return'],[0.38349103313339583],2017_Feb_23_1717,59.9066259274,famFaceFilter,001,23,
52,./img/smoo15_BastianSchweinsteiger3_1.png,0,11,11,51,,,None,None,1,2.91561165463,None,None,None,None,None,None,5,2.13261282323,,['return'],[0.3502994943573867],2017_Feb_23_1717,59.9066259274,famFaceFilter,001,23,
24,./img/smoo15_BastianSchweinsteiger1_1.png,0,12,12,23,,,None,None,1,4.03215382202,None,None,None,None,None,None,5,1.7830703649,,['return'],[1.1999421958080347],2017_Feb_23_1717,59.9066259274,famFaceFilter,001,23,
64,./img/smoo15_JoachimLoew8_1.png,0,13,13,63,,,None,None,1,2.03288551659,None,None,None,None,None,None,5,2.43276734198,Joachim Löw,"['lshift', 'j', 'o', 'a', 'c', 'h', 'i', 'm', 'space', 'lshift', 'l', u'\xf6', 'w', 'return']","[1.1998116391714575, 1.6829934102570405, 1.9662653841096471, 2.116003901943259, 2.415889608750149, 2.6156139963113674, 2.882381943278233, 3.165687278040423, 3.348933300954741, 3.648834084327973, 3.832146187505714, 4.248761716815352, 4.531751406049807, 22.191307494238572]",2017_Feb_23_1717,59.9066259274,famFaceFilter,001,23,
40,./img/smoo15_NeilPatrickHarris(Barney)2_2.png,0,14,14,39,,,None,None,1,3.01583680869,None,None,None,None,None,None,1,0.899996182743,Barney,"['lshift', 'b', 'a', 'r', 'n', 'e', 'y', 'return']","[2.615801009873394, 2.865586329213329, 2.999283382001522, 3.2158136485268187, 3.6822447144622856, 3.865531155401186, 4.482003874356451, 6.780964136702096]",2017_Feb_23_1717,59.9066259274,famFaceFilter,001,23,
17,./img/smoo15_GeorgeClooney11_1.png,0,15,15,16,,,None,None,1,3.24915883995,None,None,None,None,None,None,1,0.81617465206,George Clouney,"['lshift', 'g', 'e', 'o', 'r', 'g', 'e', 'space', 'lshift', 'c', 'l', 'o', 'n', 'e', 'y', 'left', 'left', 'left', 'u', 'backspace', 'backspace', 'backspace', 'backspace', 'u', 'n', 'e', 'y', 'return']","[0.9832906752089912, 1.5661997529368819, 1.81638604474756, 2.082833534515885, 2.299379519161448, 2.6493004955063952, 2.765875703025813, 2.9324047024765605, 3.282251899889161, 3.6820663619073457, 4.4318518416348525, 4.648504324568421, 5.015087150564796, 5.164945960139448, 7.464086178928483, 9.146814947356688, 9.313193822714311, 9.529783112388031, 10.396163367091503, 11.412508929657633, 11.578966074843265, 11.712285251174762, 11.862320167856524, 12.74522722468464, 12.995130269540823, 13.211516185976507, 13.811479745598263, 19.90904500867873]",2017_Feb_23_1717,59.9066259274,famFaceFilter,001,23,
14,./img/smoo15_BritneySpears7_1.png,0,16,16,13,,,None,None,1,6.54765204956,None,None,None,None,None,None,2,5.99796145596,,['return'],[0.38356513284452376],2017_Feb_23_1717,59.9066259274,famFaceFilter,001,23,
69,./img/smoo15_BritneySpears5_1.png,0,17,17,68,,,None,None,1,3.33233047445,None,None,None,None,None,None,2,2.04955346102,,['return'],[0.2166213674699975],2017_Feb_23_1717,59.9066259274,famFaceFilter,001,23,
22,./img/smoo15_WillSmith1_1.png,0,18,18,21,,,None,None,1,3.11522505302,None,None,None,None,None,None,1,2.53301719594,,['return'],[0.5999250662644044],2017_Feb_23_1717,59.9066259274,famFaceFilter,001,23,
57,./img/smoo15_UrsulavonderLeyen5_1.png,0,19,19,56,,,None,None,1,1.91599530509,None,None,None,None,None,None,4,3.06590511836, Ursula von der Leien,"['space', 'lshift', 'u', 'r', 's', 'u', 'l', 'a', 'space', 'v', 'o', 'n', 'space', 'd', 'e', 'r', 'space', 'lshift', 'l', 'e', 'i', 'e', 'n', 'return']","[0.5002862943438231, 0.8000286133956251, 0.9834119292845571, 1.6498410063959454, 2.6324788984220504, 2.949243942348403, 3.3324652012033766, 3.4489181923127035, 3.5990220762614626, 3.8321927003125893, 4.04880733144455, 4.265428378137585, 4.448550580751544, 4.476300121157692, 4.648614351413926, 4.781834086574236, 4.915090390422847, 5.1816536810401885, 5.39833214698956, 5.947972378449776, 6.214583144208518, 6.297910676807078, 6.464498057850506, 7.464088103595714]",2017_Feb_23_1717,59.9066259274,famFaceFilter,001,23,
26,./img/smoo15_TomCruise4_1.png,0,20,20,25,,,None,None,1,1.61620198234,None,None,None,None,None,None,1,0.850100451622,Tom Cruise,"['lshift', 't', 'o', 'm', 'space', 'lshift', 'c', 'r', 'u', 'i', 's', 'e', 'return']","[6.03118218553027, 6.131254649275434, 6.697456006102584, 7.030948659163187, 7.2141744730652135, 7.397092981665992, 8.113724774420916, 8.46370894402753, 8.84682755392896, 9.03014831811197, 9.19660706718787, 9.379936813153108, 11.029268744901856]",2017_Feb_23_1717,59.9066259274,famFaceFilter,001,23,
63,./img/smoo15_RobertSeanLeonard(Wilson)8_1.png,0,21,21,62,,,None,None,2,4.54847420352,None,None,None,None,None,None,1,7.59721000147,,['return'],[0.35001945518524735],2017_Feb_23_1717,59.9066259274,famFaceFilter,001,23,
47,./img/smoo15_BarackObama4_1.png,0,22,22,46,,,None,None,1,1.96607452121,None,None,None,None,None,None,4,2.13282742369, Barack Obama,"['space', 'lshift', 'b', 'a', 'r', 'a', 'c', 'k', 'space', 'lshift', 'o', 'b', 'a', 'm', 'a', 'return']","[0.4168772841403552, 3.5488312294037314, 3.6489338462797605, 3.8321769821923226, 4.315236216090852, 4.565194113980397, 4.948460923307721, 5.131655942524958, 5.38161351963754, 6.164699923430817, 6.264525067355862, 6.66443480043381, 6.797747881983014, 6.947609899336385, 7.0308732763405715, 8.363567833795969]",2017_Feb_23_1717,59.9066259274,famFaceFilter,001,23,
72,./img/smoo15_HughLaurie(DrHouse)2_1.png,0,23,23,71,,,None,None,1,2.33262302397,None,None,None,None,None,None,1,0.883340748651,Dr House,"['lshift', 'd', 'r', 'space', 'lshift', 'h', 'o', 'u', 's', 'e', 'return']","[1.083207561634481, 1.316674263758614, 1.782981188616759, 2.149508199245247, 2.499339036980018, 2.666035803313207, 2.949166634856738, 3.1990680758226517, 3.515524210557487, 3.7321577675902518, 4.481900904625945]",2017_Feb_23_1717,59.9066259274,famFaceFilter,001,23,
