num,pic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ratingBekannt.response,ratingBekannt.rt,key_resp_5.keys,ratingK1.response,ratingK1.rt,ratingK2.response,ratingK2.rt,ratingK3.response,ratingK3.rt,key_resp_6.keys,inputText,key_resp_4.keys,key_resp_4.rt,key_resp_5.rt,key_resp_6.rt,date,frameRate,expName,session,participant,
,,,,,,space,45.3306404841,,,,,,,,,,,,,,,,2017_Feb_28_1246,60.0506619767,famFaceFilter,001,26,
14,./img/smoo15_BritneySpears7_1.png,0,0,0,13,,,1.ja,8.306,None,None,None,music,0.931,None,None,None,Britney Spears,"['lshift', 'b', 'r', 'i', 't', 'n', 'e', 'y', 'space', 'lshift', 's', 'p', 'e', 'a', 'r', 's', 'return']","[0.8665695555773709, 1.216699407708802, 1.4999271827218763, 1.6997955342158093, 1.9330555797914712, 2.366149011737434, 2.516014989452742, 2.71604950548317, 2.8323592284832557, 3.1825647849218512, 3.4491446696465573, 3.6324193428354192, 3.8655453019691777, 4.048866167617234, 4.165587131807115, 4.298814842662978, 4.881876581450342]",,,2017_Feb_28_1246,60.0506619767,famFaceFilter,001,26,
10,./img/smoo15_KatjaBurkard5_3.png,0,1,1,9,,,1.ja,2.585,None,None,None,host,0.657,None,None,None,Katja Burkhard,"['lshift', 'k', 'a', 't', 'j', 'a', 'space', 'lshift', 'b', 'u', 'r', 'k', 'h', 'a', 'r', 'd', 'return']","[0.6334060650697211, 0.86678159179246, 1.0333230469568662, 1.1831290386326145, 1.4995624547700572, 1.616373558410487, 1.8994021284452174, 2.1493713334730273, 2.2662212516097497, 2.5327126007887273, 2.732501077824054, 3.048978440952851, 3.6488808593858266, 3.8155503061534546, 3.9653800356190914, 4.098561874798179, 4.531964539590263]",,,2017_Feb_28_1246,60.0506619767,famFaceFilter,001,26,
19,./img/smoo15_NicoleKidman7_1.png,0,2,2,18,,,1.ja,2.584,None,act,1.325,None,None,None,None,None,Nicole Kidman,"['lshift', 'n', 'i', 'c', 'o', 'l', 'e', 'space', 'lshift', 'k', 'i', 'd', 'm', 'a', 'n', 'return']","[0.6333547401154647, 0.9000298967857816, 1.1498711102103698, 1.4163162669301528, 1.5664754384433763, 1.7329841739501717, 1.8164420772227459, 1.9662525598323555, 2.1494903432103456, 2.2494251605185127, 2.4327646314613958, 2.549422722582676, 2.6326275296778476, 2.766075296272902, 2.84942285089528, 3.2157745962012996]",,,2017_Feb_28_1246,60.0506619767,famFaceFilter,001,26,
59,./img/smoo15_JoshRadnor(Ted)1_2.png,0,3,3,58,,,1.ja,8.121,None,act,3.151,None,None,None,None,None,Ted Mosby,"['lshift', 't', 'e', 'd', 'space', 'lshift', 'm', 'o', 's', 'b', 'y', 'return']","[0.766692158060323, 0.9333227903316583, 1.1332899423614435, 1.2832143022114906, 1.4665739823540207, 1.7662975974781148, 1.916443616972174, 2.099564956861286, 2.2328706174903346, 2.4492999276317278, 2.582745448758942, 3.132559203333585]",,,2017_Feb_28_1246,60.0506619767,famFaceFilter,001,26,
17,./img/smoo15_GeorgeClooney11_1.png,0,4,4,16,,,1.ja,1.44,None,act,0.575,None,None,None,None,None,George Clooney,"['lshift', 'g', 'e', 'o', 'r', 'g', 'e', 'space', 'lshift', 'c', 'l', 'o', 'o', 'n', 'e', 'y', 'return']","[0.600197536916312, 0.7835113453820668, 1.0167633714336262, 1.2165771901636617, 1.4498013082738908, 1.5665485765021003, 1.6664304649530095, 1.8331794654004625, 1.9995958159906877, 2.1657584288404905, 2.5327700205816654, 2.766027499910706, 3.049343168906489, 3.249199651503659, 3.398997944435905, 3.5990533112289995, 4.198734390798563]",,,2017_Feb_28_1246,60.0506619767,famFaceFilter,001,26,
57,./img/smoo15_UrsulavonderLeyen5_1.png,0,5,5,56,,,2.nein,5.85,None,None,None,host,2.035,None,None,None,,['return'],[0.6170866544853197],,,2017_Feb_28_1246,60.0506619767,famFaceFilter,001,26,
60,./img/smoo15_LeonardoDiCaprio2_1.png,0,6,6,59,,,1.ja,1.058,None,dummy,0.574,None,None,None,None,None,Leonardoo de Caprio,"['lshift', 'l', 'e', 'o', 'n', 'a', 'r', 'd', 'o', 'o', 'space', 'd', 'i', 'e', 'space', 'lshift', 'c', 'backspace', 'backspace', 'backspace', 'backspace', 'e', 'space', 'lshift', 'c', 'a', 'p', 'r', 'i', 'o', 'return']","[0.8333164388677687, 1.0667163449434156, 1.249510167472181, 1.4330212562290399, 1.6660076756452327, 1.7829297694988782, 2.016182116332857, 2.166206239060557, 2.349531916421256, 2.5659329978388996, 2.8158556896269147, 2.965844847230983, 3.0658515194736538, 3.182567671950892, 3.3322934683856147, 3.4989754256112064, 3.6156075334765774, 3.932319708268551, 4.081867792050616, 4.198606719975942, 4.348754664153603, 4.598562195578779, 4.915179739986343, 5.214938320235888, 5.3150736256448, 5.581588071054284, 5.714848180785339, 5.914822069216825, 6.064715313312263, 6.181229373783935, 6.531137245490754]",,,2017_Feb_28_1246,60.0506619767,famFaceFilter,001,26,
46,./img/smoo15_NeilPatrickHarris(Barney)1_1.png,0,7,7,45,,,1.ja,1.385,None,dummy,0.491,None,None,None,None,None,Neil Patrik Harris,"['lshift', 'n', 'e', 'i', u'\xf6', 'l', 'backspace', 'backspace', 'l', 'space', 'lshift', 'p', 'a', 't', 'r', 'i', 'k', 'space', 'lshift', 'h', 'a', 'r', 'r', 'i', 's', 'return']","[0.5169439711135055, 0.7335619004606997, 0.8666783003227465, 0.9833655825113965, 1.1666803533207712, 1.649772630455118, 1.7665404286653938, 2.2830279284735298, 2.5495035593849025, 2.716074847179698, 2.8658734608925442, 2.9994068760042865, 3.2990942428787093, 3.549111885831735, 3.7324038811930222, 3.8990271355032746, 4.248962915155062, 5.281620341618691, 5.448393079856032, 5.58154316171931, 5.698189704726246, 5.831478043184688, 6.081402338877524, 6.1814616191986715, 6.531152001416558]",,,2017_Feb_28_1246,60.0506619767,famFaceFilter,001,26,
72,./img/smoo15_HughLaurie(DrHouse)2_1.png,0,8,8,71,,,1.ja,1.097,None,dummy,0.541,None,None,None,None,None,Dr House,"['lshift', 'd', 'r', 'space', 'lshift', 'h', 'o', 'u', 's', 'e', 'return']","[0.400227497857486, 0.6500138577375765, 0.816764462088031, 1.4496922427460959, 1.5998228647531505, 1.733023630007665, 2.099694231588728, 2.2660554078538553, 2.3827029132044117, 2.516135603093062, 2.6491384464952716]",,,2017_Feb_28_1246,60.0506619767,famFaceFilter,001,26,
