num,pic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ratingBekannt.response,ratingBekannt.rt,key_resp_5.keys,ratingK1.response,ratingK1.rt,ratingK2.response,ratingK2.rt,ratingK3.response,ratingK3.rt,key_resp_6.keys,inputText,key_resp_4.keys,key_resp_4.rt,key_resp_5.rt,key_resp_6.rt,date,frameRate,expName,session,participant,
,,,,,,space,50.1265393635,,,,,,,,,,,,,,,,2017_Jan_25_1257,60.0010970739,famFaceFilter,001,3,
41,./img/smoo15_AngelaMerkel3_1.png,0,0,0,40,,,1.ja,3.479,None,None,None,None,None,polit,1.769,None,Angela Merkl,"['lshift', 'a', 'n', 'g', 'e', 'l', 'a', 'space', 'lshift', 'm', 'e', 'r', 'k', 'l', 'return']","[1.0165943798147055, 1.1168544970059884, 1.2996217089603306, 1.4995597350516618, 2.0661395035222085, 2.1661994565420173, 2.466019405019324, 2.6825928702419333, 2.815790579517852, 2.932461913473162, 3.0490729415578244, 3.1989160340162925, 3.3323787042008917, 3.5987933693049854, 3.8655454906765954]",,,2017_Jan_25_1257,60.0010970739,famFaceFilter,001,3,
27,./img/smoo15_JasonSegel(Marshall)9_1.png,0,1,1,26,,,1.ja,16.684,None,act,0.769,None,None,None,None,None,,['return'],[1.149820638145684],,,2017_Jan_25_1257,60.0010970739,famFaceFilter,001,3,
30,./img/smoo15_KatjaBurkard4_1.png,0,2,2,29,,,1.ja,3.122,None,None,None,host,0.694,None,None,None,,['return'],[1.4664514901796792],,,2017_Jan_25_1257,60.0010970739,famFaceFilter,001,3,
36,./img/smoo15_BastianSchweinsteiger6_2.png,0,3,3,35,,,1.ja,2.073,None,None,None,None,None,sport,1.106,None,Sebastian Schweinsteiger,"['lshift', 's', 'e', 'b', 'a', 's', 't', 'i', 'a', 'n', 'space', 'lshift', 's', 'c', 'h', 'w', 'e', 'i', 'n', 's', 't', 'e', 'i', 'g', 'e', 'r', 'return']","[0.9831047323750681, 1.1333106223974028, 1.3330241053463396, 1.4496585500728543, 1.6164074957632693, 2.132795777048159, 2.4993451359623577, 2.6490310482204222, 2.965863347533741, 3.0991970657978527, 3.199079950509258, 3.3155854433171044, 3.548919450278845, 4.148353409093033, 4.281957220680852, 4.3984373721905285, 4.548030900985395, 4.631650446632193, 4.765026186541945, 5.114776831380368, 5.248226991303454, 5.364436087162176, 5.531307890028984, 5.7313071843218495, 5.797835147481237, 5.997810383580145, 6.114426544078015]",,,2017_Jan_25_1257,60.0010970739,famFaceFilter,001,3,
69,./img/smoo15_BritneySpears5_1.png,0,4,4,68,,,1.ja,2.172,None,None,None,music,1.038,None,None,None,Britney Spears,"['capslock', 'capslock', 'lshift', 'b', 'r', 'i', 't', 'n', 'e', 'y', 'space', 'lshift', 's', 'p', 'e', 'a', 'r', 's', 'return']","[0.3503896304700902, 1.4834593501527706, 1.7666294245827885, 1.9500073938852438, 2.133106929690257, 2.7662127366638742, 3.016033663509006, 3.5991471851430106, 3.7656459256177186, 4.015979773153958, 4.1490356994727335, 4.282165083477594, 4.415276504030771, 4.898662396497457, 5.031895391124635, 5.664990612493057, 5.93160287556384, 6.03129201162119, 6.514598351661334]",,,2017_Jan_25_1257,60.0010970739,famFaceFilter,001,3,
18,./img/smoo15_HughLaurie(DrHouse)4_1.png,0,5,5,17,,,2.nein,2.971,None,act,0.873,None,None,None,None,None,,['return'],[0.6834775702263869],,,2017_Jan_25_1257,60.0010970739,famFaceFilter,001,3,
37,./img/smoo15_Ice-T(OdafinFinTutuola)5_1.png,0,6,6,36,,,1.ja,1.224,None,act,0.406,None,None,None,None,None,,['return'],[0.5335327917982795],,,2017_Jan_25_1257,60.0010970739,famFaceFilter,001,3,
57,./img/smoo15_UrsulavonderLeyen5_1.png,0,7,7,56,,,2.nein,2.107,None,dummy,1.007,None,None,None,None,None,,['return'],[0.6836562424105068],,,2017_Jan_25_1257,60.0010970739,famFaceFilter,001,3,
62,./img/smoo15_RobertSeanLeonard(Wilson)1_1.png,0,8,8,61,,,1.ja,1.807,None,act,0.841,None,None,None,None,None,,['return'],[0.6167080627983523],,,2017_Jan_25_1257,60.0010970739,famFaceFilter,001,3,
40,./img/smoo15_NeilPatrickHarris(Barney)2_2.png,0,9,9,39,,,1.ja,1.84,None,act,0.608,None,None,None,None,None,,['return'],[1.0333639032778592],,,2017_Jan_25_1257,60.0010970739,famFaceFilter,001,3,
45,./img/smoo15_RobertSeanLeonard(Wilson)2_6.png,0,10,10,44,,,1.ja,2.457,None,act,0.457,None,None,None,None,None,,['return'],[1.066832700282248],,,2017_Jan_25_1257,60.0010970739,famFaceFilter,001,3,
31,./img/smoo15_BritneySpears1_1.png,0,11,11,30,,,1.ja,1.824,None,None,None,music,0.624,None,None,None,Britney Spears,"['lshift', 'b', 'r', 'i', 't', 'n', 'e', 'y', 'space', 'lshift', 's', 'p', 'e', 'a', 'r', 's', 'return']","[0.5502567650837591, 0.7337354580249666, 0.9337309030070173, 1.150191775883286, 1.3666317983243061, 1.583206867428089, 1.699705303164592, 1.9498396280796442, 2.1330145462270593, 2.2162395374925836, 2.349604050245034, 2.499466068484253, 2.6160674732909683, 3.0325757568480185, 3.2825057475038193, 3.4657849178220204, 3.5491022925543803]",,,2017_Jan_25_1257,60.0010970739,famFaceFilter,001,3,
6,./img/smoo15_AlysonHannigan(Lily)1_1.png,0,12,12,5,,,1.ja,1.756,None,act,0.973,None,None,None,None,None,,['return'],[0.7500754625343689],,,2017_Jan_25_1257,60.0010970739,famFaceFilter,001,3,
2,./img/smoo15_WillSmith5_1.png,0,13,13,1,,,1.ja,1.957,None,act,0.474,None,None,None,None,None,Will Smith,"['lshift', 'w', 'i', 'l', 'l', 'space', 'lshift', 's', 'm', 'i', 't', 'h', 'return']","[0.5168418584344181, 0.8000334248499712, 0.9833177275850176, 1.1830757983880176, 1.3332595548727113, 1.3998709197712742, 1.533153634663904, 1.6662913588425, 1.866370205563726, 1.9663073014053225, 2.1657949581076537, 2.3992739557870664, 2.665918296448581]",,,2017_Jan_25_1257,60.0010970739,famFaceFilter,001,3,
59,./img/smoo15_JoshRadnor(Ted)1_2.png,0,14,14,58,,,2.nein,5.504,None,act,0.904,None,None,None,None,None,,['return'],[0.7668097006499011],,,2017_Jan_25_1257,60.0010970739,famFaceFilter,001,3,
43,./img/smoo15_JoachimLoew1_1.png,0,15,15,42,,,1.ja,1.59,None,None,None,None,None,sport,1.14,None,Jogi Löw,"['lshift', 'j', 'o', 'g', 'i', 'space', 'lshift', 'l', u'\xf6', 'w', 'return']","[0.8332064664573409, 1.0828458341311489, 1.2998039096801222, 1.8827778937920812, 2.0661356542113936, 2.149278526841954, 2.2825339757819165, 2.5324690988527436, 2.7490743208927597, 2.899039308202191, 3.715374565228558]",,,2017_Jan_25_1257,60.0010970739,famFaceFilter,001,3,
13,./img/smoo15_GeorgeClooney3_1.png,0,16,16,12,,,2.nein,2.438,None,dummy,1.239,None,None,None,None,None,,['return'],[0.5838105677066778],,,2017_Jan_25_1257,60.0010970739,famFaceFilter,001,3,
49,./img/smoo15_TomCruise5_1.png,0,17,17,48,,,1.ja,1.224,None,act,0.524,None,None,None,None,None,Tom Cruise,"['lshift', 't', 'o', 'm', 'space', 'lshift', 'c', 'r', 'u', 'i', 's', 'e', 'return']","[0.6500976281513431, 0.8999416508613649, 1.0332907663687365, 1.1998337739187264, 1.2830491419081227, 1.3497214542312577, 1.6663577594572416, 2.182798006442681, 2.5993473493163037, 2.6659827724088245, 2.7991942750486487, 2.9491926230530225, 3.032409915696917]",,,2017_Jan_25_1257,60.0010970739,famFaceFilter,001,3,
63,./img/smoo15_RobertSeanLeonard(Wilson)8_1.png,0,18,18,62,,,1.ja,2.256,None,act,0.407,None,None,None,None,None,,['return'],[0.4667340937648987],,,2017_Jan_25_1257,60.0010970739,famFaceFilter,001,3,
38,./img/smoo15_AlysonHannigan(Lily)5_4.png,0,19,19,37,,,1.ja,1.506,None,dummy,0.408,None,None,None,None,None,,['return'],[0.6834894389339752],,,2017_Jan_25_1257,60.0010970739,famFaceFilter,001,3,
