num,pic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ratingBekannt.response,ratingBekannt.rt,key_resp_5.keys,ratingK1.response,ratingK1.rt,ratingK2.response,ratingK2.rt,ratingK3.response,ratingK3.rt,key_resp_6.keys,inputText,key_resp_4.keys,key_resp_4.rt,date,frameRate,expName,session,participant,
,,,,,,space,34.3168390356,,,,,,,,,,,,,,2017_Jan_25_1502,59.9991339166,famFaceFilter,001,4,
6,./img/smoo15_AlysonHannigan(Lily)1_1.png,0,0,0,5,,,1.ja,3.776,None,act,1.804,None,None,None,None,None,,['return'],[1.1666132574755466],2017_Jan_25_1502,59.9991339166,famFaceFilter,001,4,
50,./img/smoo15_OmarEpps(DrEricForeman)2_2.png,0,1,1,49,,,1.ja,3.072,None,act,1.205,None,None,None,None,None,,['return'],[1.4004419009033882],2017_Jan_25_1502,59.9991339166,famFaceFilter,001,4,
33,./img/smoo15_Ice-T(OdafinFinTutuola)7_1.png,0,2,2,32,,,1.ja,1.24,None,act,0.724,None,None,None,None,None,Ice Cube,"['lshift', 'i', 'c', 'e', 'space', 'lshift', 'c', 'u', 'b', 'e', 'return']","[0.8834537686525437, 1.016888531328732, 1.3333131244507967, 1.5164662298338953, 1.6663622503183433, 1.899690483314771, 2.1495088439514802, 2.4327664902084507, 2.66585959445365, 2.9824772946776648, 4.032079195723782]",2017_Jan_25_1502,59.9991339166,famFaceFilter,001,4,
43,./img/smoo15_JoachimLoew1_1.png,0,3,3,42,,,1.ja,1.435,None,None,None,None,None,sport,1.757,None,Jogi Löw,"['lshift', 'j', 'o', 'g', 'i', 'space', 'lshift', 'l', u'\xf6', 'e', 'backspace', 'w', 'return']","[0.9000067683737143, 1.00016231261543, 1.216644677479053, 1.4334340248933586, 1.550062374877598, 1.7831651024025632, 1.9830511627988017, 2.1162998754443834, 2.2997063938018982, 2.466259024629835, 3.266034224867326, 3.3826542346760107, 3.93235477431881]",2017_Jan_25_1502,59.9991339166,famFaceFilter,001,4,
5,./img/smoo15_BarackObama1_3.png,0,4,4,4,,,1.ja,1.341,None,None,None,None,None,polit,0.674,None,Obama,"['lshift', 'o', 'b', 'a', 'n', 'a', 'backspace', 'backspace', 'm', 'a', 'return']","[0.8497848074730427, 0.9500869463117851, 1.24994089703614, 1.5329643768709502, 1.6663779683367466, 1.916393606163183, 2.7991978035825014, 2.9325068221005495, 3.5823135064929374, 3.6652639135754725, 5.081715099018766]",2017_Jan_25_1502,59.9991339166,famFaceFilter,001,4,
28,./img/smoo15_HughLaurie(DrHouse)5_3.png,0,5,5,27,,,1.ja,1.315,None,act,1.007,None,None,None,None,None,,['return'],[1.899517585094145],2017_Jan_25_1502,59.9991339166,famFaceFilter,001,4,
19,./img/smoo15_NicoleKidman7_1.png,0,6,6,18,,,1.ja,1.008,None,dummy,0.691,None,None,None,None,None,Nicole Kidmann,"['lshift', 'n', 'i', 'c', 'o', 'l', 'e', 'space', 'lshift', 'k', 'i', 'd', 'm', 'a', 'n', 'n', 'return']","[1.183277245661884, 1.64980572206332, 1.8996321020968026, 2.366079742969305, 2.4828967091925733, 2.6827128404329414, 2.8658742859915947, 2.9991191493281804, 3.398910195894132, 3.5656453482188226, 3.748794283514144, 3.882131530313927, 4.215237754298869, 4.348601304722251, 4.531781676058017, 4.648509466576797, 5.431439119456627]",2017_Jan_25_1502,59.9991339166,famFaceFilter,001,4,
54,./img/smoo15_LisaEdelstein(DrLisaCuddy)6_3.png,0,7,7,53,,,1.ja,1.501,None,dummy,0.557,None,None,None,None,None,,['return'],[0.8834967526272521],2017_Jan_25_1502,59.9991339166,famFaceFilter,001,4,
44,./img/smoo15_GuentherJauch2_1.png,0,8,8,43,,,1.ja,1.323,None,None,None,host,1.507,None,None,None,Günther Jauch,"['lshift', 'g', u'\xfc', 'n', 't', 'h', 'e', 'r', 'space', 'lshift', 'j', 'u', 'a', 'c', 'h', 'backspace', 'backspace', 'backspace', 'backspace', 'a', 'u', 'c', 'h', 'return']","[0.8496853669385018, 0.9833295962926059, 1.3665936259894806, 1.7328841187372745, 1.999344013245718, 2.099548956979561, 2.249317629426514, 2.61603443336935, 2.849184956507088, 3.3324441424847464, 3.4822801778755093, 3.7154922899899248, 3.8487891190234222, 4.065386000889703, 4.18200184061061, 4.5485835978906834, 4.6986149858166755, 4.83177580586198, 4.9651149773162615, 5.5316254581885005, 5.647696299623931, 5.781383192173962, 5.864585729126702, 6.7144330879054905]",2017_Jan_25_1502,59.9991339166,famFaceFilter,001,4,
