num,pic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ratingBekannt.response,ratingBekannt.rt,key_resp_5.keys,ratingK1.response,ratingK1.rt,ratingK2.response,ratingK2.rt,ratingK3.response,ratingK3.rt,key_resp_6.keys,inputText,key_resp_4.keys,key_resp_4.rt,date,frameRate,expName,session,participant
,,,,,,space,40.7640789353,,,,,,,,,,,,,,2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
1,./img/smoo15_Ice-T(OdafinFinTutuola)6_1.png,0,0,0,0,,,1.ja,10.784,None,act,4.765,None,None,None,None,None,Ice T,"['lshift', 'i', 'c', 'e', 'space', 'lshift', 't', 'period', 'period', 'return']","[7.213715351790597, 7.314223428767946, 8.01313513230889, 8.213087914095013, 8.812924767462391, 11.61213893061722, 11.64536490025057, 13.761735987947759, 15.14403801066328, 17.459704289512956]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
2,./img/smoo15_WillSmith5_1.png,0,1,1,1,,,1.ja,5.119,None,act,5.782,None,None,None,None,None,Will Smith,"['lshift', 'w', 'i', 'l', 'l', 'space', 'lshift', 's', 'm', 'i', 't', 'h', 'return']","[2.7996347003845585, 2.949575629498213, 3.1494963336917863, 3.3492720471695065, 3.4989736774496123, 3.849258414193173, 4.632079324035658, 4.715515706631777, 4.998785863148441, 5.215300305602796, 5.598496010028612, 5.798428582929773, 7.830725264728244]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
3,./img/smoo15_JoshRadnor(Ted)3_1.png,0,2,2,2,,,2.nein,21.184,None,dummy,1.552,None,None,None,None,None,,['return'],[0.9832696111971018],2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
4,./img/smoo15_UrsulavonderLeyen1_1.png,0,3,3,3,,,2.nein,15.75,None,dummy,1.207,None,None,None,None,None,,['return'],[0.9504885577625828],2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
5,./img/smoo15_BarackObama1_3.png,0,4,4,4,,,1.ja,16.382,None,None,None,None,None,polit,1.091,None,Obama,"['lshift', 'o', 'b', 'a', 'm', 'a', 'return']","[1.3997875180320989, 1.5830814440432732, 2.033146096429846, 2.2664156274331617, 2.682731766215511, 2.866136359918528, 4.115656078174652]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
6,./img/smoo15_AlysonHannigan(Lily)1_1.png,0,5,5,5,,,2.nein,12.742,None,dummy,1.32,None,None,None,None,None,,['return'],[0.8833957082097186],2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
7,./img/smoo15_LisaEdelstein(DrLisaCuddy)2_2.png,0,6,6,6,,,1.ja,7.535,None,dummy,1.674,None,None,None,None,None,Cuddy,"['lshift', 'c', 'u', 'd', 'd', 'y', 'return']","[2.898859673689003, 3.0153491276996647, 3.3485461312666303, 3.498931014251866, 3.7150207493905327, 4.748506226742393, 5.747491291736878]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
8,./img/smoo15_AngelaMerkel4_1.png,0,7,7,7,,,1.ja,2.008,None,None,None,None,None,polit,1.676,None,Merkel,"['lshift', 'm', 'e', 'r', 'k', 'e', 'l', 'return']","[1.4164332219916105, 1.54978329982805, 1.799279601442322, 1.866334599435504, 2.2661634975611378, 2.4327626408958167, 2.565825624285935, 3.23240888921282]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
9,./img/smoo15_EmilyDeschanel6_12.png,0,8,8,8,,,2.nein,20.683,None,dummy,1.55,None,None,None,None,None,,['return'],[0.5836472927639988],2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
10,./img/smoo15_KatjaBurkard5_3.png,0,9,9,9,,,1.ja,2.543,None,None,None,host,2.46,None,None,None,Katja Burkhard,"['lshift', 'k', 'a', 't', 'j', 'a', 'space', 'lshift', 'b', 'u', 'r', 'k', 'h', 'a', 'r', 'd', 'return']","[1.9495047380205506, 2.066416333140296, 2.4327806043493183, 2.6662095609826792, 2.8495795108883613, 3.015826763041332, 3.2826189814022655, 3.5818785343490163, 3.665586293373053, 4.015449851336598, 4.198540726192732, 4.848105866318292, 5.315097863922347, 5.464426111031571, 5.781118231267101, 6.347546272729232, 7.213941178037203]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
11,./img/smoo15_LeonardoDiCaprio3_1.png,0,10,10,10,,,1.ja,3.292,None,act,0.975,None,None,None,None,None,DiCaprio,"['lshift', 'd', 'i', 'lshift', 'c', 'a', 'p', 'r', 'o', 'backspace', 'i', 'o', 'return']","[1.6162823931554158, 1.7329736152187252, 1.9163025058041967, 2.79952114570915, 2.899337950580957, 3.099358736861177, 3.5159067966324073, 3.815633720092592, 4.015509836432102, 4.632077078604198, 5.431343849009863, 5.664580981645486, 6.531186315954983]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
12,./img/smoo15_MariskaHargitay(Liv)8_8.png,0,11,11,11,,,2.nein,20.828,None,act,2.019,None,None,None,None,None,,['return'],[0.6162663543600502],2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
