,edges,edges,gray,gray,smoo,smoo
,context,familiarity,context,familiarity,context,familiarity
1,100.0,100.0,100.0,100.0,100.0,90.4761904762
10,96.6666666667,91.6666666667,100.0,98.3333333333,98.3333333333,95.0
11,66.6666666667,52.0833333333,72.9166666667,66.6666666667,60.4166666667,52.0833333333
12,93.75,91.6666666667,95.8333333333,91.6666666667,75.0,72.9166666667
13,97.2222222222,80.5555555556,91.6666666667,94.4444444444,91.6666666667,80.5555555556
14,70.5882352941,84.3137254902,78.431372549,78.431372549,64.7058823529,84.3137254902
15,87.037037037,81.4814814815,90.7407407407,92.5925925926,92.5925925926,87.037037037
16,100.0,100.0,100.0,98.3333333333,98.3333333333,98.3333333333
17,83.3333333333,75.9259259259,88.8888888889,87.037037037,70.3703703704,70.3703703704
18,94.4444444444,100.0,98.1481481481,100.0,94.4444444444,96.2962962963
19,94.4444444444,75.9259259259,98.1481481481,85.1851851852,94.4444444444,66.6666666667
2,100.0,92.9824561404,100.0,92.9824561404,98.2456140351,91.2280701754
20,95.4545454545,95.4545454545,93.9393939394,96.9696969697,93.9393939394,89.3939393939
21,100.0,95.2380952381,98.4126984127,95.2380952381,100.0,93.6507936508
22,96.8253968254,98.4126984127,96.8253968254,100.0,96.8253968254,98.4126984127
23,100.0,100.0,98.1481481481,100.0,96.2962962963,85.1851851852
24,94.2028985507,95.652173913,97.1014492754,100.0,97.1014492754,98.5507246377
25,100.0,100.0,98.5507246377,100.0,98.5507246377,98.5507246377
26,100.0,100.0,96.6666666667,98.3333333333,91.6666666667,95.0
27,97.619047619,97.619047619,100.0,97.619047619,88.0952380952,92.8571428571
4,100.0,100.0,98.6111111111,100.0,100.0,100.0
5,98.6111111111,100.0,98.6111111111,100.0,100.0,100.0
6,92.5925925926,94.4444444444,98.1481481481,100.0,92.5925925926,94.4444444444
7,98.1481481481,100.0,96.2962962963,100.0,94.4444444444,98.1481481481
8,90.9090909091,89.3939393939,95.4545454545,90.9090909091,93.9393939394,87.8787878788
9,100.0,98.4848484848,96.9696969697,98.4848484848,89.3939393939,86.3636363636
JB,81.8181818182,69.696969697,93.9393939394,93.9393939394,81.8181818182,60.6060606061
JB*,97.2222222222,91.6666666667,100.0,100.0,97.2222222222,69.4444444444
