,smoo,smoo,edges,edges,gray,gray
,context,familiarity,context,familiarity,context,familiarity
10,98.3333333333,95.0,96.6666666667,91.6666666667,100.0,98.3333333333
11,60.4166666667,52.0833333333,66.6666666667,52.0833333333,72.9166666667,66.6666666667
12,75.0,72.9166666667,93.75,91.6666666667,95.8333333333,91.6666666667
13,91.6666666667,80.5555555556,97.2222222222,80.5555555556,91.6666666667,94.4444444444
14,64.7058823529,84.3137254902,70.5882352941,84.3137254902,78.431372549,78.431372549
15,92.5925925926,87.037037037,87.037037037,81.4814814815,90.7407407407,92.5925925926
16,98.3333333333,98.3333333333,100.0,100.0,100.0,98.3333333333
17,70.3703703704,70.3703703704,83.3333333333,75.9259259259,88.8888888889,87.037037037
18,94.4444444444,96.2962962963,94.4444444444,100.0,98.1481481481,100.0
19,94.4444444444,66.6666666667,94.4444444444,75.9259259259,98.1481481481,85.1851851852
1,100.0,90.4761904762,100.0,100.0,100.0,100.0
20,93.9393939394,89.3939393939,95.4545454545,95.4545454545,93.9393939394,96.9696969697
21,100.0,93.6507936508,100.0,95.2380952381,98.4126984127,95.2380952381
22,96.8253968254,98.4126984127,96.8253968254,98.4126984127,96.8253968254,100.0
23,96.2962962963,85.1851851852,100.0,100.0,98.1481481481,100.0
24,97.1014492754,98.5507246377,94.2028985507,95.652173913,97.1014492754,100.0
25,98.5507246377,98.5507246377,100.0,100.0,98.5507246377,100.0
26,91.6666666667,95.0,100.0,100.0,96.6666666667,98.3333333333
27,88.0952380952,92.8571428571,97.619047619,97.619047619,100.0,97.619047619
2,98.2456140351,91.2280701754,100.0,92.9824561404,100.0,92.9824561404
4,100.0,100.0,100.0,100.0,98.6111111111,100.0
5,100.0,100.0,98.6111111111,100.0,98.6111111111,100.0
6,92.5925925926,94.4444444444,92.5925925926,94.4444444444,98.1481481481,100.0
7,94.4444444444,98.1481481481,98.1481481481,100.0,96.2962962963,100.0
8,93.9393939394,87.8787878788,90.9090909091,89.3939393939,95.4545454545,90.9090909091
9,89.3939393939,86.3636363636,100.0,98.4848484848,96.9696969697,98.4848484848
