,edges,gray,smoo
,naming,naming,naming
10,83.3333333333,85.0,83.3333333333
11,16.6666666667,25.0,16.6666666667
12,64.5833333333,68.75,58.3333333333
13,61.1111111111,66.6666666667,66.6666666667
14,36.8421052632,45.6140350877,33.3333333333
15,70.3703703704,74.0740740741,70.3703703704
16,70.0,70.0,70.0
17,29.8245614035,35.0877192982,33.3333333333
18,94.4444444444,94.4444444444,88.8888888889
19,64.8148148148,74.0740740741,59.2592592593
1,78.5714285714,76.1904761905,69.0476190476
20,63.6363636364,66.6666666667,62.1212121212
21,61.9047619048,61.9047619048,61.9047619048
22,71.4285714286,74.6031746032,71.4285714286
23,81.4814814815,83.3333333333,66.6666666667
24,71.0144927536,72.4637681159,69.5652173913
25,68.115942029,68.115942029,66.6666666667
26,100.0,100.0,93.3333333333
27,76.1904761905,78.5714285714,73.8095238095
2,78.9473684211,78.9473684211,64.9122807018
3,47.2222222222,58.8235294118,38.8888888889
4,58.3333333333,58.3333333333,58.3333333333
5,62.5,62.5,62.5
6,50.0,50.0,48.1481481481
7,83.3333333333,83.3333333333,81.4814814815
8,72.7272727273,72.7272727273,72.7272727273
9,62.1212121212,63.6363636364,53.0303030303
JB,60.6060606061,84.8484848485,48.4848484848
JB*,91.6666666667,100.0,69.4444444444
