;filename;text;hit
10;./greyInner/AngelaMerkel6_1_cut.png;angela merkel;1
9;./greyInner/AngelaMerkel5_1_cut.png;angela merkel;1
30;./greyInner/Beyonce8_3_cut.png;beyonce;1
29;./greyInner/Beyonce5_3_cut.png;beyonce;1
28;./greyInner/Beyonce3_2_cut.png;beyonce;1
27;./greyInner/Beyonce11_2_cut.png;beyonce;1
26;./greyInner/Beyonce1_1_cut.png;beyonce;1
179;./greyInner/Shakira7_1_cut.png;beyonce;0
178;./greyInner/Shakira3_1_cut.png;beyonce;0
32;./greyInner/BritneySpears14_2_cut.png;britnes spears;1
31;./greyInner/BritneySpears1_1_cut.png;britney;1
33;./greyInner/BritneySpears5_1_cut.png;britney;1
34;./greyInner/BritneySpears7_1_cut.png;britney;1
35;./greyInner/BritneySpears8_5_cut.png;britney spears;1
138;./greyInner/LisaEdelstein(DrLisaCuddy)2_2_cut.png;chefin von house;0
80;./greyInner/GeorgeClooney4_2_cut.png;clooney;1
79;./greyInner/GeorgeClooney3_1_cut.png;clooney;1
76;./greyInner/GeorgeClooney11_1_cut.png;clooney;1
191;./greyInner/TomCruise1_1_cut.png;cruise;1
193;./greyInner/TomCruise5_1_cut.png;cruise;1
194;./greyInner/TomCruise6_1_cut.png;cruise;1
25;./greyInner/BenedictCumberbatch6_5_cut.png;cumberbatch;1
24;./greyInner/BenedictCumberbatch4_1_cut.png;cumberbatch;1
23;./greyInner/BenedictCumberbatch3_9_cut.png;cumberbatch;1
21;./greyInner/BenedictCumberbatch16_1_cut.png;cumberbatch;1
22;./greyInner/BenedictCumberbatch2_2_cut.png;cumberbatch;1
75;./greyInner/GuentherJauch9_1_cut.png;der jauch;1
134;./greyInner/LeonardoDiCaprio4_1_cut.png;dicaprio;1
135;./greyInner/LeonardoDiCaprio7_1_cut.png;dicaprio;1
132;./greyInner/LeonardoDiCaprio2_1_cut.png;dicaprio;1
180;./greyInner/Shakira9_1_cut.png;die aus sin city;0
81;./greyInner/HughLaurie(DrHouse)2_1_cut.png;dr house;1
84;./greyInner/HughLaurie(DrHouse)8_1_cut.png;dr house;1
161;./greyInner/OmarEpps(DrEricForeman)1_5_cut.png;dr house untertan;0
58;./greyInner/ElvisPresley4_10_cut.png;elvis;1
59;./greyInner/ElvisPresley5_2_cut.png;elvis;1
60;./greyInner/ElvisPresley6_1_cut.png;elvis;1
57;./greyInner/ElvisPresley2_1_cut.png;elvis;1
56;./greyInner/ElvisPresley1_1_cut.png;elvis presley;1
67;./greyInner/EmmaWatson(HermioneGranger)16_1_cut.png;emma watson;1
68;./greyInner/EmmaWatson(HermioneGranger)3_1_cut.png;emma watson;1
66;./greyInner/EmmaWatson(HermioneGranger)11_2_cut.png;emma watson;1
70;./greyInner/EmmaWatson(HermioneGranger)9_1_cut.png;emma watson;1
69;./greyInner/EmmaWatson(HermioneGranger)4_1_cut.png;emma watson;1
184;./greyInner/SigmarGabriel4_5_cut.png;gabriel;1
