num,pic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ratingBekannt.response,ratingBekannt.rt,key_resp_5.keys,key_resp_5.rt,ratingK1.response,ratingK1.rt,ratingK2.response,ratingK2.rt,ratingK3.response,ratingK3.rt,key_resp_6.keys,inputText,key_resp_4.keys,key_resp_4.rt,key_resp_6.rt,date,frameRate,expName,session,participant,
,,,,,,space,49.4621231465,,,,,,,,,,,,,,,,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
109,./greyInner/JoachimLoew4_1_cut.png,0,0,0,108,,,None,None,1,4.71511859914,None,None,None,None,sport,2.903,None,jogi löw,"['j', 'o', 'g', 'i', 'space', 'l', u'\xf6', 'w', 'return']","[2.5827223525304817, 2.7825082633175953, 3.0489107561704714, 3.199139216370668, 3.382503066666004, 3.649061779846761, 3.865339039812852, 4.1155206018363515, 5.448958295908824]",,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
120,./greyInner/JudithRakers8_1_cut.png,0,1,1,119,,,2.nein,11.819,None,,None,None,host,4.023,None,None,None,,['return'],[2.149763648588305],,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
192,./greyInner/TomCruise4_1_cut.png,0,2,2,191,,,1.ja,13.985,None,,dummy,2.006,None,None,None,None,None,tom cruise,"['t', 'o', 'm', 'space', 'c', 'r', 'u', 'i', 's', 'e', 'return']","[2.4161626128507123, 2.632583582686948, 2.932390600861254, 3.132533540857139, 3.2657904427803714, 3.54879110487218, 3.982124160195326, 4.08203363580833, 4.215331597694558, 4.415371567002012, 5.048232304439125]",,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
147,./greyInner/MilaKunis10_1_cut.png,0,3,3,146,,,1.ja,10.708,None,,act,2.079,None,None,None,None,None,,['return'],[1.9835246898690002],,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
188,./greyInner/TaylorSwift3_1_cut.png,0,4,4,187,,,1.ja,2.195,None,,None,None,music,2.028,None,None,None,taylor swift,"['t', 'a', 'y', 'l', 'o', 'r', 'space', 's', 'w', 'i', 'f', 't', 'return']","[1.7334120957518735, 1.8996927559960568, 2.1331468740536366, 2.333159897760652, 2.5165259935226914, 2.6495974840506733, 2.7330505756092407, 2.8994858522764844, 3.08275571375043, 3.166161329726947, 3.349262139634675, 3.582491711019884, 3.765896942059271]",,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
217,./greyInner/notfamousface2_cut.png,0,5,5,216,,,2.nein,8.467,None,,act,2.969,None,None,None,None,None,natalie portman,"['n', 'a', 't', 'a', 'l', 'i', 'e', 'space', 'p', 'o', 'r', 't', 'm', 'n', 'backspace', 'a', 'n', 'return']","[6.481287242669623, 6.581436020878982, 6.864503405410687, 7.131117613697597, 7.18109881593341, 7.414364956348209, 7.547626669985675, 7.664103199084366, 7.847517732771621, 8.013947556162293, 8.080653956897322, 8.230570938784695, 8.347249239107668, 8.547122402315836, 9.213353662292093, 9.563107879920153, 9.747712190189759, 9.97983827507096]",,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
68,./greyInner/EmmaWatson(HermioneGranger)3_1_cut.png,0,6,6,67,,,1.ja,1.625,None,,act,1.043,None,None,None,None,None,emma watson,"['e', 'm', 'm', 'a', 'space', 'w', 'a', 't', 's', 'o', 'n', 'return']","[1.5163341665083863, 1.7162381246887435, 1.8829213650385555, 2.0328271195921843, 2.149428432484683, 2.2994795008135043, 2.4660783757706213, 2.7492593167621635, 2.9990273921278003, 3.0658232907508136, 3.19901603648168, 3.7487855232836864]",,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
186,./greyInner/TaylorSwift1_2_cut.png,0,7,7,185,,,1.ja,2.9,None,,None,None,music,2.133,None,None,None,taylor swift,"['t', 'a', 'y', 'l', 'o', 'r', 'space', 's', 'w', 'i', 'f', 't', 'return']","[1.5165763561335552, 1.6663095305307252, 1.916449711810401, 2.0996820419120468, 2.2996995565524685, 2.4160012600277696, 2.499438312538132, 2.6493488788064496, 2.8327108044161378, 2.915866211243383, 3.0994626277349653, 3.3157982698357955, 3.4824616217658786]",,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
174,./greyInner/SahraWagenknecht6_2_cut.png,0,8,8,173,,,1.ja,4.554,None,,None,None,None,None,polit,0.997,None,sarah wagenknecht,"['s', 'a', 'r', 'a', 'h', 'space', 'w', 'a', 'g', 'e', 'n', 'k', 'n', 'e', 'c', 'h', 't', 'return']","[1.1834379506972255, 1.3166993435538643, 1.616609011635319, 1.7832229632974759, 2.799542694662705, 3.0161192432649386, 3.082756034531485, 3.882413889559075, 4.082183440516928, 4.198926538593923, 4.3156494274701345, 4.548792067215118, 4.765477360562954, 4.832195950974437, 5.048635526106409, 5.098465640509858, 5.265154013354731, 5.6816932230531165]",,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
185,./greyInner/SigmarGabriel8_2_cut.png,0,9,9,184,,,1.ja,2.042,None,,None,None,None,None,polit,0.874,None,sigmar gabriel,"['s', 'i', 'g', 'm', 'a', 'r', 'space', 'g', 'a', 'b', 'r', 'i', 'e', 'l', 'return']","[0.9500646694416446, 1.200175018092068, 1.3499649707191566, 1.449943093457705, 1.583348837746371, 1.79970372670482, 1.883159063730318, 2.016484933559923, 2.1831065839651274, 2.2662597453256694, 2.3996815286625406, 2.4828478420424744, 2.5828506649147585, 2.6993018523176033, 3.249267657067321]",,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
41,./greyInner/CobieSmulders(Robin)12_1_cut.png,0,10,10,40,,,1.ja,1.986,None,,act,5.776,None,None,None,None,None,,['return'],[0.9669480129543899],,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
3,./greyInner/AlysonHannigan(Lily)14_2_cut.png,0,11,11,2,,,1.ja,2.012,None,,act,1.512,None,None,None,None,None,willow,"['w', 'i', 'l', 'l', 'o', 'w', 'return']","[5.515406147189651, 5.631889412688452, 5.815127196066442, 5.965096786031381, 6.131441602467703, 6.181625217489454, 6.748258480165532]",,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
182,./greyInner/SigmarGabriel11_3_cut.png,0,12,12,181,,,1.ja,1.267,None,,None,None,None,None,polit,0.708,None,gabriel,"['g', 'a', 'b', 'r', 'i', 'e', 'l', 'return']","[1.216497315704828, 1.333274095782599, 1.4332929577030882, 1.583118837797656, 1.7988154842253152, 1.965535935166372, 2.032401122476813, 2.548732722737441]",,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
32,./greyInner/BritneySpears14_2_cut.png,0,13,13,31,,,1.ja,1.361,None,,None,None,music,1.645,None,None,None,britnes spears,"['b', 'r', 'i', 't', 'n', 'e', 's', 'space', 's', 'p', 'e', 'a', 'r', 's', 'return']","[0.9839670468134045, 1.2164411790367922, 1.4831272422588881, 1.5997737852665068, 1.7330576327904055, 1.8830038057451475, 2.099670493797248, 2.199408351596503, 3.082035560494205, 3.131843861792049, 3.3816658283590186, 3.5317903555278463, 3.8155717984775492, 3.9814521240830345, 4.448638156510242]",,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
56,./greyInner/ElvisPresley1_1_cut.png,0,14,14,55,,,1.ja,1.208,None,,None,None,music,1.323,None,None,None,elvis presley,"['e', 'l', 'v', 'i', 's', 'space', 'p', 'r', 'e', 's', 'l', 'e', 'y', 'return']","[0.8668810338897401, 1.0333913733018107, 1.3166326211139676, 1.4665990032692662, 1.6166670729892303, 1.7498165132906252, 2.3997370237684663, 2.515968476213402, 2.7327131140389156, 2.899368767225951, 3.432438718005187, 3.6158715362071234, 3.9322058310278862, 4.1488683489276355]",,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
38,./greyInner/CarenMiosga2_11_cut.png,0,15,15,37,,,2.nein,7.03,None,,act,3.622,None,None,None,None,None,,['return'],[1.732935736025638],,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
224,./greyInner/notfamousface9_1_cut.png,0,16,16,223,,,2.nein,4.793,None,,None,None,music,1.977,None,None,None,,['return'],[1.3499264770036916],,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
183,./greyInner/SigmarGabriel3_3_cut.png,0,17,17,182,,,1.ja,6.742,None,,None,None,None,None,polit,1.564,None,gabriel,"['g', 'a', 'b', 'r', 'i', 'e', 'l', 'lshift', u'?', 'return']","[1.0168673044647676, 1.5999219860705125, 1.7166211371556983, 1.8996658103953905, 1.9662519182702454, 2.099824147877598, 2.199764418462564, 2.6994930377700257, 2.9829254710348323, 3.5659224120674935]",,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
1,./greyInner/AlysonHannigan(Lily)1_1_cut.png,0,18,18,0,,,1.ja,1.812,None,,act,1.077,None,None,None,None,None,willow,"['w', 'i', 'l', 'l', 'o', 'w', 'return']","[1.0167030646130115, 1.1834725950409393, 1.4000055174324189, 1.5167094802320662, 1.6832515769592646, 1.7832181515830143, 2.3162913101721188]",,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
160,./greyInner/NicoleKidman8_2_cut.png,0,19,19,159,,,1.ja,7.925,None,,act,0.928,None,None,None,None,None,,['return'],[0.800209919060535],,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
111,./greyInner/JoshRadnor(Ted)1_2_cut.png,0,20,20,110,,,1.ja,6.261,None,,act,1.423,None,None,None,None,None,,['return'],[1.0334141487501256],,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
69,./greyInner/EmmaWatson(HermioneGranger)4_1_cut.png,0,21,21,68,,,1.ja,1.293,None,,act,0.593,None,None,None,None,None,emma watson,"['e', 'm', 'm', 'a', 'space', 'w', 'a', 't', 's', 'o', 'n', 'return']","[1.0000513249538017, 1.1832063468439173, 1.3332230916100798, 1.4494275984541218, 1.5832153928670323, 1.6996835816605653, 1.8829101377048119, 2.1994510154643194, 2.449405143786862, 2.4742043990618185, 3.3323512089593805, 3.5991203544501786]",,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
18,./greyInner/BastianSchweinsteiger14_1_cut.png,0,22,22,17,,,1.ja,1.773,None,,None,None,None,None,sport,1.546,None,schweinsteiger,"['s', 'c', 'h', 'w', 'e', 'i', 'n', 's', 't', 'e', 'i', 'g', 'e', 'r', 'return']","[0.8166778512295423, 1.100014050206255, 1.2000175146404217, 1.3665701971392537, 1.5497297099627758, 1.5998340920873488, 1.6497495342262027, 1.9663879293975697, 2.2333315797309297, 2.4326372814198294, 2.4827564194686147, 2.6328745310183876, 2.8160539322614113, 2.840870830489166, 3.232277814275676]",,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
5,./greyInner/AlysonHannigan(Lily)8_3_cut.png,0,23,23,4,,,1.ja,1.321,None,,act,0.712,None,None,None,None,None,willow,"['w', 'i', 'l', 'l', 'o', 'w', 'return']","[0.7337142714166021, 0.9333539060855855, 1.1168900157567805, 1.2669892012297623, 1.3999965355656059, 1.516865700559947, 1.6499718354316428]",,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
45,./greyInner/CobieSmulders(Robin)5_1_cut.png,0,24,24,44,,,1.ja,3.479,None,,act,3.829,None,None,None,None,None,,['return'],[1.0336290719935732],,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
