num,pic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ratingBekannt.response,ratingBekannt.rt,key_resp_5.keys,key_resp_5.rt,ratingK1.response,ratingK1.rt,ratingK2.response,ratingK2.rt,ratingK3.response,ratingK3.rt,key_resp_6.keys,key_resp_6.rt,inputText,key_resp_4.keys,key_resp_4.rt,date,frameRate,expName,session,participant,
,,,,,,space,37.8827801392,,,,,,,,,,,,,,,,2017_Feb_20_1032,60.0351840761,famFaceGrey,001,19,
67,./greyInner/EmmaWatson(HermioneGranger)16_1_cut.png,0,0,0,66,,,None,None,1,5.06503410971,None,None,None,None,None,None,1,2.38285536118,Emma Watson,"['lshift', 'e', 'm', 'm', 'a', 'space', 'lshift', 'w', 'a', 't', 's', 'o', 'n', 'return']","[1.6330551243790978, 1.8996725198649074, 2.149592887242761, 2.2662924494798062, 2.399434022969217, 2.682734332421205, 2.7994634060432873, 2.9493680874793426, 3.0492352541714354, 3.382338270394939, 3.5991163906546717, 3.715689246403599, 3.9155178879082086, 5.64822173057928]",2017_Feb_20_1032,60.0351840761,famFaceGrey,001,19,
44,./greyInner/CobieSmulders(Robin)4_7_cut.png,0,1,1,43,,,None,None,1,2.03309830082,None,None,None,None,None,None,1,13.6113536712,,['return'],[1.2333968790426297],2017_Feb_20_1032,60.0351840761,famFaceGrey,001,19,
6,./greyInner/AngelaMerkel1_1_cut.png,0,2,2,5,,,None,None,1,2.34912898111,None,None,None,None,None,None,4,2.5494759965,Angela Merkel,"['lshift', 'a', 'n', 'g', 'e', 'l', 'a', 'space', 'lshift', 'm', 'e', 'r', 'k', 'e', 'l', 'return']","[1.066600458517314, 1.2165574264281531, 1.5163622984364338, 1.6996600737593326, 1.8323477493240716, 2.432732808736546, 2.5658371722192896, 2.965855648912111, 3.1490151698144473, 3.2490116092012613, 3.3989608784904703, 3.5988568829370706, 3.7489065550880696, 3.8487519090176647, 3.965388919950783, 4.731726438447367]",2017_Feb_20_1032,60.0351840761,famFaceGrey,001,19,
122,./greyInner/KaleyCuoco(Penny)14_2_cut.png,0,3,3,121,,,None,None,2,2.76583325875,None,None,None,None,None,None,1,7.99665911881,,['return'],[1.2998712726239319],2017_Feb_20_1032,60.0351840761,famFaceGrey,001,19,
30,./greyInner/Beyonce8_3_cut.png,0,4,4,29,,,None,None,2,17.043413492,None,None,None,None,None,None,2,2.89891965878,,['return'],[0.9832837253379694],2017_Feb_20_1032,60.0351840761,famFaceGrey,001,19,
14,./greyInner/BarackObama4_1_cut.png,0,5,5,13,,,None,None,1,1.58299323067,None,None,None,None,None,None,4,1.53301153093,Barack Obama,"['lshift', 'b', 'a', 'r', 'a', 'c', 'k', 'space', 'lshift', 'o', 'b', 'a', 'm', 'a', 'return']","[0.9003349221356984, 1.150296028055891, 1.416888723795637, 1.733463760820996, 1.9000991518360024, 2.0334380025151404, 2.1665654618636836, 2.3832223288263776, 2.7163304774649077, 2.949642992441113, 3.4494154019266716, 3.565952651549196, 4.48243928273223, 4.598847259659124, 5.448627576271065]",2017_Feb_20_1032,60.0351840761,famFaceGrey,001,19,
117,./greyInner/JudithRakers2_1_cut.png,0,6,6,116,,,None,None,2,3.29893909781,None,None,None,None,None,None,3,4.2651918673,,['return'],[1.2165016114176979],2017_Feb_20_1032,60.0351840761,famFaceGrey,001,19,
5,./greyInner/AlysonHannigan(Lily)8_3_cut.png,0,7,7,4,,,None,None,2,3.11595728676,None,None,None,None,None,None,5,4.39832638372,,['return'],[0.7834223646896135],2017_Feb_20_1032,60.0351840761,famFaceGrey,001,19,
20,./greyInner/BastianSchweinsteiger6_2_cut.png,0,8,8,19,,,None,None,1,10.0629602934,None,None,None,None,None,None,5,2.28290415119,,['return'],[4.032526357355891],2017_Feb_20_1032,60.0351840761,famFaceGrey,001,19,
137,./greyInner/LisaEdelstein(DrLisaCuddy)10_1_cut.png,0,9,9,136,,,None,None,2,3.69887288965,None,None,None,None,None,None,3,3.86528790761,,['return'],[1.316649457038693],2017_Feb_20_1032,60.0351840761,famFaceGrey,001,19,
168,./greyInner/RobertSeanLeonard(Wilson)11_2_cut.png,0,10,10,167,,,None,None,2,7.01412408447,None,None,None,None,None,None,1,2.19949695921,,['return'],[1.1163973913216978],2017_Feb_20_1032,60.0351840761,famFaceGrey,001,19,
109,./greyInner/JoachimLoew4_1_cut.png,0,11,11,108,,,None,None,1,1.66651269423,None,None,None,None,None,None,5,3.61567516434,Jogi Löw,"['lshift', 'j', 'o', 'g', 'i', 'space', 'lshift', 'l', u'\xf6', 'w', 'return']","[1.0332808223147367, 1.2831857924493306, 1.666275961597421, 1.9328545431972088, 2.06570581447977, 2.4658086552399254, 2.7990492843327957, 2.9320115440832524, 3.0995569763790627, 3.4323097052993035, 4.09872103433554]",2017_Feb_20_1032,60.0351840761,famFaceGrey,001,19,
82,./greyInner/HughLaurie(DrHouse)4_1_cut.png,0,12,12,81,,,None,None,2,12.9617798701,None,None,None,None,None,None,1,1.11658087515,,['return'],[1.099984891454369],2017_Feb_20_1032,60.0351840761,famFaceGrey,001,19,
186,./greyInner/TaylorSwift1_2_cut.png,0,13,13,185,,,None,None,2,3.18248075906,None,None,None,None,None,None,2,3.58230580787,,['return'],[1.1000115158558401],2017_Feb_20_1032,60.0351840761,famFaceGrey,001,19,
53,./greyInner/DannFlorek(DonaldDonCragen)2_1_cut.png,0,14,14,52,,,None,None,2,4.53219515622,None,None,None,None,None,None,3,1.91626978666,,['return'],[1.1500676356026815],2017_Feb_20_1032,60.0351840761,famFaceGrey,001,19,
12,./greyInner/BarackObama11_2_cut.png,0,15,15,11,,,None,None,2,12.89521598,None,None,None,None,None,None,4,6.96449876678,Barack Obama,"['lshift', 'b', 'a', 'r', 'a', 'c', 'k', 'space', 'lshift', 'o', 'b', 'a', 'm', 'a', 'return']","[1.2832582878072571, 1.5166490721076116, 2.199712520621688, 2.316354984744976, 2.4828469889243934, 2.649506758908501, 2.7828196267382737, 3.0993459058245207, 3.365712775317661, 3.4658295056742645, 3.7323840290800945, 3.832565556172085, 4.498839913891061, 4.582019996529198, 5.181794298592649]",2017_Feb_20_1032,60.0351840761,famFaceGrey,001,19,
47,./greyInner/CristinMilioti(Tracy_Mutter)2_1_cut.png,0,16,16,46,,,None,None,2,2.69938933888,None,None,None,None,None,None,1,3.18240858448,,['return'],[0.950026961216281],2017_Feb_20_1032,60.0351840761,famFaceGrey,001,19,
38,./greyInner/CarenMiosga2_11_cut.png,0,17,17,37,,,None,None,1,4.58205784809,None,None,None,None,None,None,2,1.89963178132,Adele,"['lshift', 'a', 'd', 'e', 'l', 'e', 'return']","[0.8332369401696269, 1.0165286207502504, 1.3498212155418514, 1.4329692205883475, 1.6830958468817698, 1.7828183436349718, 2.549275190773187]",2017_Feb_20_1032,60.0351840761,famFaceGrey,001,19,
49,./greyInner/CristinMilioti(Tracy_Mutter)8_1_cut.png,0,18,18,48,,,None,None,2,3.56532072299,None,None,None,None,None,None,3,2.84942329301,,['return'],[1.1499649873085218],2017_Feb_20_1032,60.0351840761,famFaceGrey,001,19,
216,./greyInner/notfamousface14_6_cut.png,0,19,19,215,,,None,None,2,2.89948005431,None,None,None,None,None,None,5,4.14861323759,,['return'],[1.0838912428498588],2017_Feb_20_1032,60.0351840761,famFaceGrey,001,19,
