num,pic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ratingBekannt.response,ratingBekannt.rt,key_resp_5.keys,ratingK1.response,ratingK1.rt,ratingK2.response,ratingK2.rt,ratingK3.response,ratingK3.rt,key_resp_6.keys,inputText,key_resp_4.keys,key_resp_4.rt,date,frameRate,expName,session,participant,
,,,,,,space,78.5828950732,,,,,,,,,,,,,,2017_Feb_22_1031,60.0484827242,famFaceGrey,001,21,
198,./greyInner/UrsulavonderLeyen5_1_cut.png,0,0,0,197,,,1.ja,7.389,None,None,None,None,None,polit,4.736,None,,['return'],[14.611141638277331],2017_Feb_22_1031,60.0484827242,famFaceGrey,001,21,
99,./greyInner/JasonSegel(Marshall)7_1_cut.png,0,1,1,98,,,1.ja,4.658,None,act,2.326,None,None,None,None,None,,['return'],[2.082936934486497],2017_Feb_22_1031,60.0484827242,famFaceGrey,001,21,
187,./greyInner/TaylorSwift2_1_cut.png,0,2,2,186,,,1.ja,5.958,None,None,None,music,1.942,None,None,None,tailor,"['t', 'a', 'i', 'l', 'o', 'r', 'return']","[6.014692178636324, 6.264374530292116, 7.180896126024891, 7.663972790527623, 7.863615061214659, 8.230318392568734, 12.112154809030471]",2017_Feb_22_1031,60.0484827242,famFaceGrey,001,21,
112,./greyInner/JoshRadnor(Ted)3_1_cut.png,0,3,3,111,,,1.ja,4.871,None,act,2.4,None,None,None,None,None,Ted Mosby,"['lshift', 't', 'e', 'd', 'space', 'lshift', 'm', 'o', 's', 'b', 'y', 'return']","[2.7829873925365973, 3.1661029029928613, 3.5989024331211112, 3.7991766323684715, 4.732012570544612, 5.532423227879917, 6.414559249067679, 7.547529848990962, 8.180919863429153, 8.830378826736705, 8.963677580410149, 10.413076622760855]",2017_Feb_22_1031,60.0484827242,famFaceGrey,001,21,
92,./greyInner/JanHofer3_1_cut.png,0,4,4,91,,,2.nein,4.894,None,None,None,None,None,polit,13.941,None,,['return'],[1.566743364179274],2017_Feb_22_1031,60.0484827242,famFaceGrey,001,21,
177,./greyInner/Shakira2_1_cut.png,0,5,5,176,,,1.ja,32.683,None,None,None,music,1.778,None,None,None,Shakira,"['lshift', 's', 'h', 'a', 'k', 'i', 'r', 'a', 'return']","[2.632719913526671, 2.9659586179768667, 4.298834524845006, 4.515413764049299, 4.931851156114135, 5.115079002280254, 5.514771891437704, 5.698299021518324, 6.647820439888164]",2017_Feb_22_1031,60.0484827242,famFaceGrey,001,21,
211,./greyInner/notfamousface10_4_cut.png,0,6,6,210,,,2.nein,3.359,None,act,3.081,None,None,None,None,None,,['return'],[1.083379284478724],2017_Feb_22_1031,60.0484827242,famFaceGrey,001,21,
159,./greyInner/NicoleKidman7_1_cut.png,0,7,7,158,,,1.ja,3.028,None,dummy,1.212,None,None,None,None,None,Nickole Kidmann,"['lshift', 'n', 'i', 'c', 'k', 'o', 'l', 'e', 'space', 'lshift', 'k', 'i', 'd', 'm', 'a', 'n', 'n', 'return']","[1.4832707339082845, 2.3662898511975072, 2.932809634570731, 4.515609116584528, 6.09822511477978, 6.33132463452057, 6.581226076144958, 6.814398732822156, 7.414291401189985, 8.080664557899581, 8.4803917700483, 8.880490119947353, 9.563411785493372, 10.96287852761452, 11.11283068388002, 11.396092500217492, 11.529322928661713, 12.645380297501106]",2017_Feb_22_1031,60.0484827242,famFaceGrey,001,21,
49,./greyInner/CristinMilioti(Tracy_Mutter)8_1_cut.png,0,8,8,48,,,1.ja,8.318,None,act,1.689,None,None,None,None,None,,['return'],[2.8821276809903793],2017_Feb_22_1031,60.0484827242,famFaceGrey,001,21,
155,./greyInner/NeilPatrickHarris(Barney)3_7_cut.png,0,9,9,154,,,1.ja,4.951,None,dummy,1.18,None,None,None,None,None,Steven,"['lshift', 's', 't', 'e', 'v', 'e', 'n', 'return']","[4.448888046317734, 4.732121313601965, 5.298457613156643, 5.481814090453554, 5.78154935411294, 5.8983082598715555, 6.24820165001438, 7.1811084796790965]",2017_Feb_22_1031,60.0484827242,famFaceGrey,001,21,
136,./greyInner/LisaEdelstein(DrLisaCuddy)1_1_cut.png,0,10,10,135,,,2.nein,3.511,None,act,4.977,None,None,None,None,None,,['return'],[1.283379861881258],2017_Feb_22_1031,60.0484827242,famFaceGrey,001,21,
151,./greyInner/NeilPatrickHarris(Barney)1_1_cut.png,0,11,11,150,,,1.ja,3.146,None,act,1.16,None,None,None,None,None,Steven,"['lshift', 's', 't', 'e', 'v', 'e', 'n', 'return']","[2.3993705093453173, 3.23230912789586, 3.6989213268097956, 3.915460148244165, 4.1652072966098785, 4.281989939830964, 4.51512121639098, 5.398266398609849]",2017_Feb_22_1031,60.0484827242,famFaceGrey,001,21,
138,./greyInner/LisaEdelstein(DrLisaCuddy)2_2_cut.png,0,12,12,137,,,2.nein,3.023,None,dummy,1.358,None,None,None,None,None,,['return'],[1.9663868538336828],2017_Feb_22_1031,60.0484827242,famFaceGrey,001,21,
22,./greyInner/BenedictCumberbatch2_2_cut.png,0,13,13,21,,,1.ja,3.875,None,act,0.894,None,None,None,None,None,,['return'],[1.399991531536216],2017_Feb_22_1031,60.0484827242,famFaceGrey,001,21,
88,./greyInner/Ice-T(OdafinFinTutuola)5_1_cut.png,0,14,14,87,,,1.ja,2.261,None,act,0.996,None,None,None,None,None,,['return'],[1.1833754031104036],2017_Feb_22_1031,60.0484827242,famFaceGrey,001,21,
