num,pic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ratingBekannt.response,ratingBekannt.rt,key_resp_5.keys,key_resp_5.rt,ratingK1.response,ratingK1.rt,ratingK2.response,ratingK2.rt,ratingK3.response,ratingK3.rt,key_resp_6.keys,key_resp_6.rt,inputText,key_resp_4.keys,key_resp_4.rt,date,frameRate,expName,session,participant,
,,,,,,space,47.8958927909,,,,,,,,,,,,,,,,2017_Mrz_01_1615,60.0178084617,famFaceGrey,001,27,
16,./greyInner/BastianSchweinsteiger1_1_cut.png,0,0,0,15,,,None,None,1,3.01579254134,None,None,None,None,None,None,5,2.74931842699,Bastian Schweinsteiger,"['lshift', 'lshift', 'b', 'a', 's', 't', 'i', 'a', 'n', 'space', 'lshift', 's', 'c', 'h', 'w', 'e', 'i', 'n', 's', 't', 'e', 'i', 'g', 'e', 'r', 'return']","[1.4997300653321872, 4.315256425102234, 4.381920824937879, 4.5818954193218815, 4.831731421581935, 4.998325859740362, 5.11498479031161, 5.214902959850406, 5.314844225402339, 5.414752450823471, 5.498244542523935, 5.581348172094295, 5.698224590133577, 5.864682697652825, 6.014644156178292, 6.131207174134943, 6.2313344909134685, 6.314468594392565, 6.514395392858205, 6.714311605650437, 6.864108184297038, 7.480742896130323, 7.663804471708318, 7.8138169339335946, 7.91394425071212, 10.163012310496015]",2017_Mrz_01_1615,60.0178084617,famFaceGrey,001,27,
132,./greyInner/LeonardoDiCaprio2_1_cut.png,0,1,1,131,,,None,None,1,2.69950224881,None,None,None,None,None,None,1,2.09940877411,Leonardo Di Caprio,"['lshift', 'l', 'e', 'o', 'n', 'a', 'r', 'd', 'o', 'space', 'lshift', 'd', 'i', 'space', 'lshift', 'c', 'a', 'p', 'r', 'i', 'a', 'backspace', 'o', 'return']","[1.0999531343377384, 1.183468642830121, 1.599861873003647, 1.8328365017114265, 2.032694012134016, 2.132981076345459, 2.232964684590115, 2.3829133119979815, 2.5159328816998823, 2.632854208655772, 2.732544625830087, 2.8161133834664724, 2.96596385281282, 3.0991306596060895, 3.1991893298982177, 3.2657886118049646, 3.4488716795067376, 3.632420516831189, 3.8156405567297043, 4.032195523158407, 4.248502207434285, 4.84862936382342, 5.165075233662719, 5.9646473799975865]",2017_Mrz_01_1615,60.0178084617,famFaceGrey,001,27,
211,./greyInner/notfamousface10_4_cut.png,0,2,2,210,,,None,None,2,6.18123955667,None,None,None,None,None,None,3,11.2793328203,,['return'],[1.4332244505958442],2017_Mrz_01_1615,60.0178084617,famFaceGrey,001,27,
31,./greyInner/BritneySpears1_1_cut.png,0,3,3,30,,,None,None,1,3.14906231786,None,None,None,None,None,None,2,15.0945104944,Britney Spears,"['lshift', 'b', 'r', 'i', 't', 'n', 'e', 'y', 'space', 'lshift', 's', 'p', 'e', 'a', 'r', 's', 'return']","[1.2165302665243871, 1.2999107274890775, 1.5995545677014888, 1.966262176330929, 2.0828139670575183, 2.2327224972177646, 2.3660968473623143, 2.5325122914100575, 2.682728447649424, 2.782484303531419, 2.882556125720839, 3.1657706803152905, 3.315686909147189, 3.499038468015897, 3.6820833631390997, 3.8321805107489126, 6.6477274003091225]",2017_Mrz_01_1615,60.0178084617,famFaceGrey,001,27,
183,./greyInner/SigmarGabriel3_3_cut.png,0,4,4,182,,,None,None,2,9.51345615494,None,None,None,None,None,None,4,3.0159343252,,['return'],[2.066624623366806],2017_Mrz_01_1615,60.0178084617,famFaceGrey,001,27,
15,./greyInner/BarackObama5_2_cut.png,0,5,5,14,,,None,None,1,6.74795127126,None,None,None,None,None,None,4,2.39929319781,Barrack Obama,"['lshift', 'b', 'a', 'r', 'r', 'a', 'c', 'k', 'space', 'lshift', 'o', 'b', 'a', 'm', 'a', 'return']","[1.1000545001779756, 1.15015488764584, 1.3500213798515688, 1.8665233216815977, 2.0165373877953243, 2.1665148852207494, 2.416337094026858, 2.582907473837622, 2.84944830999666, 3.2337682334209603, 3.3992258344314905, 3.7656627064479835, 4.0323042668924245, 4.21555702614387, 4.298762342333248, 5.131899413007886]",2017_Mrz_01_1615,60.0178084617,famFaceGrey,001,27,
137,./greyInner/LisaEdelstein(DrLisaCuddy)10_1_cut.png,0,6,6,136,,,None,None,2,3.44886109383,None,None,None,None,None,None,1,1.5995895325,,['return'],[1.183228059348039],2017_Mrz_01_1615,60.0178084617,famFaceGrey,001,27,
8,./greyInner/AngelaMerkel4_1_cut.png,0,7,7,7,,,None,None,1,1.98298689846,None,None,None,None,None,None,4,2.36613822772,Angela Merkel,"['lshift', 'a', 'n', 'g', 'e', 'l', 'a', 'space', 'lshift', 'm', 'e', 'r', 'k', 'e', 'l', 'return']","[1.0831915227363424, 1.1665838524859282, 1.3664862718251243, 1.499825977947694, 1.6663543358436073, 1.7996500953831855, 1.9328999836725416, 2.0660164283235645, 2.1994680859597793, 2.315870394149897, 2.4491526810143114, 2.5659258085452166, 2.6993046495808812, 2.799031635445317, 2.88253078426078, 4.764797247468778]",2017_Mrz_01_1615,60.0178084617,famFaceGrey,001,27,
80,./greyInner/GeorgeClooney4_2_cut.png,0,8,8,79,,,None,None,1,2.41601310827,None,None,None,None,None,None,1,1.88291603861,George Clouney,"['lshift', 'g', 'e', 'o', 'r', 'g', 'e', 'space', 'lshift', 'c', 'l', 'o', 'u', 'n', 'e', 'y', 'backspace', 'backspace', 'backspace', 'n', 'e', 'y', 'return']","[1.04993390369782, 1.133364726804757, 1.3165225357752206, 1.5998397393232153, 1.6831618186952255, 1.8831043352820416, 1.999644578002517, 2.1493721893839393, 2.1993962316928446, 2.366256915572194, 2.6326524393080035, 2.9825987571139194, 3.132531987177572, 3.3825752120101242, 3.4990554692485603, 3.6653352242128676, 7.280933181627006, 7.447377174914436, 7.61405854390523, 8.613594057395858, 8.980233340315863, 9.313336568913655, 9.646559126919783]",2017_Mrz_01_1615,60.0178084617,famFaceGrey,001,27,
