num,pic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ratingBekannt.response,ratingBekannt.rt,key_resp_5.keys,ratingK1.response,ratingK1.rt,ratingK2.response,ratingK2.rt,ratingK3.response,ratingK3.rt,key_resp_6.keys,inputText,key_resp_4.keys,key_resp_4.rt,date,frameRate,expName,session,participant,
,,,,,,space,83.5975696092,,,,,,,,,,,,,,2017_Jan_25_1425,59.9932452199,famFaceGrey,001,4,
88,./greyInner/Ice-T(OdafinFinTutuola)5_1_cut.png,0,0,0,87,,,1.ja,8.696,None,None,None,music,5.142,None,None,None,Ice Cube,"['lshift', 'i', 'c', 'e', 'space', 'lshift', 'c', 'u', 'b', 'e', 'return']","[18.57578892431411, 18.676078873668303, 18.94273219605384, 19.159288660153834, 19.858835820792592, 20.308654438049416, 20.49218894599835, 20.925256003243703, 21.358333004540327, 21.508143698629283, 25.306712139859883]",2017_Jan_25_1425,59.9932452199,famFaceGrey,001,4,
59,./greyInner/ElvisPresley5_2_cut.png,0,1,1,58,,,1.ja,2.077,None,None,None,music,2.997,None,None,None,Elvis,"['lshift', 'e', 'l', 'b', 'backspace', 'v', 'i', 's', 'return']","[2.73266823654194, 2.8825838243610633, 3.3323604199722467, 3.7487541865266394, 4.615276760650886, 5.348132009552501, 5.6315532515291125, 5.964672306548891, 7.347410584512545]",2017_Jan_25_1425,59.9932452199,famFaceGrey,001,4,
148,./greyInner/MilaKunis4_1_cut.png,0,2,2,147,,,1.ja,8.826,None,act,2.029,None,None,None,None,None,Mila Kunis,"['lshift', 'm', 'i', 'l', 'a', 'space', 'lshift', 'k', 'u', 'n', 'i', 's', 'return']","[2.5328325379705348, 2.6827426725976693, 2.916024393085536, 3.115926492275321, 3.2494918107513513, 3.5497082382644294, 5.048959386884235, 5.18229567135495, 5.398929442450026, 5.665415319810563, 5.898742911253066, 6.065301957598422, 7.148195587342343]",2017_Jan_25_1425,59.9932452199,famFaceGrey,001,4,
188,./greyInner/TaylorSwift3_1_cut.png,0,3,3,187,,,1.ja,2.745,None,None,None,music,2.795,None,None,None,Tailor Swift,"['lshift', 't', 'a', 'o', 'backspace', 'i', 'l', 'o', 'r', 'space', 'lshift', 's', 'w', 'i', 'f', 't', 'return']","[13.628646700930403, 13.795268619356648, 13.978582433475822, 14.27847423575804, 14.861593210582214, 15.178044107327878, 15.411336734196084, 15.56119297846817, 15.777888980093849, 15.97774552910414, 17.077249577454495, 17.22727134210072, 17.47711953489852, 17.860348600021098, 18.076904422567168, 18.176933260321675, 19.65957976429854]",2017_Jan_25_1425,59.9932452199,famFaceGrey,001,4,
162,./greyInner/OmarEpps(DrEricForeman)2_2_cut.png,0,4,4,161,,,1.ja,13.531,None,act,2.238,None,None,None,None,None,,['return'],[1.2500079392048065],2017_Jan_25_1425,59.9932452199,famFaceGrey,001,4,
92,./greyInner/JanHofer3_1_cut.png,0,5,5,91,,,1.ja,5.561,None,None,None,None,None,polit,5.694,None,,['return'],[1.2332137159937702],2017_Jan_25_1425,59.9932452199,famFaceGrey,001,4,
176,./greyInner/Shakira1_1_cut.png,0,6,6,175,,,1.ja,1.676,None,None,None,music,1.676,None,None,None,Shakira,"['lshift', 's', 'h', 'a', 'k', 'i', 'r', 'a', 'return']","[1.0333148245626944, 1.2331373713277571, 1.5497534676687792, 1.982889170958515, 2.366150313671824, 2.5660822450226988, 2.732598628172127, 3.0657054937073553, 4.1320871830466785]",2017_Jan_25_1425,59.9932452199,famFaceGrey,001,4,
2,./greyInner/AlysonHannigan(Lily)12_2_cut.png,0,7,7,1,,,1.ja,2.098,None,act,1.115,None,None,None,None,None,,['return'],[1.7166496495046886],2017_Jan_25_1425,59.9932452199,famFaceGrey,001,4,
15,./greyInner/BarackObama5_2_cut.png,0,8,8,14,,,1.ja,1.542,None,None,None,None,None,polit,1.894,None,Obama,"['lshift', 'o', 'b', 'a', 'm', 'a', 'return']","[1.3834317955042934, 1.5499526695130044, 1.8497671648001415, 2.0161488220655883, 2.133248071095295, 2.2996361438781605, 4.232284748934035]",2017_Jan_25_1425,59.9932452199,famFaceGrey,001,4,
