num,pic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ratingBekannt.response,ratingBekannt.rt,key_resp_5.keys,ratingK1.response,ratingK1.rt,ratingK2.response,ratingK2.rt,ratingK3.response,ratingK3.rt,key_resp_6.keys,inputText,key_resp_4.keys,key_resp_4.rt,key_resp_5.rt,key_resp_6.rt,date,frameRate,expName,session,participant,
,,,,,,space,37.0839323899,,,,,,,,,,,,,,,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
15,./greyInner/BarackObama5_2_cut.png,0,0,0,14,,,1.ja,9.027,None,None,None,None,None,polit,3.722,None,Barak Obama,"['lshift', 'b', 'a', 'r', 'a', 'k', 'space', 'lshift', 'o', 'b', 'a', 'm', 'a', 'return']","[3.4485440119688064, 3.665492612117305, 4.565256261464128, 4.7150746037887075, 4.882560863180515, 5.44817800206738, 5.647965196660607, 5.914594909479092, 6.081518200091068, 6.397773530651648, 6.564378928351289, 6.764361798702794, 7.180904483926042, 7.813925826697869]",,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
47,./greyInner/CristinMilioti(Tracy_Mutter)2_1_cut.png,0,1,1,46,,,1.ja,5.21,None,act,8.944,None,None,None,None,None,,['return'],[1.9998537243513965],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
8,./greyInner/AngelaMerkel4_1_cut.png,0,2,2,7,,,1.ja,5.025,None,None,None,None,None,polit,1.527,None,Angela Merkel,"['lshift', 'a', 'n', 'g', 'e', 'l', 'a', 'space', 'lshift', 'm', 'e', 'r', 'k', 'e', 'l', 'return']","[2.249530859350216, 2.616110787123489, 2.8657349934337617, 3.13211963038475, 3.2161421594005333, 5.11502751329499, 5.281626174616122, 5.448203343681598, 5.564857211229082, 5.6980687765003495, 5.931358868699135, 6.081251631967916, 6.2313897918843395, 6.364574090861424, 7.247299834926707, 7.697445501093625]",,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
152,./greyInner/NeilPatrickHarris(Barney)11_2_cut.png,0,3,3,151,,,1.ja,5.176,None,act,8.293,None,None,None,None,None,,['return'],[1.4006028096473528],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
54,./greyInner/DannFlorek(DonaldDonCragen)5_1_cut.png,0,4,4,53,,,2.nein,3.893,None,None,None,music,5.292,None,None,None,,['return'],[1.183026443172821],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
109,./greyInner/JoachimLoew4_1_cut.png,0,5,5,108,,,1.ja,2.592,None,None,None,None,None,sport,2.675,None,Joachim Lülf,"['lshift', 'j', 'o', 'a', 'c', 'h', 'i', 'm', 'space', 'lshift', 'l', u'\xfc', 'l', 'f', 'return']","[2.149391384235969, 2.3660474330868055, 2.599346827903446, 3.0989814595614007, 3.299209726560548, 3.4656470355762394, 4.1986404063382, 4.398558158363812, 4.5651998041957995, 4.698478733252614, 4.948418587015567, 5.19839629281023, 5.481426841966368, 5.96463722035196, 6.431190138454895]",,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
29,./greyInner/Beyonce5_3_cut.png,0,6,6,28,,,1.ja,4.491,None,None,None,music,5.674,None,None,None,,['return'],[5.115186940920466],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
80,./greyInner/GeorgeClooney4_2_cut.png,0,7,7,79,,,1.ja,3.798,None,act,1.334,None,None,None,None,None,George Cluney,"['lshift', 'g', 'e', 'o', 'r', 'g', 'e', 'space', 'lshift', 'c', 'l', 'u', 'n', 'e', 'y', 'return']","[2.032976176957618, 2.1994333743291463, 2.549435716022799, 2.9327122392301135, 3.166172024012667, 3.515813488283129, 3.6657197243089286, 3.849094534487449, 4.2987551813980645, 4.93202063769786, 5.215044129695343, 5.4481395084753785, 7.580995328802601, 7.797578239829363, 8.097295761021542, 8.397132933128432]",,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
199,./greyInner/UrsulavonderLeyen7_1_cut.png,0,8,8,198,,,2.nein,1.93,None,None,None,host,9.41,None,None,None,,['return'],[1.6003120547175058],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
