num,pic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ratingBekannt.response,ratingBekannt.rt,key_resp_5.keys,ratingK1.response,ratingK1.rt,ratingK2.response,ratingK2.rt,ratingK3.response,ratingK3.rt,key_resp_6.keys,inputText,key_resp_4.keys,key_resp_4.rt,key_resp_5.rt,key_resp_6.rt,date,frameRate,expName,session,participant,
,,,,,,space,58.2204195045,,,,,,,,,,,,,,,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
210,./greyInner/WillSmith6_1_cut.png,0,0,0,209,,,1.ja,6.732,None,act,3.335,None,None,None,None,None,Will Smith,"['lshift', 'w', 'i', 'l', 'l', 'space', 'lshift', 's', 'm', 'i', 't', 'h', 'return']","[3.7092014735389967, 3.9765146635381825, 4.895474807146456, 5.129418436948981, 5.262912396001411, 5.496803096946678, 5.680472972278949, 5.998078201264434, 6.332272296842348, 6.499366778383774, 6.716416158122229, 6.833290455611859, 9.155615334868344]",,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
115,./greyInner/JoshRadnor(Ted)9_1_cut.png,0,1,1,114,,,1.ja,7.43,None,act,3.454,None,None,None,None,None,Ted Mosby,"['lshift', 't', 'e', 'd', 'space', 'lshift', 'm', 'o', 's', 'b', 'y', 'return']","[5.664368164158077, 6.616592972586659, 7.184576081544947, 7.43489301313457, 7.618934994379742, 7.836164973798077, 8.070027446019594, 8.604672752095212, 8.955511209369433, 9.339759324460829, 9.523288376951314, 10.442441951478031]",,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
77,./greyInner/GeorgeClooney15_1_cut.png,0,2,2,76,,,1.ja,16.832,None,dummy,4.969,None,None,None,None,None,George Clooney,"['lshift', 'g', 'e', 'o', 'r', 'g', 'e', 'space', 'lshift', 'c', 'o', 'l', 'backspace', 'backspace', 'l', 'o', 'o', 'n', 'e', 'y', 'return']","[1.1866377407786786, 1.5375413165875216, 1.872499512412105, 2.506539119880472, 2.990919974132339, 3.1078276328426, 3.2415913686818385, 3.475267467165395, 3.759303930977694, 4.394566676246541, 4.594879309372118, 4.928653502671295, 5.29652478738717, 5.446979718944931, 5.714169729055357, 5.964720189183936, 6.131772648419428, 7.00064412816937, 7.134215074651365, 7.401511584041145, 7.952839424749982]",,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
30,./greyInner/Beyonce8_3_cut.png,0,3,3,29,,,1.ja,3.637,None,None,None,music,1.8,None,None,None,Beyonce,"['lshift', 'b', 'e', 'y', 'o', 'n', 'c', 'lshift', 'e', 'backspace', 'e', 'return']","[1.0698041824707616, 1.370083710999097, 1.70464381765305, 2.0552423307690333, 2.757246121116623, 3.0410538681062462, 3.6258975451273727, 4.39429272930829, 6.7500715341539035, 8.019705895185325, 10.742839527400065, 13.282346268932088]",,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
20,./greyInner/BastianSchweinsteiger6_2_cut.png,0,4,4,19,,,1.ja,2.968,None,None,None,None,None,sport,3.503,None,Bastian Schweinsteiger,"['lshift', 'b', 'a', 's', 't', 'i', 'a', 'n', 'space', 'lshift', 's', 'c', 'w', 'e', 'backspace', 'backspace', 'h', 'w', 'e', 'i', 'n', 's', 't', 'e', 'i', 'g', 'e', 'r', 'return']","[1.3035466826113407, 1.4205098364272999, 1.6209324974206538, 2.171627437293864, 2.673406167719804, 2.8405288779849798, 3.00751365243741, 3.124371269317635, 3.30808380851704, 3.3582837833673693, 3.492152735363561, 3.5590150356456434, 3.893048099180305, 3.9766182757903152, 4.394250065439337, 4.544568985869773, 5.1794358874340105, 5.380018618126996, 5.496838703635149, 5.5634767780247785, 5.764175631426042, 5.8311008047749056, 5.9812942998505605, 6.0817452537248755, 6.21531491708447, 6.315437391254818, 6.415647438629094, 6.566061310222722, 8.06964443355173]",,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
76,./greyInner/GeorgeClooney11_1_cut.png,0,5,5,75,,,1.ja,1.749,None,act,0.964,None,None,None,None,None,George Clooney,"['lshift', 'g', 'e', 'o', 'r', 'g', 'e', 'space', 'lshift', 'c', 'o', 'backspace', 'l', 'o', 'o', 'n', 'e', 'y', 'return']","[1.1195508938235434, 1.2534580187548272, 1.437200069802202, 1.554123767558849, 1.7879426135696121, 1.9885494028349058, 2.072043554355332, 2.255512300025657, 2.573234614061221, 2.7404083285000524, 2.940860180560776, 3.609081565617089, 4.026771095839649, 4.293906252405577, 4.4609927144229005, 4.82860095875003, 4.912116602596143, 5.17928095022944, 7.534667439962504]",,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
13,./greyInner/BarackObama2_1_cut.png,0,6,6,12,,,1.ja,2.032,None,None,None,None,None,polit,0.949,None,Barack Obama,"['lshift', 'b', 'a', 'a', 'c', 'k', 'backspace', 'backspace', 'backspace', 'e', 'backspace', 'r', 'a', 'c', 'k', 'space', 'lshift', 'o', 'b', 'a', 'm', 'a', 'return']","[0.83593080369792, 1.1534539127587777, 1.3201355492037692, 2.456130958185895, 2.673660547021427, 2.7906650815821195, 3.1749119135492947, 3.308543166853269, 3.4755757376678957, 3.97684795495843, 4.310827448072814, 4.427867589318339, 4.544832667819719, 4.76186793319539, 4.995779805683924, 5.614161452907865, 5.797739905665367, 6.215185642358847, 6.349185152204882, 6.917070102188518, 7.050736320617943, 7.167669000242313, 7.952888825018817]",,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
15,./greyInner/BarackObama5_2_cut.png,0,7,7,14,,,1.ja,3.018,None,None,None,None,None,polit,0.862,None,Barack Obama,"['lshift', 'b', 'a', 'r', 'a', 'a', 'backspace', 'c', 'k', 'space', 'lshift', 'o', 'b', 'a', 'm', 'a', 'return']","[0.635248310125462, 0.9192032955743343, 1.2198145116162777, 1.4203994877771038, 1.5204703162125952, 1.7559427880732983, 2.255699636105419, 2.4229028623922204, 2.823768072797975, 3.0910915277891036, 3.224819015382309, 3.3750394560574932, 3.709221041177443, 3.8093935571778275, 3.943107571969449, 4.076748769482947, 4.895378893637826]",,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
9,./greyInner/AngelaMerkel5_1_cut.png,0,8,8,8,,,1.ja,1.9,None,None,None,None,None,polit,1.298,None,Angela Merkel,"['lshift', 'a', 'n', 'g', 'e', 'l', 'a', 'space', 'lshift', 'm', 'e', 'r', 'k', 'e', 'l', 'return']","[0.66833590385977, 1.1697373958759272, 1.3869012944160204, 1.5706564974825596, 1.6207621627308981, 1.7377859441494365, 1.9048335916704673, 2.021586313176158, 2.3224076407459506, 2.506204224557223, 2.8403983201351366, 2.9407174330353882, 3.1074314683573903, 3.224667606769799, 3.358320352397641, 13.048233266783427]",,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
