num,pic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ratingBekannt.response,ratingBekannt.rt,key_resp_5.keys,ratingK1.response,ratingK1.rt,ratingK2.response,ratingK2.rt,ratingK3.response,ratingK3.rt,key_resp_6.keys,inputText,key_resp_4.keys,key_resp_4.rt,date,frameRate,expName,session,participant,
,,,,,,space,78.4034573679,,,,,,,,,,,,,,2016_Nov_23_1406,60.0689277873,famFaceGrey,001,jb,
87,./greyInner/Ice-T(OdafinFinTutuola)12_1_cut.png,0,0,0,86,,,1.ja,12.052,None,act,5.63,None,None,None,None,None,Law und order ,"['lshift', 'l', 'a', 'w', 'space', 'u', 'n', 'd', 'space', 'o', 'r', 'd', 'e', 'r', 'space', 'return']","[39.83029793819151, 40.081022137674154, 40.530223559282604, 40.78074673469018, 41.896762650874734, 42.82973917331401, 43.08008963211978, 43.64671988197733, 45.08016758023223, 45.86293850427319, 46.26300430889023, 46.61289778664286, 46.84619853219556, 47.07970727612701, 49.34601576438945, 52.64580583781935]",2016_Nov_23_1406,60.0689277873,famFaceGrey,001,jb,
166,./greyInner/RobertSeanLeonard(Wilson)1_1_cut.png,0,1,1,165,,,1.ja,11.465,None,act,2.726,None,None,None,None,None,Wilson,"['lshift', 'w', 'i', 'l', 's', 'o', 'n', 'return']","[2.866704218511586, 3.016696074984793, 4.00000041025487, 4.282777282965981, 4.717300254891597, 5.399854934465111, 5.849718504759949, 7.666148243355565]",2016_Nov_23_1406,60.0689277873,famFaceGrey,001,jb,
77,./greyInner/GeorgeClooney15_1_cut.png,0,2,2,76,,,2.nein,38.626,None,act,28.859,None,None,None,None,None,,['return'],[4.616920319389465],2016_Nov_23_1406,60.0689277873,famFaceGrey,001,jb,
112,./greyInner/JoshRadnor(Ted)3_1_cut.png,0,3,3,111,,,2.nein,69.982,None,dummy,5.779,None,None,None,None,None,,['return'],[1.9003650843369542],2016_Nov_23_1406,60.0689277873,famFaceGrey,001,jb,
156,./greyInner/NicoleKidman14_1_cut.png,0,4,4,155,,,1.ja,3.693,None,act,5.38,None,None,None,None,None,Nicole Kidman,"['lshift', 'n', 'i', 'c', 'o', 'l', 'e', 'space', 'lshift', 'k', 'i', 'd', 'm', 'a', 'n', 'return']","[2.3669185758153617, 2.500591380005062, 2.7169544114331075, 2.9001837524156144, 3.033670301647362, 3.2502782542433124, 3.3834021396360185, 3.5668669659607986, 4.050011917857773, 4.250069435354817, 4.600229577699793, 4.766766535973147, 5.100036143307079, 5.283039434769307, 5.383216294929298, 7.166611214106524]",2016_Nov_23_1406,60.0689277873,famFaceGrey,001,jb,
124,./greyInner/KaleyCuoco(Penny)5_2_cut.png,0,5,5,123,,,2.nein,8.839,None,act,1.708,None,None,None,None,None,,['return'],[0.9833383862824121],2016_Nov_23_1406,60.0689277873,famFaceGrey,001,jb,
41,./greyInner/CobieSmulders(Robin)12_1_cut.png,0,6,6,40,,,2.nein,9.972,None,act,1.436,None,None,None,None,None,,['return'],[1.2002548492928327],2016_Nov_23_1406,60.0689277873,famFaceGrey,001,jb,
122,./greyInner/KaleyCuoco(Penny)14_2_cut.png,0,7,7,121,,,2.nein,15.664,None,act,2.929,None,None,None,None,None,,['return'],[1.783835531128716],2016_Nov_23_1406,60.0689277873,famFaceGrey,001,jb,
121,./greyInner/KaleyCuoco(Penny)10_1_cut.png,0,8,8,120,,,2.nein,5.742,None,act,1.801,None,None,None,None,None,,['return'],[1.183907079284836],2016_Nov_23_1406,60.0689277873,famFaceGrey,001,jb,
120,./greyInner/JudithRakers8_1_cut.png,0,9,9,119,,,2.nein,4.24,None,act,1.546,None,None,None,None,None,,['return'],[1.4838444336237444],2016_Nov_23_1406,60.0689277873,famFaceGrey,001,jb,
10,./greyInner/AngelaMerkel6_1_cut.png,0,10,10,9,,,2.nein,36.945,None,dummy,1.235,None,None,None,None,None,,['return'],[1.1671018769484363],2016_Nov_23_1406,60.0689277873,famFaceGrey,001,jb,
178,./greyInner/Shakira3_1_cut.png,0,11,11,177,,,2.nein,6.634,None,act,2.882,None,None,None,None,None,,['return'],[0.8005771442185505],2016_Nov_23_1406,60.0689277873,famFaceGrey,001,jb,
118,./greyInner/JudithRakers4_3_cut.png,0,12,12,117,,,2.nein,5.062,None,dummy,0.849,None,None,None,None,None,,['return'],[2.0000635892465652],2016_Nov_23_1406,60.0689277873,famFaceGrey,001,jb,
69,./greyInner/EmmaWatson(HermioneGranger)4_1_cut.png,0,13,13,68,,,2.nein,19.525,None,act,1.412,None,None,None,None,None,,['return'],[1.2167946178051352],2016_Nov_23_1406,60.0689277873,famFaceGrey,001,jb,
139,./greyInner/LisaEdelstein(DrLisaCuddy)6_3_cut.png,0,14,14,138,,,2.nein,6.827,None,dummy,1.095,None,None,None,None,None,,['return'],[1.3837094192895165],2016_Nov_23_1406,60.0689277873,famFaceGrey,001,jb,
188,./greyInner/TaylorSwift3_1_cut.png,0,15,15,187,,,2.nein,6.287,None,dummy,1.564,None,None,None,None,None,,['return'],[0.8669216527123353],2016_Nov_23_1406,60.0689277873,famFaceGrey,001,jb,
40,./greyInner/CarenMiosga9_1_cut.png,0,16,16,39,,,1.ja,11.56,None,act,2.015,None,None,None,None,None,,['return'],[1.3170888103850302],2016_Nov_23_1406,60.0689277873,famFaceGrey,001,jb,
21,./greyInner/BenedictCumberbatch16_1_cut.png,0,17,17,20,,,2.nein,5.716,None,act,1.83,None,None,None,None,None,,['return'],[1.1503557510732207],2016_Nov_23_1406,60.0689277873,famFaceGrey,001,jb,
129,./greyInner/KatjaBurkard5_3_cut.png,0,18,18,128,,,2.nein,2.51,None,dummy,1.209,None,None,None,None,None,,['return'],[1.0503598125796998],2016_Nov_23_1406,60.0689277873,famFaceGrey,001,jb,
99,./greyInner/JasonSegel(Marshall)7_1_cut.png,0,19,19,98,,,1.ja,9.897,None,act,1.447,None,None,None,None,None,Marshall,"['lshift', 'm', 'a', 'r', 's', 'h', 'a', 'l', 'l', 'return']","[1.7167336952043115, 2.050476734744734, 2.4668697967099433, 2.9001607782338397, 3.650260777456424, 3.9668462071495014, 4.266783151229902, 4.93346841604216, 5.3834546520483855, 7.916598803949455]",2016_Nov_23_1406,60.0689277873,famFaceGrey,001,jb,
93,./greyInner/JanHofer5_1_cut.png,0,20,20,92,,,2.nein,9.89,None,act,1.365,None,None,None,None,None,,['return'],[3.1668155202096386],2016_Nov_23_1406,60.0689277873,famFaceGrey,001,jb,
194,./greyInner/TomCruise6_1_cut.png,0,21,21,193,,,1.ja,5.694,None,act,1.314,None,None,None,None,None,Tom Cruise,"['lshift', 't', 'o', 'm', 'space', 'lshift', 'c', 'r', 'u', 'i', 's', 'e', 'return']","[1.9499905436641711, 2.0333974832610693, 2.300688938219537, 2.583564271702926, 2.900306007872132, 3.283575635716261, 3.4165760348951153, 4.350269679947814, 4.6334764980274485, 4.850190706205467, 5.050325761563727, 5.266622742223262, 7.016578742564889]",2016_Nov_23_1406,60.0689277873,famFaceGrey,001,jb,
58,./greyInner/ElvisPresley4_10_cut.png,0,22,22,57,,,1.ja,9.603,None,act,2.734,None,None,None,None,None,,['return'],[3.4836483325889276],2016_Nov_23_1406,60.0689277873,famFaceGrey,001,jb,
56,./greyInner/ElvisPresley1_1_cut.png,0,23,23,55,,,1.ja,14.319,None,act,1.846,None,None,None,None,None,,['return'],[1.5003686125091917],2016_Nov_23_1406,60.0689277873,famFaceGrey,001,jb,
160,./greyInner/NicoleKidman8_2_cut.png,0,24,24,159,,,2.nein,5.981,None,act,1.496,None,None,None,None,None,,['return'],[0.950210849638097],2016_Nov_23_1406,60.0689277873,famFaceGrey,001,jb,
64,./greyInner/EmilyDeschanel6_12_cut.png,0,25,25,63,,,1.ja,24.592,None,None,None,music,2.075,None,None,None,eine von Spice Girls,"['e', 'i', 'n', 'e', 'space', 'v', 'o', 'n', 'space', 'lshift', 's', 'p', 'i', 'c', 'e', 'space', 'lshift', 'g', 'i', 'r', 'l', 's', 'return']","[2.367257034715294, 2.466998205964046, 2.66679726394068, 2.717337177680747, 2.9837785879826697, 3.2835169695099466, 3.7003887969694915, 3.9175567452002724, 4.15040949424656, 4.566841940515587, 4.683463390440011, 5.066750248923199, 5.583458836630598, 5.833470016030333, 6.016781817907031, 6.300121558029787, 6.666763212924707, 6.766669716216711, 7.066847889185738, 7.3333483759524825, 7.649967446410301, 7.866641039516253, 12.199492188574368]",2016_Nov_23_1406,60.0689277873,famFaceGrey,001,jb,
211,./greyInner/notfamousface10_4_cut.png,0,26,26,210,,,2.nein,8.487,None,act,1.722,None,None,None,None,None,,['return'],[1.267106020506617],2016_Nov_23_1406,60.0689277873,famFaceGrey,001,jb,
37,./greyInner/CarenMiosga13_1_cut.png,0,27,27,36,,,2.nein,12.179,None,act,2.23,None,None,None,None,None,,['return'],[1.1003795252472628],2016_Nov_23_1406,60.0689277873,famFaceGrey,001,jb,
8,./greyInner/AngelaMerkel4_1_cut.png,0,28,28,7,,,1.ja,3.347,None,None,None,None,None,polit,2.38,None,Merkel,"['lshift', 'm', 'e', 'r', 'k', 'e', 'l', 'return']","[2.8670090366467775, 3.0170090981846442, 3.7333095659960236, 3.949845724280749, 4.866932319295302, 5.0666694290375744, 5.416550599195034, 6.450119568296941]",2016_Nov_23_1406,60.0689277873,famFaceGrey,001,jb,
22,./greyInner/BenedictCumberbatch2_2_cut.png,0,29,29,21,,,2.nein,4.954,None,act,5.451,None,None,None,None,None,,['return'],[1.4500994658919808],2016_Nov_23_1406,60.0689277873,famFaceGrey,001,jb,
