,inner,inner
,context,familiarity
10,89.375,91.875
11,50.0,40.0
12,69.2307692308,77.6923076923
13,89.4736842105,86.3157894737
14,66.1538461538,71.5384615385
15,71.8518518519,61.4814814815
16,98.8235294118,92.9411764706
17,72.5925925926,74.8148148148
18,85.1428571429,74.2857142857
19,76.6666666667,55.3333333333
1,79.2,65.6
20,86.6666666667,81.2121212121
21,95.0,93.3333333333
22,97.2222222222,96.1111111111
23,81.4814814815,65.9259259259
24,87.6923076923,85.641025641
25,86.1111111111,83.3333333333
26,90.2857142857,90.8571428571
27,80.8695652174,73.0434782609
2,87.5,83.125
3,82.0,65.0
4,93.1707317073,98.0487804878
5,97.0731707317,95.1219512195
6,89.375,88.125
7,88.75,87.5
8,90.5263157895,89.4736842105
9,87.7777777778,85.0
JB,58.2608695652,31.3043478261
JB*,80.0,72.3076923077
