Known For/As,Name,On List,Known,Number Familiar,Number Names,Mistakes
HIMYM,Alyson Hannigan (Lily),yes,yes,5,5,
HIMYM,Jason Segel (Marshall),yes,yes,4,4,
HIMYM,Neil Patrick Harris (Barney),yes,yes,4,3,
HIMYM,Josh Radnor (Ted),no,yes,0,0,
HIMYM,Cobie Smulders (Robin),no,yes,2,0,Mariska Hargitay
HIMYM,Cristin Milioti (Tracy),no,no,1,0,Audrey Hepburn
House,Robert Sean Leonard (Wilson),yes,yes,5,5,
House,Hugh Laurie (House),yes,yes,4,4,
House,Omar Epps (Eric Foreman),no,yes,3,3,
House,Lisa Edelstein (Lisa Cuddy),no,yes,0,0,
Law & Order,Ice-T (Odafin “Fin” Tutuola),no,yes,5,5,
Law & Order,Mariska Hargitay (Liv),yes,yes,3,3,
Law & Order,Dann Florek (Donald Cragen),no,yes,1,1,
Big Bang Theory,Jim Parsons (Sheldon Cooper),no,yes,1,0,Wilson
Big Bang Theory,Kaley Cuoco (Penny),no,yes,0,0,
Bones,Emily Deschanel (“Bones”),yes,yes,4,4,a Spice Girl
Musician,Britney Spears,no,yes,3,3,
Musician,Elvis Presley,no,yes,4,0,
Musician,Beyonce,no,yes,0,0,
Musician,Shakira,no,yes,0,0,
Musician,Taylor Swift,no,no,0,0,
Musician,Usher,no,no,0,0,
Movie Actor,Will Smith,yes,yes,5,5,
Movie Actor,Leonardo DiCaprio,no,yes,5,4,Brad Pitt
Movie Actor,Tom Cruise,no,yes,4,4,
Movie Actor,Nicole Kidman,yes,yes,3,3,
Movie Actor,George Clooney,no,yes,1,0,Charlie Sheen
Movie Actor,Mila Kunis,no,yes,0,0,
Movie Actor,Benedict Cumberbatch,no,no,1,0,
Movie Actor,Emma Watson,no,no,0,0,
Politician,Barack Obama,yes,yes,5,4,
Politician,Angela Merkel,yes,yes,4,4,
Politician,Sigmar Gabriel,no,yes,2,1,
Politician,Sahra Wagenknecht,no,yes,0,0,
Politician,Ursula von der Leyen,no,yes,0,0,
Sportsperson,Joachim Loew,no,yes,5,4,Wilson
Sportsperson,Bastian Schweinsteiger,no,yes,0,0,
TV Host,Guenther Jauch,yes,yes,4,4,
Newsanchor,Katja Burkard,yes,yes,0,0,
Newsanchor,Caren Miosga,yes,yes,2,0,Kate Winslet
Newsanchor,Jan Hofer,no,yes,0,0,
Newsanchor,Judith Rakers,no,yes,0,0,
